Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Auguste-Constant Cheraquie P.L.Q./Q.L.P.;Boulanger Marc P.N.;David Françoise Q.S.;Franche Paul C.A.Q.-É.F.L.;Lacelle Olivier O.N. - P.I.Q.;Mailloux Louise P.Q.;B.V.;B.R.;
381;Gouin;2014-04-07;G;Montréal, v;199;;71;463;37;5;104;34;0;69;249;3;
381;Gouin;2014-04-07;G;Montréal, v;199;;72;406;35;1;136;34;1;46;253;0;
381;Gouin;2014-04-07;G;Montréal, v;200;;73;356;31;2;106;28;3;62;232;0;
381;Gouin;2014-04-07;G;Montréal, v;200;;74;357;32;3;125;24;0;36;220;5;
381;Gouin;2014-04-07;G;Montréal, v;200;;75;358;42;2;126;14;2;40;226;1;
381;Gouin;2014-04-07;G;Montréal, v;200;;76;333;29;2;80;22;2;42;177;4;
381;Gouin;2014-04-07;G;Montréal, v;200;;77;374;67;0;69;9;3;35;183;4;
381;Gouin;2014-04-07;G;Montréal, v;201;;78;467;77;1;100;19;4;39;240;2;
381;Gouin;2014-04-07;G;Montréal, v;201;;79;367;63;0;91;19;7;45;225;4;
381;Gouin;2014-04-07;G;Montréal, v;201;;80;336;46;7;92;18;3;60;226;1;
381;Gouin;2014-04-07;G;Montréal, v;201;;81;369;50;1;106;30;2;51;240;1;
381;Gouin;2014-04-07;G;Montréal, v;201;;82;391;26;2;137;19;3;44;231;2;
381;Gouin;2014-04-07;G;Montréal, v;201;;83;365;30;1;106;20;4;38;199;2;
381;Gouin;2014-04-07;G;Montréal, v;201;;84;353;26;2;102;22;2;60;214;4;
381;Gouin;2014-04-07;G;Montréal, v;201;;85;377;39;0;93;25;3;52;212;2;
381;Gouin;2014-04-07;G;Montréal, v;202;;86;339;30;1;86;25;1;47;190;1;
