Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bugeaud Pierre-Alexandre O.N. - P.I.Q.;Féné Wenet P.L.Q./Q.L.P.;Gadoury Hamelin Diane P.Q.;Giroux Éric É.A.P. - P.C.Q.;Lemay Mathieu C.A.Q.-É.F.L.;St-Pierre Joëlle Q.S.;B.V.;B.R.;
465;Masson;2014-04-07;G;Terrebonne, v;3;;27;300;0;33;57;1;60;9;160;5;
465;Masson;2014-04-07;G;Terrebonne, v;3;;28;331;1;33;60;1;66;6;167;3;
465;Masson;2014-04-07;G;Terrebonne, v;3;;29;295;1;29;58;0;50;6;144;8;
465;Masson;2014-04-07;G;Terrebonne, v;3;;30;312;1;25;56;2;61;9;154;3;
465;Masson;2014-04-07;G;Terrebonne, v;3;;31;303;1;30;67;1;51;7;157;0;
465;Masson;2014-04-07;G;Terrebonne, v;3;;32;315;1;31;57;0;75;9;173;1;
465;Masson;2014-04-07;G;Terrebonne, v;3;;33;337;0;37;64;1;76;8;186;7;
465;Masson;2014-04-07;G;Terrebonne, v;3;;34;348;2;41;65;2;57;7;174;1;
465;Masson;2014-04-07;G;Terrebonne, v;3;;35;332;2;27;71;1;74;2;177;4;
465;Masson;2014-04-07;G;Terrebonne, v;3;;36;319;2;24;71;0;62;12;171;4;
465;Masson;2014-04-07;G;Terrebonne, v;3;;37;325;1;26;66;3;73;9;178;9;
465;Masson;2014-04-07;G;Terrebonne, v;3;;38;342;0;18;68;2;78;4;170;6;
465;Masson;2014-04-07;G;Terrebonne, v;3;;39;289;1;16;62;2;52;3;136;1;
465;Masson;2014-04-07;G;Terrebonne, v;3;;40;308;2;39;58;1;70;12;182;5;
465;Masson;2014-04-07;G;Terrebonne, v;3;;41;290;4;29;57;0;38;14;142;0;
465;Masson;2014-04-07;G;Terrebonne, v;4;;42;299;1;10;34;2;46;7;100;3;
465;Masson;2014-04-07;G;Terrebonne, v;4;;43;315;1;22;69;1;57;7;157;3;
465;Masson;2014-04-07;G;Terrebonne, v;4;;44;302;5;22;81;0;50;13;171;5;
465;Masson;2014-04-07;G;Terrebonne, v;4;;45;302;3;14;74;4;53;6;154;3;
465;Masson;2014-04-07;G;Terrebonne, v;4;;46;305;2;20;68;2;56;17;165;6;
465;Masson;2014-04-07;G;Terrebonne, v;4;;47;305;1;23;46;1;52;23;146;3;
465;Masson;2014-04-07;G;Terrebonne, v;4;;48;311;2;17;64;1;49;6;139;7;
465;Masson;2014-04-07;G;Terrebonne, v;4;;49;285;0;36;41;3;58;20;158;4;
465;Masson;2014-04-07;G;Terrebonne, v;4;;50A;413;2;30;68;3;107;13;223;7;
465;Masson;2014-04-07;G;Terrebonne, v;4;;50B;403;1;41;70;1;88;13;214;3;
465;Masson;2014-04-07;G;Terrebonne, v;4;;50C;375;1;28;68;1;62;12;172;3;
465;Masson;2014-04-07;G;Terrebonne, v;4;;51;317;3;39;60;0;70;12;184;8;
465;Masson;2014-04-07;G;Terrebonne, v;4;;52;322;0;41;52;1;78;12;184;1;
465;Masson;2014-04-07;G;Mascouche, v;1;;53;305;1;30;42;2;74;7;156;4;
465;Masson;2014-04-07;G;Mascouche, v;1;;54;337;1;13;75;0;72;14;175;0;
465;Masson;2014-04-07;G;Mascouche, v;1;;55;316;3;19;75;1;47;10;155;3;
465;Masson;2014-04-07;G;Mascouche, v;1;;56;315;3;29;57;0;126;9;224;6;
465;Masson;2014-04-07;G;Mascouche, v;1;;57;309;2;20;78;0;85;6;191;0;
465;Masson;2014-04-07;G;Mascouche, v;1;;58;305;4;31;76;1;67;8;187;5;
465;Masson;2014-04-07;G;Mascouche, v;1;;59;314;0;30;71;0;70;13;184;6;
465;Masson;2014-04-07;G;Mascouche, v;1;;60;286;2;32;39;1;59;13;146;5;
465;Masson;2014-04-07;G;Mascouche, v;1;;61;308;1;29;67;0;68;15;180;6;
465;Masson;2014-04-07;G;Mascouche, v;1;;62;324;0;20;72;2;73;14;181;3;
465;Masson;2014-04-07;G;Mascouche, v;1;;63;287;2;26;69;0;85;11;193;4;
465;Masson;2014-04-07;G;Mascouche, v;1;;64;332;2;25;64;0;91;18;200;7;
465;Masson;2014-04-07;G;Mascouche, v;1;;65;296;1;29;70;1;51;18;170;4;
465;Masson;2014-04-07;G;Mascouche, v;2;;66;287;0;23;48;3;58;8;140;6;
465;Masson;2014-04-07;G;Mascouche, v;2;;67;364;0;36;67;1;80;12;196;6;
465;Masson;2014-04-07;G;Mascouche, v;2;;68;329;1;44;75;1;77;7;205;2;
465;Masson;2014-04-07;G;Mascouche, v;2;;69;345;0;35;55;0;70;10;170;5;
465;Masson;2014-04-07;G;Mascouche, v;2;;70;326;2;40;56;0;62;11;171;7;
465;Masson;2014-04-07;G;Mascouche, v;2;;71;299;2;32;73;3;61;10;181;1;
465;Masson;2014-04-07;G;Mascouche, v;2;;72;370;3;32;114;1;99;8;257;9;
465;Masson;2014-04-07;G;Mascouche, v;2;;73;308;5;24;61;0;76;15;181;4;
465;Masson;2014-04-07;G;Mascouche, v;2;;74;314;0;26;51;1;86;7;171;4;
465;Masson;2014-04-07;G;Mascouche, v;2;;75;308;1;18;87;1;74;11;192;5;
465;Masson;2014-04-07;G;Mascouche, v;2;;76;306;1;29;59;3;85;6;183;2;
465;Masson;2014-04-07;G;Mascouche, v;2;;77;311;1;25;61;1;70;7;165;3;
465;Masson;2014-04-07;G;Mascouche, v;2;;78;314;3;35;50;2;69;3;162;3;
465;Masson;2014-04-07;G;Mascouche, v;3;;79;307;0;15;52;2;64;11;144;4;
465;Masson;2014-04-07;G;Mascouche, v;3;;80;301;2;29;76;0;71;16;194;2;
465;Masson;2014-04-07;G;Mascouche, v;3;;81;295;0;25;40;0;69;7;141;4;
465;Masson;2014-04-07;G;Mascouche, v;3;;82;319;3;31;50;0;87;9;180;11;
465;Masson;2014-04-07;G;Mascouche, v;3;;83;336;2;27;65;1;68;19;182;3;
465;Masson;2014-04-07;G;Mascouche, v;3;;84;305;1;12;58;1;77;11;160;6;
465;Masson;2014-04-07;G;Mascouche, v;3;;85;311;0;22;76;2;58;6;164;3;
465;Masson;2014-04-07;G;Mascouche, v;3;;86;288;1;29;72;1;41;13;157;4;
465;Masson;2014-04-07;G;Mascouche, v;3;;87;313;2;26;69;3;54;8;162;4;
465;Masson;2014-04-07;G;Mascouche, v;3;;88;313;2;24;72;2;65;8;173;4;
465;Masson;2014-04-07;G;Mascouche, v;3;;89;314;0;19;70;0;61;19;169;12;
465;Masson;2014-04-07;G;Mascouche, v;3;;90A;280;0;18;48;0;95;5;166;3;
465;Masson;2014-04-07;G;Mascouche, v;3;;90B;214;1;19;37;1;35;4;97;0;
465;Masson;2014-04-07;G;Mascouche, v;3;;91;347;1;24;55;2;110;15;207;7;
465;Masson;2014-04-07;G;Mascouche, v;3;;92;329;1;24;47;3;109;6;190;4;
465;Masson;2014-04-07;G;Mascouche, v;3;;93;335;2;19;56;0;118;11;206;2;
465;Masson;2014-04-07;G;Mascouche, v;3;;94;334;2;38;42;1;96;13;192;8;
465;Masson;2014-04-07;G;Mascouche, v;4;;95;310;4;20;61;1;48;10;144;5;
465;Masson;2014-04-07;G;Mascouche, v;4;;96;287;0;13;62;1;55;16;147;6;
465;Masson;2014-04-07;G;Mascouche, v;4;;97;286;2;27;56;2;60;14;161;7;
465;Masson;2014-04-07;G;Mascouche, v;4;;98;304;1;20;60;0;67;11;159;1;
465;Masson;2014-04-07;G;Mascouche, v;4;;99;282;1;18;54;0;76;4;153;3;
465;Masson;2014-04-07;G;Mascouche, v;4;;100;381;1;18;53;2;65;12;151;1;
465;Masson;2014-04-07;G;Mascouche, v;4;;101;387;1;33;63;1;86;11;195;3;
465;Masson;2014-04-07;G;Mascouche, v;4;;102;296;1;19;42;0;36;9;107;8;
465;Masson;2014-04-07;G;Mascouche, v;4;;103;285;7;23;38;0;40;9;117;4;
465;Masson;2014-04-07;G;Mascouche, v;4;;104;337;1;20;81;2;88;7;199;11;
465;Masson;2014-04-07;G;Mascouche, v;4;;105;322;0;15;53;0;76;13;157;4;
465;Masson;2014-04-07;G;Mascouche, v;4;;106;352;0;31;52;0;101;5;189;6;
465;Masson;2014-04-07;G;Mascouche, v;4;;107;300;2;16;52;3;75;11;159;3;
465;Masson;2014-04-07;G;Mascouche, v;4;;108;317;0;46;35;1;80;14;176;2;
465;Masson;2014-04-07;G;Mascouche, v;4;;109A;327;2;38;49;0;81;7;177;7;
465;Masson;2014-04-07;G;Mascouche, v;4;;109B;399;4;25;51;2;122;9;213;3;
465;Masson;2014-04-07;G;Mascouche, v;4;;109C;192;2;16;37;0;64;7;126;0;
465;Masson;2014-04-07;G;Mascouche, v;4;;110;283;0;27;47;0;90;15;179;5;
