Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Alexander Molly Q.S.;Blais Marguerite P.L.Q./Q.L.P.;Boulanger Louis-Philippe C.A.Q.-É.F.L.;Forest Étienne O.N. - P.I.Q.;Fournier Véronique P.Q.;Kruzynski Anna P.N.;Sanchez Jairo Gaston B.P.;Sweeney Sharon P.V.Q./G.P.Q.;B.V.;B.R.;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;93;;53;335;24;75;20;2;55;1;0;0;177;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;94;;54;306;20;67;21;0;52;1;4;5;170;3;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;94;;55;312;23;62;32;0;50;1;0;3;171;5;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;94;;56;337;22;71;32;5;68;0;0;6;204;3;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;94;;57;315;38;65;34;1;54;2;0;3;197;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;94;;58;330;31;72;34;2;69;0;2;6;216;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;94;;59;303;0;53;19;0;58;0;0;5;135;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;94;;60;292;12;60;8;1;30;0;0;0;111;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;94;;61;296;13;39;34;1;44;2;0;1;134;3;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;95;;62;391;15;64;18;0;49;4;3;5;158;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;95;;63;311;9;61;21;0;32;0;1;1;125;3;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;95;;64;311;14;64;29;1;62;0;1;0;171;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;95;;65;358;13;53;38;0;51;1;1;3;160;3;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;95;;66;332;11;75;21;0;28;2;2;1;140;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;95;;67;341;11;99;30;1;22;4;2;6;175;3;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;95;;68;316;20;60;27;0;64;2;2;3;178;6;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;95;;69;401;14;53;19;2;51;3;0;3;145;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;95;;70;320;13;67;21;3;31;2;1;4;142;7;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;96;Regr. BVO-75;71;0;0;0;0;0;0;0;0;0;0;0;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;97;;72A;356;9;62;12;1;31;1;0;0;116;3;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;97;;72B;215;6;41;11;1;16;2;0;2;79;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;97;;73;474;9;72;20;0;44;2;0;6;153;4;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;97;;74;352;19;88;27;1;32;2;0;5;174;3;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;97;;75;344;27;91;15;1;37;3;0;7;181;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;97;;76;332;28;45;17;1;44;1;2;5;143;6;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;97;;77;331;30;53;32;1;47;3;1;6;173;5;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;97;;78;300;32;42;10;0;31;3;0;5;123;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;98;;79;231;23;53;12;1;8;1;1;9;108;1;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;98;;80A;213;25;69;13;3;24;1;0;0;135;4;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;98;;80B;269;21;71;9;0;22;0;3;5;131;2;
393;Saint-Henri-Sainte-Anne;2014-04-07;G;Montréal, v;98;;81;310;22;61;12;1;27;0;1;4;128;1;
