Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dastous Luc P.L.Q./Q.L.P.;Fillion François P.V.Q./G.P.Q.;Landry Jean É.A.P. - P.C.Q.;Letendre Christine Q.S.;Roy Sylvie C.A.Q.-É.F.L.;St-Arnaud Gaëtan P.Q.;B.V.;B.R.;
323;Arthabaska;2014-04-07;G;Victoriaville, v;8;;62;388;37;5;8;9;89;31;179;5;
323;Arthabaska;2014-04-07;G;Victoriaville, v;8;;63;368;43;2;1;17;63;38;164;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;8;;64;374;31;1;4;9;74;40;159;4;
323;Arthabaska;2014-04-07;G;Victoriaville, v;8;;65;374;49;0;1;10;87;36;183;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;8;;66;348;61;0;2;5;86;45;199;2;
323;Arthabaska;2014-04-07;G;Victoriaville, v;8;;67;392;74;1;1;11;77;36;200;4;
323;Arthabaska;2014-04-07;G;Victoriaville, v;8;;68;352;73;2;1;16;80;24;196;0;
323;Arthabaska;2014-04-07;G;Victoriaville, v;8;;69;351;49;0;0;6;81;43;179;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;8;;70;365;56;0;1;12;95;35;199;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;9;;71;357;50;2;1;11;108;50;222;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;9;;72;387;69;0;3;14;95;43;224;2;
323;Arthabaska;2014-04-07;G;Victoriaville, v;9;;73;361;60;4;1;8;116;48;237;6;
323;Arthabaska;2014-04-07;G;Victoriaville, v;9;;74;369;45;2;2;13;117;35;214;1;
323;Arthabaska;2014-04-07;G;Victoriaville, v;9;;75;383;45;0;1;8;112;29;195;6;
323;Arthabaska;2014-04-07;G;Victoriaville, v;9;;76;379;74;0;6;9;106;34;229;8;
323;Arthabaska;2014-04-07;G;Victoriaville, v;9;;77;389;46;2;0;18;93;33;192;6;
323;Arthabaska;2014-04-07;G;Victoriaville, v;9;;78;341;50;3;5;14;84;46;202;7;
323;Arthabaska;2014-04-07;G;Victoriaville, v;9;;79;357;42;2;1;16;100;29;190;2;
323;Arthabaska;2014-04-07;G;Victoriaville, v;9;;80;352;60;0;1;9;52;41;163;1;
323;Arthabaska;2014-04-07;G;Victoriaville, v;10;;81;383;49;3;2;16;92;50;212;2;
323;Arthabaska;2014-04-07;G;Victoriaville, v;10;;82;381;69;0;3;15;102;72;261;2;
323;Arthabaska;2014-04-07;G;Victoriaville, v;10;;83;400;86;1;4;11;97;53;252;0;
323;Arthabaska;2014-04-07;G;Victoriaville, v;10;;84;360;43;1;0;9;90;27;170;3;
323;Arthabaska;2014-04-07;G;Victoriaville, v;10;;85;380;61;1;1;11;84;27;185;4;
323;Arthabaska;2014-04-07;G;Victoriaville, v;10;;86;384;53;1;5;19;84;40;202;4;
323;Arthabaska;2014-04-07;G;Victoriaville, v;10;;87;378;45;4;1;18;64;38;170;10;
323;Arthabaska;2014-04-07;G;Victoriaville, v;10;;88;389;83;1;1;7;87;21;200;1;
323;Arthabaska;2014-04-07;G;Victoriaville, v;10;;89;382;77;0;0;10;73;36;196;0;
323;Arthabaska;2014-04-07;G;Saint-Valère, m;1;;90;332;36;2;11;10;117;20;196;3;
323;Arthabaska;2014-04-07;G;Saint-Valère, m;1;;91;316;36;4;7;8;110;50;215;4;
323;Arthabaska;2014-04-07;G;Saint-Valère, m;1;;92;326;45;3;10;9;97;54;218;5;
323;Arthabaska;2014-04-07;G;Saint-Rosaire, p;1;;93;313;57;1;10;14;108;25;215;3;
323;Arthabaska;2014-04-07;G;Saint-Rosaire, p;1;;94;315;54;5;5;15;98;41;218;5;
323;Arthabaska;2014-04-07;G;Saint-Louis-de-Blandford, m;1;;95;383;60;2;6;9;127;44;248;4;
323;Arthabaska;2014-04-07;G;Saint-Louis-de-Blandford, m;1;;96;385;49;7;1;9;122;39;227;4;
323;Arthabaska;2014-04-07;G;Princeville, v;1;;97;403;58;2;1;9;127;14;211;4;
323;Arthabaska;2014-04-07;G;Princeville, v;1;;98;406;59;0;4;10;109;22;204;0;
323;Arthabaska;2014-04-07;G;Princeville, v;1;;99;461;46;3;1;12;108;25;195;3;
323;Arthabaska;2014-04-07;G;Princeville, v;1;;100;397;54;1;1;7;128;25;216;1;
323;Arthabaska;2014-04-07;G;Princeville, v;1;;101;376;49;2;0;8;108;24;191;2;
323;Arthabaska;2014-04-07;G;Princeville, v;1;;102;380;48;3;5;9;108;26;199;5;
323;Arthabaska;2014-04-07;G;Princeville, v;1;;103;398;49;3;4;11;127;24;218;4;
323;Arthabaska;2014-04-07;G;Princeville, v;1;;104;370;62;1;1;6;111;39;220;2;
323;Arthabaska;2014-04-07;G;Princeville, v;1;;105;386;78;3;0;8;117;25;231;6;
323;Arthabaska;2014-04-07;G;Princeville, v;1;;106;389;57;1;2;8;115;24;207;4;
323;Arthabaska;2014-04-07;G;Princeville, v;1;;107A;226;29;1;2;9;67;15;123;2;
323;Arthabaska;2014-04-07;G;Princeville, v;1;;107B;222;32;1;3;5;70;10;121;3;
323;Arthabaska;2014-04-07;G;Villeroy, m;1;;108;372;64;3;3;1;167;30;268;6;
323;Arthabaska;2014-04-07;G;Notre-Dame-de-Lourdes, p;1;;109;279;38;0;2;9;113;23;185;5;
