Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bonneau Pierre-Louis É.A.P. - P.C.Q.;Brunelle Diego C.A.Q.-É.F.L.;de Repentigny André O.N. - P.I.Q.;Deschênes Alexis P.Q.;Girard Jean-Denis P.L.Q./Q.L.P.;Landry Jean-Claude Q.S.;B.V.;B.R.;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;15;;46;325;0;43;0;40;45;15;143;3;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;15;;47;349;1;39;0;44;37;20;141;7;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;15;;48;351;2;46;1;44;35;21;149;8;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;15;;49;197;1;11;0;14;25;8;59;1;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;15;;50;347;1;19;3;25;21;15;84;2;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;16;;51;450;3;35;4;55;98;24;219;2;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;16;;52;372;3;52;2;51;50;25;183;6;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;16;;53;383;2;48;4;66;66;24;210;3;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;16;;54;388;3;57;3;68;69;20;220;10;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;16;;55;380;1;48;0;75;58;34;216;11;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;17;;56;376;5;39;1;56;46;18;165;7;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;17;;57;401;0;29;1;49;49;8;136;3;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;17;;58;645;1;48;3;42;49;23;166;6;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;17;;59;384;4;38;3;40;43;16;144;1;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;17;;60;394;0;43;1;48;24;26;142;3;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;18;;61;395;2;56;2;62;71;21;214;1;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;18;;62;390;1;35;1;60;95;18;210;2;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;18;;63;406;0;52;1;83;75;26;237;8;
333;Trois-Rivières;2014-04-07;G;Trois-Rivières, v;18;;64;402;1;51;2;65;101;13;233;2;
