Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aubin Patrice É.A.P. - P.C.Q.;Comeau Benoit Q.S.;Goupil Linda P.Q.;Lachance Stéphanie C.A.Q.-É.F.L.;Lefebvre Mathilde O.N. - P.I.Q.;Vien Dominique P.L.Q./Q.L.P.;B.V.;B.R.;
303;Bellechasse;2014-04-07;G;Saint-Damien-de-Buckland, p;1;;56;400;7;4;24;84;0;72;191;2;
303;Bellechasse;2014-04-07;G;Saint-Damien-de-Buckland, p;1;;57;336;7;2;22;71;0;98;200;5;
303;Bellechasse;2014-04-07;G;Saint-Damien-de-Buckland, p;1;;58;310;3;1;13;29;2;64;112;2;
303;Bellechasse;2014-04-07;G;Saint-Damien-de-Buckland, p;1;;59;304;3;6;23;52;2;71;157;2;
303;Bellechasse;2014-04-07;G;Saint-Damien-de-Buckland, p;1;;60;308;4;5;20;66;0;75;170;2;
303;Bellechasse;2014-04-07;G;Armagh, m;1;;61;306;3;7;34;76;1;88;209;0;
303;Bellechasse;2014-04-07;G;Armagh, m;1;;62;302;3;5;34;55;0;111;208;0;
303;Bellechasse;2014-04-07;G;Armagh, m;1;;63;294;5;10;15;66;0;96;192;2;
303;Bellechasse;2014-04-07;G;Armagh, m;1;;64;279;1;3;28;67;0;70;169;2;
303;Bellechasse;2014-04-07;G;Saint-Nérée-de-Bellechasse, m;1;;65;321;3;9;35;80;0;100;227;2;
303;Bellechasse;2014-04-07;G;Saint-Nérée-de-Bellechasse, m;1;;66;280;2;3;25;67;0;74;171;0;
303;Bellechasse;2014-04-07;G;Honfleur, m;1;;67;299;0;2;15;62;0;108;187;1;
303;Bellechasse;2014-04-07;G;Honfleur, m;1;;68;334;3;5;9;69;0;101;187;1;
303;Bellechasse;2014-04-07;G;Saint-Anselme, m;1;;69;358;4;1;15;88;0;121;229;0;
303;Bellechasse;2014-04-07;G;Saint-Anselme, m;1;;70;369;0;3;28;110;0;125;266;1;
303;Bellechasse;2014-04-07;G;Saint-Anselme, m;1;;71;287;4;3;14;58;1;96;176;0;
303;Bellechasse;2014-04-07;G;Saint-Anselme, m;1;;72;280;1;3;16;51;0;93;164;0;
303;Bellechasse;2014-04-07;G;Saint-Anselme, m;1;;73;289;0;3;17;45;0;118;183;1;
