Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudoin Pierre O.N. - P.I.Q.;Besner Marie-Neige Q.S.;Cyr Tom-Henri B.P.;Fleurent Steven C.A.Q.-É.F.L.;Gagnon Pier-Luc P.N.;Huot Pierre P.L.Q./Q.L.P.;Lebel Harold P.Q.;B.V.;B.R.;
703;Rimouski;2014-04-07;G;Rimouski, v;5;;50;400;2;47;1;21;2;44;89;206;4;
703;Rimouski;2014-04-07;G;Rimouski, v;5;;51;414;3;47;2;15;2;61;76;206;3;
703;Rimouski;2014-04-07;G;Rimouski, v;5;;52;406;3;28;3;26;1;47;67;175;7;
703;Rimouski;2014-04-07;G;Rimouski, v;5;;53;406;1;23;0;17;1;51;71;164;2;
703;Rimouski;2014-04-07;G;Rimouski, v;6;;54A;259;0;22;0;19;1;41;56;139;2;
703;Rimouski;2014-04-07;G;Rimouski, v;6;;54B;176;0;8;0;17;0;35;34;94;3;
703;Rimouski;2014-04-07;G;Rimouski, v;6;;55;403;2;28;0;34;4;52;89;209;7;
703;Rimouski;2014-04-07;G;Rimouski, v;6;;56;423;8;36;2;28;0;70;92;236;2;
703;Rimouski;2014-04-07;G;Rimouski, v;6;;57;398;3;24;1;20;3;61;72;184;0;
703;Rimouski;2014-04-07;G;Rimouski, v;6;;58;384;3;23;0;21;2;41;83;173;4;
703;Rimouski;2014-04-07;G;Rimouski, v;6;;59;389;1;24;1;21;1;41;62;151;0;
703;Rimouski;2014-04-07;G;Rimouski, v;6;;60;419;1;33;1;27;1;69;72;204;2;
703;Rimouski;2014-04-07;G;Rimouski, v;6;;61;399;3;19;0;23;0;70;91;206;3;
703;Rimouski;2014-04-07;G;Rimouski, v;6;;62A;207;1;16;0;20;2;41;32;112;1;
703;Rimouski;2014-04-07;G;Rimouski, v;6;;62B;252;1;17;0;17;0;55;50;140;0;
703;Rimouski;2014-04-07;G;Rimouski, v;7;;63;351;2;28;2;29;0;28;78;167;2;
703;Rimouski;2014-04-07;G;Rimouski, v;7;;64;345;0;27;3;27;1;40;77;175;3;
703;Rimouski;2014-04-07;G;Rimouski, v;7;;65;362;1;34;4;23;2;59;95;218;1;
703;Rimouski;2014-04-07;G;Rimouski, v;7;;66;362;0;28;1;23;1;44;74;171;1;
703;Rimouski;2014-04-07;G;Rimouski, v;7;;67;369;3;28;0;27;0;44;103;205;2;
703;Rimouski;2014-04-07;G;Rimouski, v;7;;68;346;3;26;0;15;0;29;91;164;1;
703;Rimouski;2014-04-07;G;Rimouski, v;8;;69;410;2;24;0;33;0;71;95;225;4;
703;Rimouski;2014-04-07;G;Rimouski, v;8;;70;362;1;31;3;15;0;44;68;162;2;
703;Rimouski;2014-04-07;G;Rimouski, v;8;;71;395;1;38;1;12;0;55;64;171;1;
703;Rimouski;2014-04-07;G;Rimouski, v;8;;72;700;1;20;0;7;2;13;38;81;0;
703;Rimouski;2014-04-07;G;Rimouski, v;8;;73;423;4;25;0;29;0;77;61;196;3;
703;Rimouski;2014-04-07;G;Rimouski, v;8;;74;371;0;16;0;18;1;58;69;162;5;
