Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cloutier Alexandre P.Q.;Dubé Francis P.N.;Fauteux-Aïmola Sabrina O.N. - P.I.Q.;Gagnon Pascal P.L.Q./Q.L.P.;Lavoie Yann É.A.P. - P.C.Q.;Marchildon Élise C.A.Q.-É.F.L.;Plamondon Frédérick Q.S.;B.V.;B.R.;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;2;;33;393;103;2;2;77;0;48;8;240;5;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;2;;34;413;110;3;2;66;3;61;3;248;4;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;2;;35;398;129;5;3;66;1;40;18;262;5;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;2;;36;399;93;2;2;83;0;45;18;243;0;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;3;;37;349;85;1;0;28;3;35;8;160;6;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;3;;38;352;87;1;3;33;0;30;24;178;3;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;3;;39;432;88;2;1;44;2;21;12;170;3;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;3;Regr. BVO-39;40;0;0;0;0;0;0;0;0;0;0;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;3;;41;372;68;3;1;48;0;35;13;168;10;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;3;;42;364;91;2;0;46;0;42;14;195;3;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;3;;43;352;85;4;1;43;1;34;14;182;1;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;4;;44;578;64;1;1;39;0;24;7;136;3;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;4;Regr. BVO-44;45;0;0;0;0;0;0;0;0;0;0;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;4;;46;412;97;1;3;52;0;33;10;196;1;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;4;;47;369;90;1;2;75;0;48;16;232;0;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;4;;48;380;107;3;0;70;0;52;11;243;7;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;4;;49;358;95;4;1;67;4;48;16;235;6;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;4;;50;378;121;3;2;37;3;48;16;230;12;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;5;;51;405;81;3;3;39;1;33;5;165;5;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;5;Regr. BVO-51;52;0;0;0;0;0;0;0;0;0;0;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;5;;53;384;72;2;4;38;0;28;16;160;2;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;5;;54;388;78;4;0;38;1;24;12;157;1;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;5;;55;406;113;0;0;43;1;56;15;228;2;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;5;;56;377;98;3;2;46;1;38;14;202;2;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;5;;57;380;81;3;1;37;2;28;17;169;3;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;6;;58;334;96;2;3;40;3;34;8;186;3;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;6;;59;331;78;0;2;39;2;25;22;168;1;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;6;;60;325;58;3;1;22;2;23;20;129;1;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;6;;61;329;65;1;1;30;1;22;12;132;7;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;6;;62;318;61;7;3;29;0;30;25;155;3;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;7;;63;482;86;2;1;39;0;27;21;176;5;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;7;Regr. BVO-63;64;0;0;0;0;0;0;0;0;0;0;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;7;;65;374;116;1;0;56;3;33;14;223;0;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;7;;66;320;86;4;1;48;1;33;8;181;9;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;7;;67;384;91;0;3;58;1;48;19;220;3;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;7;;68;373;93;2;1;57;1;59;7;220;1;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;7;;69;345;100;3;2;55;1;22;9;192;2;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;8;Regr. BVO-71;70;0;0;0;0;0;0;0;0;0;0;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;8;;71;461;105;3;3;62;1;47;12;233;7;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;8;;72;411;107;1;0;60;0;53;14;235;4;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;8;;73;404;84;2;1;80;0;66;11;244;6;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;8;;74;350;98;1;1;59;1;57;20;237;4;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;8;;75;377;102;0;3;58;3;46;14;226;3;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;8;;76;376;79;2;1;65;1;35;9;192;3;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;8;;77;398;75;2;0;68;3;29;12;189;2;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;9;;78;388;106;3;3;62;0;40;18;232;2;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;9;;79;351;97;2;2;56;1;32;18;208;4;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;9;;80;394;106;2;5;44;3;36;27;223;7;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;9;;81;363;104;1;3;50;3;47;16;224;3;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;10;;82;398;107;7;2;66;0;50;24;256;4;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;10;;83;429;79;1;1;54;4;33;11;183;2;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;10;Regr. BVO-83;84;0;0;0;0;0;0;0;0;0;0;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;10;;85;400;87;0;1;58;2;51;18;217;3;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;10;;86;418;108;1;2;70;0;52;25;258;4;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;10;;87;387;98;0;3;59;0;48;21;229;8;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;10;;88A;227;55;0;0;41;0;19;5;120;2;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;10;;88B;216;41;1;1;21;1;32;8;105;1;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;10;;89;378;97;0;2;65;1;49;19;233;3;
779;Lac-Saint-Jean;2014-04-07;G;Alma, v;10;;90;374;87;4;2;54;0;51;8;206;4;
779;Lac-Saint-Jean;2014-04-07;G;Larouche, m;1;;91;385;86;0;4;66;4;44;14;218;7;
779;Lac-Saint-Jean;2014-04-07;G;Larouche, m;1;;92;378;118;1;2;51;0;50;4;226;7;
779;Lac-Saint-Jean;2014-04-07;G;Larouche, m;1;;93;355;100;0;5;31;4;58;10;208;2;
