Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bélanger Frédéric P.N.;Chabot Isabelle P.L.Q./Q.L.P.;Lebel Daniel P.Q.;Phénix Alexandre O.N. - P.I.Q.;Picard François É.A.P. - P.C.Q.;Schneeberger Sébastien C.A.Q.-É.F.L.;Soulard Francis Q.S.;B.V.;B.R.;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Cyrille-de-Wendover, m;1;;47;360;3;42;76;0;0;97;10;228;2;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Cyrille-de-Wendover, m;1;;48;359;5;57;36;1;1;109;5;214;5;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Cyrille-de-Wendover, m;1;;49;389;1;48;62;1;0;96;11;219;4;
273;Drummond-Bois-Francs;2014-04-07;G;Saint-Cyrille-de-Wendover, m;1;;50;381;5;58;51;1;2;120;14;251;10;
273;Drummond-Bois-Francs;2014-04-07;G;Notre-Dame-du-Bon-Conseil, p;1;;51;357;2;65;54;0;2;88;16;227;4;
273;Drummond-Bois-Francs;2014-04-07;G;Notre-Dame-du-Bon-Conseil, p;1;;52;370;0;47;49;0;3;118;9;226;5;
273;Drummond-Bois-Francs;2014-04-07;G;Notre-Dame-du-Bon-Conseil, vl;1;;53;430;3;61;45;2;4;98;11;224;3;
273;Drummond-Bois-Francs;2014-04-07;G;Notre-Dame-du-Bon-Conseil, vl;1;;54;375;3;45;49;1;4;105;7;214;4;
273;Drummond-Bois-Francs;2014-04-07;G;Notre-Dame-du-Bon-Conseil, vl;1;;55;357;4;50;48;1;3;122;12;240;4;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;1;;56;288;4;20;65;1;1;85;4;180;2;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;1;;57;280;2;25;45;1;0;89;15;177;3;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;2;;58;353;1;51;54;0;2;88;17;213;6;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;2;;59;369;0;28;39;2;0;63;10;142;2;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;2;;60;352;2;42;41;2;4;75;16;182;4;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;2;;61;346;4;38;62;4;0;67;7;182;3;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;2;;62;346;1;30;28;1;1;77;15;153;2;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;2;;63;365;4;26;45;0;2;63;24;164;5;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;3;;64;646;5;50;61;0;2;80;16;214;7;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;3;;65;382;1;48;52;3;4;57;10;175;4;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;3;;66;387;1;60;50;2;0;62;15;190;4;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;3;;67;470;4;41;44;1;3;50;11;154;1;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;3;;68;398;2;36;48;1;1;57;12;157;3;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;3;;69;382;5;57;53;0;0;82;14;211;4;
273;Drummond-Bois-Francs;2014-04-07;G;Drummondville, v;3;;70;386;1;68;60;0;1;84;21;235;3;
