Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dion Marc Q.S.;Dubois Jean-René P.Q.;Lachapelle Marjolaine O.N. - P.I.Q.;Laquerre Guillaume É.A.P. - P.C.Q.;Martel Donald C.A.Q.-É.F.L.;Vallée Denis P.L.Q./Q.L.P.;B.V.;B.R.;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;4;;24;310;9;52;2;0;84;48;195;1;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;4;;25;311;7;39;2;0;90;53;191;2;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;4;;26;295;14;40;1;0;89;62;206;3;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;4;;27;353;8;37;2;2;102;53;204;2;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;4;;28;312;11;35;4;4;118;53;225;2;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;4;;29;319;10;53;5;0;91;54;213;5;
329;Nicolet-Bécancour;2014-04-07;G;Bécancour, v;4;;30;290;6;31;1;0;82;56;176;4;
329;Nicolet-Bécancour;2014-04-07;G;Wôlinak, ri;1;;31;141;4;10;1;1;23;22;61;0;
329;Nicolet-Bécancour;2014-04-07;G;Saint-Pierre-les-Becquets, m;1;;32;310;7;48;0;2;77;58;192;1;
329;Nicolet-Bécancour;2014-04-07;G;Saint-Pierre-les-Becquets, m;1;;33;317;11;33;1;0;70;31;146;2;
329;Nicolet-Bécancour;2014-04-07;G;Saint-Pierre-les-Becquets, m;1;;34;301;10;38;3;0;54;41;146;0;
329;Nicolet-Bécancour;2014-04-07;G;Deschaillons-sur-Saint-Laurent, m;1;;35;254;4;27;2;1;73;40;147;3;
329;Nicolet-Bécancour;2014-04-07;G;Deschaillons-sur-Saint-Laurent, m;1;;36;266;12;25;3;0;49;48;137;2;
329;Nicolet-Bécancour;2014-04-07;G;Deschaillons-sur-Saint-Laurent, m;1;;37;257;2;30;1;0;74;67;174;3;
329;Nicolet-Bécancour;2014-04-07;G;Parisville, p;1;;38;196;7;24;0;1;46;54;132;2;
