Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bissonnette Marc B.P.;Breton Daniel P.Q.;Klisko Anna P.L.Q./Q.L.P.;Lachapelle Serge P.M.L.Q.;Massé Manon Q.S.;Payne Nic O.N. - P.I.Q.;Thauvette Patrick C.A.Q.-É.F.L.;Wiseman Stewart P.V.Q./G.P.Q.;B.V.;B.R.;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;161;;26;314;1;34;44;0;41;0;8;0;128;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;161;;27;322;4;34;42;1;66;0;12;3;162;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;162;;28;334;4;42;40;1;57;2;22;7;175;3;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;162;;29;290;2;55;30;1;61;1;23;2;175;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;162;;30;400;1;70;40;0;60;1;32;2;206;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;162;;31;309;1;30;67;0;41;0;6;0;145;6;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;162;;32;332;2;50;27;0;46;3;16;5;149;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;162;;33;297;4;53;24;0;32;0;12;2;127;3;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;162;;34;328;0;42;27;0;35;0;22;0;126;1;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;162;;35;339;1;58;37;0;38;0;17;0;151;3;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;162;;36;289;1;44;20;0;55;1;16;1;138;0;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;162;;37;305;2;32;45;0;55;0;13;2;149;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;162;;38;302;0;53;33;0;63;0;9;1;159;2;
389;Sainte-Marie-Saint-Jacques;2014-04-07;G;Montréal, v;162;;39;327;3;43;33;0;31;0;11;2;123;4;
