Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bienvenu Michel P.L.Q./Q.L.P.;Boutin-Sinotte Hugo B.P.;Létourneau Josée O.N. - P.I.Q.;Ouellet Martine P.Q.;Robert Sébastien Q.S.;Robichaud Stéphane C.A.Q.-É.F.L.;B.V.;B.R.;
229;Vachon;2014-04-07;G;Longueuil, v;52;;47;337;25;1;0;50;7;41;124;3;
229;Vachon;2014-04-07;G;Longueuil, v;52;;48;295;48;0;5;19;7;31;110;4;
229;Vachon;2014-04-07;G;Longueuil, v;52;;49;311;47;2;1;47;6;36;139;4;
229;Vachon;2014-04-07;G;Longueuil, v;53;;50;383;38;2;1;59;12;48;160;2;
229;Vachon;2014-04-07;G;Longueuil, v;53;;51;341;49;0;1;61;12;60;183;1;
229;Vachon;2014-04-07;G;Longueuil, v;53;;52A;258;65;4;0;21;9;57;156;4;
229;Vachon;2014-04-07;G;Longueuil, v;53;;52B;245;34;4;0;19;11;39;107;2;
229;Vachon;2014-04-07;G;Longueuil, v;53;;53A;399;62;0;2;58;11;75;208;4;
229;Vachon;2014-04-07;G;Longueuil, v;53;;53B;361;62;1;0;58;10;77;208;4;
229;Vachon;2014-04-07;G;Longueuil, v;54;;54;296;35;0;1;50;18;60;164;3;
229;Vachon;2014-04-07;G;Longueuil, v;54;;55;301;39;2;1;50;11;53;156;1;
229;Vachon;2014-04-07;G;Longueuil, v;54;;56;305;65;0;1;46;12;62;186;2;
229;Vachon;2014-04-07;G;Longueuil, v;54;;57;294;50;0;1;41;8;24;124;3;
229;Vachon;2014-04-07;G;Longueuil, v;54;;58;311;38;1;0;40;14;24;117;0;
229;Vachon;2014-04-07;G;Longueuil, v;54;;59;285;38;1;0;58;16;47;160;1;
229;Vachon;2014-04-07;G;Longueuil, v;54;;60;291;34;0;1;48;10;61;154;5;
229;Vachon;2014-04-07;G;Longueuil, v;54;;61;311;38;2;1;55;12;40;148;2;
229;Vachon;2014-04-07;G;Longueuil, v;54;;62;306;31;0;2;57;19;36;145;4;
229;Vachon;2014-04-07;G;Longueuil, v;54;;63;302;31;0;2;70;11;46;160;5;
229;Vachon;2014-04-07;G;Longueuil, v;54;;64;312;46;2;4;54;13;53;172;6;
229;Vachon;2014-04-07;G;Longueuil, v;54;;65;352;80;6;2;37;13;67;205;2;
229;Vachon;2014-04-07;G;Longueuil, v;54;;66A;340;59;2;1;60;9;51;182;4;
229;Vachon;2014-04-07;G;Longueuil, v;54;;66B;331;98;4;1;38;7;48;196;4;
229;Vachon;2014-04-07;G;Longueuil, v;54;;67;343;51;1;2;67;8;45;174;5;
229;Vachon;2014-04-07;G;Longueuil, v;54;;68;329;49;1;0;84;29;50;213;5;
229;Vachon;2014-04-07;G;Longueuil, v;54;;69;324;45;2;0;65;9;69;190;4;
229;Vachon;2014-04-07;G;Longueuil, v;54;;70;368;40;0;0;57;17;44;158;3;
229;Vachon;2014-04-07;G;Longueuil, v;54;;71;312;54;1;1;56;17;58;187;4;
229;Vachon;2014-04-07;G;Longueuil, v;54;;72;324;52;2;2;56;18;67;197;4;
229;Vachon;2014-04-07;G;Longueuil, v;54;;73;327;42;1;0;60;14;61;178;5;
229;Vachon;2014-04-07;G;Longueuil, v;55;;74;315;50;1;1;50;15;45;162;2;
229;Vachon;2014-04-07;G;Longueuil, v;55;;75;392;37;2;1;48;10;52;150;4;
229;Vachon;2014-04-07;G;Longueuil, v;55;;76;287;31;2;2;56;8;40;139;3;
229;Vachon;2014-04-07;G;Longueuil, v;55;;77;307;33;0;0;50;7;42;132;1;
229;Vachon;2014-04-07;G;Longueuil, v;55;;78A;516;48;0;1;50;12;62;173;0;
229;Vachon;2014-04-07;G;Longueuil, v;55;;78B;317;51;0;0;60;8;43;162;3;
229;Vachon;2014-04-07;G;Longueuil, v;55;;79;323;44;0;1;61;9;52;167;5;
229;Vachon;2014-04-07;G;Longueuil, v;55;;80A;241;37;3;2;47;15;38;142;2;
229;Vachon;2014-04-07;G;Longueuil, v;55;;80B;204;27;1;1;29;11;40;109;3;
229;Vachon;2014-04-07;G;Longueuil, v;55;;81;302;51;1;2;44;7;59;164;5;
229;Vachon;2014-04-07;G;Longueuil, v;55;;82;343;40;2;1;61;16;51;171;7;
229;Vachon;2014-04-07;G;Longueuil, v;55;;83;348;59;2;0;53;12;49;175;2;
229;Vachon;2014-04-07;G;Longueuil, v;55;;84A;386;59;3;0;70;17;73;222;3;
229;Vachon;2014-04-07;G;Longueuil, v;55;;84B;393;43;0;2;82;17;54;198;2;
229;Vachon;2014-04-07;G;Longueuil, v;55;;85;337;55;0;0;59;8;65;187;3;
229;Vachon;2014-04-07;G;Longueuil, v;55;;86;357;64;1;1;54;14;71;205;3;
229;Vachon;2014-04-07;G;Longueuil, v;55;;87;327;79;0;0;40;10;53;182;5;
229;Vachon;2014-04-07;G;Longueuil, v;55;;88;309;63;5;0;68;13;47;196;0;
229;Vachon;2014-04-07;G;Longueuil, v;55;;89;334;86;2;4;44;13;62;211;2;
229;Vachon;2014-04-07;G;Longueuil, v;55;;90;333;64;1;1;62;18;55;201;9;
229;Vachon;2014-04-07;G;Longueuil, v;55;;91;308;64;1;1;45;7;66;184;3;
229;Vachon;2014-04-07;G;Longueuil, v;55;;92;303;61;2;1;37;23;61;185;4;
229;Vachon;2014-04-07;G;Longueuil, v;55;;93;326;51;2;2;59;12;65;191;5;
229;Vachon;2014-04-07;G;Longueuil, v;55;;94;322;43;2;2;64;13;57;181;0;
229;Vachon;2014-04-07;G;Longueuil, v;55;;95;336;67;1;2;33;10;65;178;3;
229;Vachon;2014-04-07;G;Longueuil, v;55;;96;323;68;1;0;60;12;46;187;0;
229;Vachon;2014-04-07;G;Longueuil, v;56;;97;413;40;1;3;74;14;68;200;6;
229;Vachon;2014-04-07;G;Longueuil, v;56;;98;325;42;4;1;49;9;66;171;6;
229;Vachon;2014-04-07;G;Longueuil, v;56;;99;367;51;3;2;45;11;66;178;3;
229;Vachon;2014-04-07;G;Longueuil, v;56;;100A;208;33;0;0;28;6;45;112;1;
229;Vachon;2014-04-07;G;Longueuil, v;56;;100B;244;36;2;1;36;5;59;139;3;
229;Vachon;2014-04-07;G;Longueuil, v;56;;101A;274;56;2;0;23;6;52;139;2;
229;Vachon;2014-04-07;G;Longueuil, v;56;;101B;306;35;0;1;54;12;66;168;4;
229;Vachon;2014-04-07;G;Longueuil, v;56;;102;293;31;0;4;54;10;34;133;4;
229;Vachon;2014-04-07;G;Longueuil, v;56;;103;292;32;3;3;55;7;27;127;4;
229;Vachon;2014-04-07;G;Longueuil, v;56;;104;294;29;3;3;41;11;56;143;8;
229;Vachon;2014-04-07;G;Longueuil, v;56;;105;315;39;3;1;46;18;35;142;4;
229;Vachon;2014-04-07;G;Longueuil, v;56;;106;297;35;2;1;39;15;51;143;4;
229;Vachon;2014-04-07;G;Longueuil, v;56;;107;292;28;0;1;50;8;53;140;0;
229;Vachon;2014-04-07;G;Longueuil, v;57;;108;275;37;2;0;44;7;55;145;2;
229;Vachon;2014-04-07;G;Longueuil, v;57;;109;365;107;6;0;42;11;41;207;3;
229;Vachon;2014-04-07;G;Longueuil, v;57;;110;295;78;0;0;34;10;25;147;3;
229;Vachon;2014-04-07;G;Longueuil, v;57;;111;319;66;2;2;56;11;30;167;3;
229;Vachon;2014-04-07;G;Longueuil, v;57;;112;326;63;2;1;51;12;44;173;3;
229;Vachon;2014-04-07;G;Longueuil, v;57;;113;307;51;0;0;54;13;47;165;5;
229;Vachon;2014-04-07;G;Longueuil, v;57;;114;295;52;2;1;43;23;25;146;4;
229;Vachon;2014-04-07;G;Longueuil, v;57;;115;316;36;2;2;59;18;48;165;13;
229;Vachon;2014-04-07;G;Longueuil, v;57;;116A;254;47;4;0;28;10;52;141;4;
229;Vachon;2014-04-07;G;Longueuil, v;57;;116B;321;93;2;0;25;10;53;183;1;
