Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dessureault Vincent P.N.;Ferdinand Magdala P.L.Q./Q.L.P.;Harper Mary P.V.Q./G.P.Q.;Laramée Martin O.N. - P.I.Q.;Maher Michael É.A.P. - P.C.Q.;Roberge Jean-François C.A.Q.-É.F.L.;St-Arnaud Bertrand P.Q.;Vigeant Francis Q.S.;B.V.;B.R.;
193;Chambly;2014-04-07;G;Chambly, v;4;;89;401;3;38;2;5;0;96;63;13;220;5;
193;Chambly;2014-04-07;G;Chambly, v;4;;90;348;2;42;3;0;0;70;65;11;193;3;
193;Chambly;2014-04-07;G;Chambly, v;4;;91;304;2;43;1;0;1;53;55;9;164;2;
193;Chambly;2014-04-07;G;Chambly, v;4;;92;277;1;28;4;0;1;52;42;15;143;2;
193;Chambly;2014-04-07;G;Chambly, v;4;;93;304;5;22;2;4;0;57;50;25;165;2;
193;Chambly;2014-04-07;G;Chambly, v;4;;94;345;3;49;1;0;0;80;46;13;192;1;
193;Chambly;2014-04-07;G;Chambly, v;4;;95;328;5;31;1;0;0;90;41;15;183;2;
193;Chambly;2014-04-07;G;Chambly, v;5;;96;302;4;38;3;1;0;68;41;9;164;0;
193;Chambly;2014-04-07;G;Chambly, v;5;;97;329;1;43;2;1;0;75;59;23;204;1;
193;Chambly;2014-04-07;G;Chambly, v;5;;98;423;4;66;2;1;2;102;83;14;274;5;
193;Chambly;2014-04-07;G;Chambly, v;5;;99;337;5;27;3;3;2;54;55;14;163;0;
193;Chambly;2014-04-07;G;Chambly, v;5;;100;309;3;31;1;3;1;46;56;11;152;3;
193;Chambly;2014-04-07;G;Chambly, v;5;;101;545;1;42;4;1;0;47;56;10;161;3;
193;Chambly;2014-04-07;G;Chambly, v;5;;102;333;4;24;1;0;0;53;69;19;170;2;
193;Chambly;2014-04-07;G;Chambly, v;5;;103;301;1;25;1;1;0;56;56;8;148;3;
193;Chambly;2014-04-07;G;Chambly, v;5;;104;318;6;32;3;0;0;51;57;16;165;5;
193;Chambly;2014-04-07;G;Chambly, v;5;;105;314;2;43;1;2;0;59;62;13;182;4;
193;Chambly;2014-04-07;G;Chambly, v;5;;106;312;1;29;5;0;0;73;45;15;168;4;
193;Chambly;2014-04-07;G;Chambly, v;6;;107;335;5;23;2;1;0;51;46;13;141;1;
193;Chambly;2014-04-07;G;Chambly, v;6;;108;333;5;34;7;2;0;56;65;19;188;4;
193;Chambly;2014-04-07;G;Chambly, v;6;;109;305;4;26;3;1;2;52;59;12;159;3;
193;Chambly;2014-04-07;G;Chambly, v;6;;110;310;2;29;2;4;1;53;56;17;164;2;
193;Chambly;2014-04-07;G;Chambly, v;6;;111;307;0;23;3;0;1;72;38;12;149;2;
193;Chambly;2014-04-07;G;Chambly, v;6;;112;297;6;30;0;0;1;61;53;6;157;2;
193;Chambly;2014-04-07;G;Chambly, v;6;;113;306;7;19;2;5;1;53;43;8;138;2;
193;Chambly;2014-04-07;G;Chambly, v;6;;114;290;6;32;0;2;2;48;42;14;146;1;
193;Chambly;2014-04-07;G;Chambly, v;6;;115;276;1;22;1;0;0;61;38;6;129;0;
193;Chambly;2014-04-07;G;Saint-Mathias-sur-Richelieu, m;1;;116;299;1;31;2;0;1;56;36;1;128;5;
193;Chambly;2014-04-07;G;Saint-Mathias-sur-Richelieu, m;1;;117;356;3;48;2;1;2;65;82;12;215;6;
193;Chambly;2014-04-07;G;Saint-Mathias-sur-Richelieu, m;1;;118;313;6;38;3;0;3;65;53;7;175;3;
193;Chambly;2014-04-07;G;Saint-Mathias-sur-Richelieu, m;1;;119;317;2;32;3;3;0;75;68;21;204;5;
193;Chambly;2014-04-07;G;Saint-Mathias-sur-Richelieu, m;1;;120;320;1;22;6;1;0;78;81;11;200;2;
193;Chambly;2014-04-07;G;Saint-Mathias-sur-Richelieu, m;1;;121;328;3;26;3;2;0;97;46;14;191;3;
193;Chambly;2014-04-07;G;Saint-Mathias-sur-Richelieu, m;1;;122;364;0;22;3;1;0;101;76;16;219;2;
