Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Gélineau Jacques Q.S.;Méthot Laurence P.L.Q./Q.L.P.;Pinard Christine C.A.Q.-É.F.L.;Richard Lorraine P.Q.;Rivard Yan O.N. - P.I.Q.;B.V.;B.R.;
745;Duplessis;2014-04-07;G;Côte-Nord-du-Golfe-du-Saint-Laurent, m;1;;20;141;2;37;9;17;0;65;5;
745;Duplessis;2014-04-07;G;La Romaine, ri;1;;21A;235;0;18;2;3;0;23;1;
745;Duplessis;2014-04-07;G;La Romaine, ri;1;;21B;206;6;14;1;6;0;27;1;
745;Duplessis;2014-04-07;G;Natashquan, ri;1;;22A;231;6;39;2;1;0;48;0;
745;Duplessis;2014-04-07;G;Natashquan, ri;1;;22B;283;4;47;4;3;0;58;0;
745;Duplessis;2014-04-07;G;Natashquan, ct;1;;23;227;12;46;22;52;1;133;8;
745;Duplessis;2014-04-07;G;Aguanish, m;1;;24;248;4;39;19;77;0;139;2;
745;Duplessis;2014-04-07;G;Baie-Johan-Beetz, m;1;;25;78;3;32;6;20;1;62;2;
745;Duplessis;2014-04-07;G;Havre-Saint-Pierre, m;1;;26;262;6;34;17;70;2;129;4;
745;Duplessis;2014-04-07;G;Havre-Saint-Pierre, m;1;;27;248;8;35;7;81;1;132;8;
745;Duplessis;2014-04-07;G;Havre-Saint-Pierre, m;1;;28;312;10;13;17;84;1;125;4;
745;Duplessis;2014-04-07;G;Havre-Saint-Pierre, m;1;;29;296;5;36;18;90;2;151;8;
745;Duplessis;2014-04-07;G;Havre-Saint-Pierre, m;1;;30;332;15;27;13;119;2;176;2;
745;Duplessis;2014-04-07;G;Havre-Saint-Pierre, m;1;;31;387;19;29;22;134;1;205;5;
745;Duplessis;2014-04-07;G;Havre-Saint-Pierre, m;1;;32;246;8;19;13;81;3;124;2;
745;Duplessis;2014-04-07;G;Havre-Saint-Pierre, m;1;;33;216;4;20;11;82;1;118;1;
745;Duplessis;2014-04-07;G;Havre-Saint-Pierre, m;1;;34A;291;7;24;7;92;2;132;8;
745;Duplessis;2014-04-07;G;Havre-Saint-Pierre, m;1;;34B;289;8;22;25;85;3;143;2;
745;Duplessis;2014-04-07;G;Longue-Pointe-de-Mingan, m;1;Regr. BVDS-1;35;176;0;0;0;0;0;0;0;
745;Duplessis;2014-04-07;G;Longue-Pointe-de-Mingan, m;1;;36;218;22;28;7;73;0;130;3;
745;Duplessis;2014-04-07;G;Mingan, ri;1;Regr. BVDS-1;37;189;0;0;0;0;0;0;0;
745;Duplessis;2014-04-07;G;Rivière-Saint-Jean, m;1;;38;215;16;40;10;53;0;119;1;
745;Duplessis;2014-04-07;G;Rivière-au-Tonnerre, m;1;;39;59;2;9;5;14;0;30;1;
745;Duplessis;2014-04-07;G;Rivière-au-Tonnerre, m;1;;40;220;7;46;13;68;2;136;5;
745;Duplessis;2014-04-07;G;Maliotenam, ri;1;;41A;222;6;15;5;5;0;31;1;
745;Duplessis;2014-04-07;G;Maliotenam, ri;1;;41B;218;4;10;1;2;1;18;0;
745;Duplessis;2014-04-07;G;Maliotenam, ri;1;;42;318;6;33;10;6;0;55;0;
745;Duplessis;2014-04-07;G;Sept-Îles, v;1;;43;310;10;46;40;80;1;177;5;
745;Duplessis;2014-04-07;G;Sept-Îles, v;1;;44;310;20;57;32;68;2;179;4;
745;Duplessis;2014-04-07;G;Sept-Îles, v;2;;45;166;10;21;14;41;2;88;4;
745;Duplessis;2014-04-07;G;Sept-Îles, v;2;;46;249;13;41;15;60;4;133;9;
745;Duplessis;2014-04-07;G;Sept-Îles, v;3;;47;301;26;45;23;63;3;160;0;
745;Duplessis;2014-04-07;G;Sept-Îles, v;3;;48;260;6;28;16;56;5;111;3;
745;Duplessis;2014-04-07;G;Sept-Îles, v;3;;49;274;8;27;21;89;7;152;2;
745;Duplessis;2014-04-07;G;Sept-Îles, v;3;;50;237;11;34;17;50;11;123;2;
745;Duplessis;2014-04-07;G;Sept-Îles, v;3;;51;265;8;30;19;67;5;129;11;
745;Duplessis;2014-04-07;G;Sept-Îles, v;3;;52;256;6;50;18;57;9;140;5;
745;Duplessis;2014-04-07;G;Sept-Îles, v;3;;53;271;13;42;15;63;3;136;7;
745;Duplessis;2014-04-07;G;Sept-Îles, v;3;;54;259;4;32;11;50;7;104;9;
745;Duplessis;2014-04-07;G;Sept-Îles, v;3;;55;269;14;29;13;68;5;129;4;
745;Duplessis;2014-04-07;G;Sept-Îles, v;4;;56;228;7;42;17;51;4;121;1;
745;Duplessis;2014-04-07;G;Sept-Îles, v;4;;57;242;9;31;19;57;9;125;4;
745;Duplessis;2014-04-07;G;Sept-Îles, v;4;;58;260;7;59;31;61;5;163;2;
745;Duplessis;2014-04-07;G;Sept-Îles, v;4;;59;315;7;48;28;79;3;165;3;
745;Duplessis;2014-04-07;G;Sept-Îles, v;4;;60;249;7;40;17;55;0;119;2;
745;Duplessis;2014-04-07;G;Sept-Îles, v;4;;61;232;8;23;11;38;1;81;3;
745;Duplessis;2014-04-07;G;Sept-Îles, v;4;;62;242;6;45;24;55;6;136;2;
