Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Colangelo Lauzon Mikey É.A.P. - P.C.Q.;Corriveau Robert P.L.Q./Q.L.P.;Hivon Véronique P.Q.;Larouche Denise C.A.Q.-É.F.L.;Legault Sylvain O.N. - P.I.Q.;Trudel Flavie Q.S.;B.V.;B.R.;
361;Joliette;2014-04-07;G;Notre-Dame-des-Prairies, v;1;;34;333;0;25;73;52;2;11;163;1;
361;Joliette;2014-04-07;G;Notre-Dame-des-Prairies, v;1;;35;404;1;26;72;56;3;19;177;4;
361;Joliette;2014-04-07;G;Notre-Dame-des-Prairies, v;1;;36;356;0;27;60;34;2;12;135;1;
361;Joliette;2014-04-07;G;Notre-Dame-des-Prairies, v;1;;37;379;3;25;96;69;3;14;210;0;
361;Joliette;2014-04-07;G;Notre-Dame-des-Prairies, v;1;;38;359;1;15;111;58;1;9;195;5;
361;Joliette;2014-04-07;G;Notre-Dame-des-Prairies, v;1;;39;367;1;29;76;74;0;14;194;6;
361;Joliette;2014-04-07;G;Notre-Dame-des-Prairies, v;1;;40;398;0;28;85;61;7;20;201;7;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;1;;41;420;1;32;85;58;3;15;194;5;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;1;;42A;251;0;17;61;35;1;8;122;2;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;1;;42B;187;0;17;39;28;2;2;88;0;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;1;;43A;246;2;33;48;49;3;6;141;1;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;1;;43B;203;1;14;52;28;1;5;101;3;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;1;;44;404;3;33;80;72;2;20;210;0;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;1;Regr. BVO-46;45;0;0;0;0;0;0;0;0;0;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;1;;46;537;2;23;88;66;1;9;189;8;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;1;;47;391;1;35;80;62;3;11;192;3;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;1;;48;392;2;26;84;59;0;10;181;5;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;1;;49;394;0;27;61;48;1;11;148;3;
361;Joliette;2014-04-07;G;Saint-Charles-Borromée, m;1;;50;395;1;25;66;61;3;16;172;5;
