Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arpin Louise P.L.Q./Q.L.P.;Labbé Simon É.A.P. - P.C.Q.;Pelland Danielle Q.S.;Pelletier Émilien P.Q.;Pothier Éric O.N. - P.I.Q.;Soucy Chantal C.A.Q.-É.F.L.;B.V.;B.R.;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;4;;37;382;59;0;8;59;1;70;197;8;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;4;;38;353;49;1;10;44;3;54;161;2;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;4;;39;366;75;3;6;38;5;67;194;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;4;;40;498;72;0;14;57;0;52;195;6;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;5;;41;353;61;0;14;45;1;53;174;1;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;5;;42;375;35;0;28;58;4;55;180;11;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;5;;43;577;41;1;11;53;2;63;171;8;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;6;;44;350;30;0;22;60;1;44;157;0;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;6;;45;384;61;1;13;49;3;45;172;8;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;6;;46;372;40;3;22;40;4;41;150;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;6;;47;321;24;0;7;31;1;11;74;1;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;6;;48;515;22;0;13;33;4;32;104;1;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;7;;49;371;23;0;16;33;1;36;109;8;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;7;;50;385;46;1;9;55;0;44;155;2;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;7;;51;361;29;1;19;46;1;42;138;8;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;7;;52;344;62;1;16;42;1;68;190;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;7;;53;340;51;2;21;33;1;44;152;3;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;8;;54;401;29;2;15;58;3;46;153;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;8;;55;361;57;2;15;50;3;59;186;1;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;8;;56;345;52;0;16;50;1;46;165;1;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;8;;57;348;42;1;8;49;0;47;147;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;8;;58;339;49;0;10;41;3;42;145;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;9;;59;587;53;2;11;61;0;66;193;7;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;9;;60;389;50;3;15;65;0;87;220;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;9;;61;693;63;0;6;70;3;89;231;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;9;;62A;202;39;2;8;41;1;43;134;2;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;9;;62B;223;37;0;16;31;2;29;115;0;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;9;;63;397;91;0;12;61;1;80;245;8;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;9;;64;385;90;0;7;76;0;68;241;0;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;9;;65;440;75;1;15;55;3;65;214;5;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;9;;66A;241;33;0;9;36;0;24;102;2;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;9;;66B;228;67;2;6;26;1;28;130;1;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;10;;67;398;28;0;12;54;4;36;134;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;10;;68;374;23;2;16;38;1;36;116;1;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;10;;69;367;32;1;22;36;2;37;130;3;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;10;;70;357;37;0;17;34;2;30;120;3;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;10;;71;335;43;1;12;52;1;36;145;1;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;11;;72;381;82;1;5;29;0;29;146;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;11;;73A;217;37;1;9;39;1;55;142;1;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;11;;73B;248;35;1;10;41;5;48;140;4;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;11;;74;374;33;0;20;68;5;65;191;8;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;11;;75;372;40;3;15;77;3;61;199;3;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;11;;76;395;39;5;24;61;5;54;188;2;
263;Saint-Hyacinthe;2014-04-07;G;Saint-Hyacinthe, v;11;;77;364;61;0;24;60;1;49;195;6;
