Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Canning Justin P.N.;Dandenault Christine P.M.L.Q.;Leduc Alexandre Q.S.;Lewis-Richmond Malcolm P.V.Q./G.P.Q.;Mallette Etienne B.P.;Marchand Simon O.N. - P.I.Q.;Poirier Carole P.Q.;Provencher David P.L.Q./Q.L.P.;Walsh Brendan C.A.Q.-É.F.L.;B.V.;B.R.;
387;Hochelaga-Maisonneuve;2014-04-07;G;BVA11;;;;0;0;1;34;2;2;0;85;69;16;209;3;
387;Hochelaga-Maisonneuve;2014-04-07;G;BVA12;;;;0;0;2;80;0;3;3;78;36;14;216;2;
387;Hochelaga-Maisonneuve;2014-04-07;G;BVA13;;;;0;1;0;58;0;1;2;90;20;16;188;4;
387;Hochelaga-Maisonneuve;2014-04-07;G;BVA14;;;;0;1;0;45;2;0;3;107;40;15;213;5;
387;Hochelaga-Maisonneuve;2014-04-07;G;BVA15;;;;0;0;0;88;5;0;7;110;27;25;262;3;
387;Hochelaga-Maisonneuve;2014-04-07;G;BVA16;;;;0;2;3;120;2;0;3;130;52;43;355;9;
387;Hochelaga-Maisonneuve;2014-04-07;G;BVA17;;;;0;1;1;48;3;1;4;75;57;21;211;6;
387;Hochelaga-Maisonneuve;2014-04-07;G;BVA18;;;;0;1;1;31;0;1;4;53;25;11;127;1;
387;Hochelaga-Maisonneuve;2014-04-07;G;Vote en installation d'hébergement;;;;0;2;0;18;7;6;7;70;92;23;225;7;
387;Hochelaga-Maisonneuve;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;1;1;5;1;1;0;41;16;6;72;2;
387;Hochelaga-Maisonneuve;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;7;1;182;14;3;8;225;86;32;558;0;
387;Hochelaga-Maisonneuve;2014-04-07;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;0;0;
387;Hochelaga-Maisonneuve;2014-04-07;G;Vote hors circonscription;;;;0;2;1;257;11;3;11;111;75;25;496;14;
387;Hochelaga-Maisonneuve;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;51;0;0;0;0;0;0;0;0;0;0;0;
387;Hochelaga-Maisonneuve;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;36;0;0;0;0;0;0;0;0;0;0;0;
387;Hochelaga-Maisonneuve;2014-04-07;G;Total de la circonscription;;;;41405;278;61;7926;352;182;316;9038;4675;3097;25925;447;
387;Hochelaga-Maisonneuve;2014-04-07;G;Majorité en faveur de Carole Poirier : 1112
