Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Glia Meriem P.L.Q./Q.L.P.;Jacob Jean-François O.N. - P.I.Q.;Jarry Jean-François C.A.Q.-É.F.L.;Smith Yan Q.S.;Traversy Mathieu P.Q.;B.V.;B.R.;
453;Terrebonne;2014-04-07;G;Terrebonne, v;8;;49;312;52;0;60;13;49;174;6;
453;Terrebonne;2014-04-07;G;Terrebonne, v;8;;50;333;56;1;91;16;46;210;6;
453;Terrebonne;2014-04-07;G;Terrebonne, v;8;;51;328;28;0;68;11;78;185;2;
453;Terrebonne;2014-04-07;G;Terrebonne, v;8;;52;313;35;2;68;8;64;177;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;8;;53;310;44;4;71;15;60;194;4;
453;Terrebonne;2014-04-07;G;Terrebonne, v;8;;54;300;36;1;62;7;62;168;0;
453;Terrebonne;2014-04-07;G;Terrebonne, v;8;;55;321;29;2;75;10;59;175;8;
453;Terrebonne;2014-04-07;G;Terrebonne, v;9;;56;328;41;1;53;8;54;157;4;
453;Terrebonne;2014-04-07;G;Terrebonne, v;9;;57;332;29;6;60;9;80;184;7;
453;Terrebonne;2014-04-07;G;Terrebonne, v;9;;58;325;44;3;63;12;69;191;7;
453;Terrebonne;2014-04-07;G;Terrebonne, v;9;;59;346;37;2;76;10;100;225;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;9;;60;349;42;1;71;14;65;193;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;9;;61;321;46;0;85;17;64;212;8;
453;Terrebonne;2014-04-07;G;Terrebonne, v;9;;62;304;39;2;76;11;62;190;1;
453;Terrebonne;2014-04-07;G;Terrebonne, v;9;;63;316;26;5;88;14;75;208;2;
453;Terrebonne;2014-04-07;G;Terrebonne, v;9;;64;300;53;2;66;16;73;210;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;9;;65;340;55;2;82;12;85;236;6;
453;Terrebonne;2014-04-07;G;Terrebonne, v;10;;66;302;39;1;64;13;55;172;2;
453;Terrebonne;2014-04-07;G;Terrebonne, v;10;;67;294;22;2;70;10;72;176;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;10;;68;329;24;1;48;12;90;175;8;
453;Terrebonne;2014-04-07;G;Terrebonne, v;10;;69;436;46;0;77;15;77;215;8;
453;Terrebonne;2014-04-07;G;Terrebonne, v;10;;70;325;67;2;68;9;59;205;2;
453;Terrebonne;2014-04-07;G;Terrebonne, v;10;;71;310;59;2;89;8;36;194;0;
453;Terrebonne;2014-04-07;G;Terrebonne, v;10;;72;335;63;0;100;12;42;217;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;10;;73;312;52;1;88;10;41;192;1;
453;Terrebonne;2014-04-07;G;Terrebonne, v;10;;74;310;42;1;65;5;72;185;6;
453;Terrebonne;2014-04-07;G;Terrebonne, v;10;;75;307;54;1;69;8;57;189;7;
453;Terrebonne;2014-04-07;G;Terrebonne, v;10;;76;342;65;2;99;13;47;226;0;
453;Terrebonne;2014-04-07;G;Terrebonne, v;11;;77;489;24;2;79;17;82;204;4;
453;Terrebonne;2014-04-07;G;Terrebonne, v;11;;78;324;33;2;51;14;76;176;7;
453;Terrebonne;2014-04-07;G;Terrebonne, v;11;;79;313;39;3;52;18;77;189;8;
453;Terrebonne;2014-04-07;G;Terrebonne, v;11;;80;306;27;2;70;11;64;174;4;
453;Terrebonne;2014-04-07;G;Terrebonne, v;11;;81;271;36;2;51;17;72;178;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;11;;82;299;41;0;65;13;68;187;4;
453;Terrebonne;2014-04-07;G;Terrebonne, v;11;;83;308;42;1;49;16;70;178;3;
453;Terrebonne;2014-04-07;G;Terrebonne, v;11;;84;302;47;1;50;15;64;177;6;
453;Terrebonne;2014-04-07;G;Terrebonne, v;11;;85;282;32;0;65;15;60;172;0;
453;Terrebonne;2014-04-07;G;Terrebonne, v;11;;86;309;28;1;74;7;65;175;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;11;;87;307;27;1;67;10;68;173;5;
453;Terrebonne;2014-04-07;G;Terrebonne, v;12;;88;305;46;2;71;13;73;205;3;
