Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaulieu Hugues C.A.Q.-É.F.L.;Bolduc Yves P.L.Q./Q.L.P.;Couillard Maxime P.N.;Gueppe Eveline Q.S.;Laberge Clément P.Q.;Lavallée Alexandre O.N. - P.I.Q.;Pouleur Stéphane É.A.;Roy Verville Monique É.A.P. - P.C.Q.;B.V.;B.R.;
643;Jean-Talon;2014-04-07;G;Québec, v;22;;24;366;53;69;1;22;41;2;0;2;190;4;
643;Jean-Talon;2014-04-07;G;Québec, v;22;;25;366;52;71;3;21;59;0;0;1;207;2;
643;Jean-Talon;2014-04-07;G;Québec, v;22;;26;350;36;66;2;29;35;2;0;1;171;4;
643;Jean-Talon;2014-04-07;G;Québec, v;22;;27;343;40;79;5;16;36;0;0;2;178;1;
643;Jean-Talon;2014-04-07;G;Québec, v;22;;28;375;56;47;2;14;24;6;1;1;151;4;
643;Jean-Talon;2014-04-07;G;Québec, v;22;;29;343;44;46;2;13;29;1;0;0;135;2;
643;Jean-Talon;2014-04-07;G;Québec, v;22;;30;361;48;71;1;14;32;5;0;0;171;4;
643;Jean-Talon;2014-04-07;G;Québec, v;23;;31;356;59;67;4;21;36;1;0;1;189;0;
643;Jean-Talon;2014-04-07;G;Québec, v;23;;32;340;47;71;1;15;41;0;2;1;178;4;
643;Jean-Talon;2014-04-07;G;Québec, v;23;;33;329;37;69;0;9;33;3;1;2;154;1;
643;Jean-Talon;2014-04-07;G;Québec, v;23;;34;370;46;104;3;23;33;4;0;1;214;1;
643;Jean-Talon;2014-04-07;G;Québec, v;23;;35;370;58;83;0;22;50;5;0;1;219;5;
643;Jean-Talon;2014-04-07;G;Québec, v;23;;36;384;55;77;0;24;43;5;2;3;209;2;
643;Jean-Talon;2014-04-07;G;Québec, v;23;;37;350;38;70;1;11;50;6;1;0;177;4;
643;Jean-Talon;2014-04-07;G;Québec, v;23;;38;343;42;97;1;14;25;1;0;2;182;4;
643;Jean-Talon;2014-04-07;G;Québec, v;23;;39;350;37;85;0;13;45;2;0;7;189;3;
643;Jean-Talon;2014-04-07;G;Québec, v;24;;40;375;44;68;4;18;35;5;0;2;176;1;
643;Jean-Talon;2014-04-07;G;Québec, v;24;;41;392;64;50;4;25;36;6;0;4;189;2;
643;Jean-Talon;2014-04-07;G;Québec, v;24;;42;377;50;83;8;17;39;5;0;3;205;0;
643;Jean-Talon;2014-04-07;G;Québec, v;24;;43;386;55;50;6;11;42;5;0;0;169;3;
643;Jean-Talon;2014-04-07;G;Québec, v;24;;44;360;64;51;2;11;26;6;0;1;161;3;
643;Jean-Talon;2014-04-07;G;Québec, v;24;;45;383;52;58;0;25;38;5;1;2;181;2;
643;Jean-Talon;2014-04-07;G;Québec, v;25;;46;377;48;57;4;26;32;3;1;2;173;5;
643;Jean-Talon;2014-04-07;G;Québec, v;25;;47;353;46;54;2;23;36;2;0;2;165;1;
