Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Belva Ariane O.N. - P.I.Q.;Chrétien-Pineault Marie-Lise Q.S.;Claveau Jean-Marie P.Q.;Emond Claudie C.A.Q.-É.F.L.;Simard Serge P.L.Q./Q.L.P.;Tremblay Pascal Ind;B.V.;B.R.;
759;Dubuc;2014-04-07;G;Saguenay, v;26;Regr. BVO-69;70;0;0;0;0;0;0;0;0;0;
759;Dubuc;2014-04-07;G;Saguenay, v;26;;71;267;4;12;35;21;53;4;129;3;
759;Dubuc;2014-04-07;G;Saguenay, v;26;;72;300;0;8;60;25;84;2;179;1;
759;Dubuc;2014-04-07;G;Saguenay, v;26;;73;370;0;13;43;32;118;2;208;0;
759;Dubuc;2014-04-07;G;Saguenay, v;26;;74;282;1;4;43;24;53;3;128;2;
759;Dubuc;2014-04-07;G;Saguenay, v;26;;75;262;1;7;32;26;88;7;161;2;
759;Dubuc;2014-04-07;G;Saguenay, v;27;;76;397;4;10;92;29;78;4;217;2;
759;Dubuc;2014-04-07;G;Saguenay, v;27;;77;292;2;10;43;21;91;0;167;4;
759;Dubuc;2014-04-07;G;Saguenay, v;27;;78;294;4;4;38;29;97;3;175;1;
759;Dubuc;2014-04-07;G;Saguenay, v;27;;79;291;0;9;45;31;85;2;172;2;
759;Dubuc;2014-04-07;G;Saguenay, v;27;;80;287;0;2;35;16;43;2;98;3;
759;Dubuc;2014-04-07;G;Saguenay, v;27;Regr. BVO-80;81;0;0;0;0;0;0;0;0;0;
759;Dubuc;2014-04-07;G;Saguenay, v;27;;82;294;0;6;51;30;92;1;180;1;
759;Dubuc;2014-04-07;G;Saguenay, v;27;;83;313;1;8;50;49;69;4;181;5;
759;Dubuc;2014-04-07;G;Saguenay, v;27;;84;308;0;6;50;17;64;8;145;6;
759;Dubuc;2014-04-07;G;Saguenay, v;27;Regr. BVO-84;85;0;0;0;0;0;0;0;0;0;
759;Dubuc;2014-04-07;G;Saguenay, v;42;Regr. BVO-7;86;0;0;0;0;0;0;0;0;0;
759;Dubuc;2014-04-07;G;Saint-Honoré, m;1;;87;327;1;13;69;32;51;6;172;6;
759;Dubuc;2014-04-07;G;Saint-Honoré, m;1;;88;333;3;9;53;50;62;2;179;7;
759;Dubuc;2014-04-07;G;Saint-Honoré, m;1;;89;301;1;6;39;38;41;0;125;8;
759;Dubuc;2014-04-07;G;Saint-Honoré, m;1;;90A;244;2;10;40;35;51;1;139;1;
759;Dubuc;2014-04-07;G;Saint-Honoré, m;1;;90B;220;0;4;33;24;29;3;93;5;
759;Dubuc;2014-04-07;G;Saint-Honoré, m;1;;91A;248;1;2;35;35;44;3;120;4;
759;Dubuc;2014-04-07;G;Saint-Honoré, m;1;;91B;235;2;16;43;35;43;3;142;3;
759;Dubuc;2014-04-07;G;Saint-Honoré, m;1;;92;299;5;5;30;33;54;2;129;6;
759;Dubuc;2014-04-07;G;Saint-Honoré, m;1;;93A;310;1;17;31;48;46;5;148;12;
759;Dubuc;2014-04-07;G;Saint-Honoré, m;1;;93B;215;1;4;25;32;30;3;95;6;
759;Dubuc;2014-04-07;G;Saint-Honoré, m;1;;94;362;2;13;53;45;59;8;180;8;
759;Dubuc;2014-04-07;G;Saint-Honoré, m;1;;95;384;8;12;58;49;85;3;215;5;
759;Dubuc;2014-04-07;G;Saint-Honoré, m;1;;96;229;4;7;37;25;42;4;119;8;
759;Dubuc;2014-04-07;G;Saint-Honoré, m;1;;97;339;2;3;60;56;46;0;167;1;
759;Dubuc;2014-04-07;G;Saint-Honoré, m;1;;98;293;6;9;38;32;32;1;118;3;
759;Dubuc;2014-04-07;G;Saint-Ambroise, m;1;;99;261;2;10;43;36;50;0;141;5;
759;Dubuc;2014-04-07;G;Saint-Ambroise, m;1;;100;254;4;7;57;29;41;3;141;2;
759;Dubuc;2014-04-07;G;Saint-Ambroise, m;1;;101;330;2;5;64;36;71;3;181;7;
759;Dubuc;2014-04-07;G;Saint-Ambroise, m;1;;102;304;1;8;57;44;61;2;173;3;
759;Dubuc;2014-04-07;G;Saint-Ambroise, m;1;;103;311;1;20;64;43;27;4;159;1;
759;Dubuc;2014-04-07;G;Saint-Ambroise, m;1;;104;400;6;19;92;43;91;3;254;4;
759;Dubuc;2014-04-07;G;Saint-Ambroise, m;1;;105;350;0;6;49;41;84;0;180;3;
759;Dubuc;2014-04-07;G;Saint-Ambroise, m;1;;106;351;1;16;61;50;48;2;178;4;
759;Dubuc;2014-04-07;G;Saint-Ambroise, m;1;;107;397;4;8;68;44;74;1;199;0;
759;Dubuc;2014-04-07;G;Saint-Fulgence, m;1;;108;256;4;14;52;29;40;1;140;0;
759;Dubuc;2014-04-07;G;Saint-Fulgence, m;1;;109;344;1;9;77;44;65;3;199;2;
759;Dubuc;2014-04-07;G;Saint-Fulgence, m;1;;110;347;7;19;55;46;75;3;205;4;
759;Dubuc;2014-04-07;G;Saint-Fulgence, m;1;;111;380;4;17;107;40;72;4;244;1;
