Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Duchesne Pierre P.Q.;Falardeau Jean Q.S.;Gour Gilbert É.A.P. - P.C.Q.;Jolin-Barrette Simon C.A.Q.-É.F.L.;Lepage Michel P.I.;Murray Jean P.L.Q./Q.L.P.;Siouï Marc-Olivier O.N. - P.I.Q.;B.V.;B.R.;
243;Borduas;2014-04-07;G;Otterburn Park, v;2;;82;350;77;19;0;53;0;51;0;200;6;
243;Borduas;2014-04-07;G;Otterburn Park, v;2;;83;324;65;19;2;78;1;33;0;198;3;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;1;;84;364;48;10;1;92;0;54;2;207;1;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;1;;85;348;45;18;0;96;0;53;1;213;1;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;1;;86;338;56;21;1;61;1;38;6;184;4;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;1;;87;333;48;11;1;56;0;40;1;157;2;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;1;;88;350;34;9;1;101;0;46;1;192;4;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;1;;89;338;41;14;0;68;1;54;0;178;4;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;1;;90;350;32;8;0;92;0;66;0;198;3;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;1;;91;340;56;12;0;67;0;40;4;179;4;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;1;;92;411;69;16;0;89;1;43;0;218;4;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;1;;93;357;58;16;1;58;0;42;0;175;6;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;1;;94;337;75;15;1;70;0;36;1;198;4;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;1;;95;339;69;16;0;80;2;43;2;212;0;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;1;;96;381;73;13;1;99;0;38;1;225;4;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;1;;97;364;73;23;2;73;0;29;2;202;4;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;1;;98;351;67;19;0;74;1;34;2;197;1;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;1;;99;351;71;33;0;39;0;40;0;183;3;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;1;;100;371;76;19;0;52;0;22;0;169;1;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;2;;101;623;63;22;0;61;0;28;1;175;4;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;2;;102;356;61;23;0;62;0;38;0;184;6;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;2;;103;387;58;17;0;82;1;51;3;212;0;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;2;;104;370;56;23;0;65;0;38;1;183;4;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;2;;105;386;61;18;0;101;0;47;0;227;4;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;2;;106;599;58;18;0;73;1;41;1;192;3;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;2;;107;377;43;13;3;90;0;63;1;213;1;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;2;;108;386;64;12;0;61;0;39;0;176;2;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;3;;109;364;55;25;1;71;0;53;2;207;6;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;3;;110;341;40;14;0;59;0;42;1;156;3;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;3;;111;361;90;23;0;59;2;36;2;212;4;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;3;;112;354;79;21;0;82;0;44;2;228;4;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;3;;113;348;60;23;0;70;1;69;0;223;1;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;3;;114;340;49;26;0;41;1;34;3;154;7;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;4;;115;364;58;23;0;54;0;73;0;208;5;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;4;;116;359;55;10;1;80;0;69;1;216;2;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;4;;117;357;60;21;2;69;0;51;0;203;1;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;4;;118;359;67;20;4;89;0;66;2;248;3;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;4;;119;358;64;21;0;86;1;48;1;221;2;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;4;;120;362;83;13;1;85;1;64;0;247;2;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;4;;121;352;73;19;0;61;0;56;2;211;3;
243;Borduas;2014-04-07;G;Mont-Saint-Hilaire, v;4;;122;348;70;29;0;67;0;51;4;221;2;
243;Borduas;2014-04-07;G;Saint-Jean-Baptiste, m;1;;123;337;69;22;4;72;1;45;1;214;3;
243;Borduas;2014-04-07;G;Saint-Jean-Baptiste, m;1;;124;382;53;21;0;86;0;49;2;211;7;
243;Borduas;2014-04-07;G;Saint-Jean-Baptiste, m;1;;125;349;78;15;1;98;0;31;1;224;7;
243;Borduas;2014-04-07;G;Saint-Jean-Baptiste, m;1;;126;340;67;16;2;55;1;49;2;192;6;
243;Borduas;2014-04-07;G;Saint-Jean-Baptiste, m;1;;127;356;77;9;2;65;1;47;2;203;3;
243;Borduas;2014-04-07;G;Saint-Jean-Baptiste, m;1;;128;339;64;17;2;108;0;42;2;235;8;
243;Borduas;2014-04-07;G;Saint-Jean-Baptiste, m;1;;129;346;75;21;0;62;1;45;0;204;3;
243;Borduas;2014-04-07;G;Sainte-Marie-Madeleine, p;1;;130;353;43;9;3;105;0;62;0;222;3;
243;Borduas;2014-04-07;G;Sainte-Marie-Madeleine, p;1;;131;340;59;16;4;102;0;46;1;228;1;
243;Borduas;2014-04-07;G;Sainte-Marie-Madeleine, p;1;;132;350;61;15;2;96;0;32;3;209;2;
