Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;D'Amour Jean P.L.Q./Q.L.P.;Gagnon Louis Q.S.;Lagacé Michel P.Q.;Malenfant Frank P.S.P.;Massé Étienne O.N. - P.I.Q.;Roy Charles C.A.Q.-É.F.L.;B.V.;B.R.;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;1;;17;377;126;11;45;1;1;23;207;4;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;2;;18;407;119;15;39;1;0;43;217;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;2;;19;370;107;19;28;2;2;22;180;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;2;;20;350;64;21;39;4;3;29;160;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;2;;21;308;74;12;47;4;3;32;172;3;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;2;;22;416;71;19;42;2;4;15;153;3;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;2;Regr. BVO-22;23;0;0;0;0;0;0;0;0;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;2;;24;358;73;10;21;7;1;27;139;5;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;3;;25;392;71;22;51;2;1;37;184;4;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;3;;26;392;87;14;34;0;2;28;165;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;3;;27;395;98;17;48;2;0;32;197;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;3;Regr. BVO-29;28;0;0;0;0;0;0;0;0;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;3;;29;445;86;15;43;4;0;38;186;8;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;3;;30;400;86;23;40;3;0;20;172;5;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;3;;31;391;100;22;52;2;1;27;204;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;4;;32;372;70;15;40;1;2;39;167;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;4;;33;378;86;9;28;3;0;33;159;5;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;4;;34;392;112;14;50;1;0;30;207;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;4;;35;367;95;9;47;3;0;39;193;5;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;4;;36A;279;76;13;39;3;0;26;157;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;4;;36B;186;54;8;17;6;0;24;109;3;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;4;;37;358;87;25;44;0;0;32;188;6;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;4;;38;400;112;19;44;1;6;45;227;6;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;5;;39;358;104;11;46;3;1;34;199;5;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;5;;40;380;87;13;35;7;1;31;174;3;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;5;;41;352;92;18;41;4;3;50;208;4;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;5;;42;349;91;16;48;1;0;62;218;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;5;;43;356;105;14;30;3;2;24;178;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;5;;44;367;75;20;30;2;2;44;173;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;5;;45;369;91;9;47;4;1;56;208;6;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;5;;46;375;76;22;35;0;2;41;176;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;5;;47;357;89;15;36;2;1;44;187;5;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;5;;48;399;121;14;32;4;2;46;219;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;5;;49A;216;58;9;23;0;0;32;122;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Rivière-du-Loup, v;5;;49B;231;71;6;17;0;0;20;114;0;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Antonin, p;1;;50;378;123;15;26;7;1;52;224;8;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Antonin, p;1;;51;371;88;11;44;1;4;27;175;1;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Antonin, p;1;;52;379;97;8;39;7;0;60;211;3;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Antonin, p;1;;53;369;125;16;44;3;1;37;226;4;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Antonin, p;1;;54;366;101;7;24;7;0;38;177;2;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Antonin, p;1;;55;407;104;19;49;4;1;55;232;4;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Antonin, p;1;;56;397;101;21;68;6;0;40;236;4;
699;Rivière-du-Loup-Témiscouata;2014-04-07;G;Saint-Antonin, p;1;;57;391;113;7;34;2;1;53;210;1;
