Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bessette Sylvain C.A.Q.-É.F.L.;De Courcy Diane P.Q.;Frappier André Q.S.;Ladouceur-Despins Gabrielle O.N. - P.I.Q.;Leurent-Bonnevie Virginia P.V.Q./G.P.Q.;Montpetit Marie P.L.Q./Q.L.P.;B.V.;B.R.;
433;Crémazie;2014-04-07;G;Montréal, v;246;;31;393;29;47;5;0;1;93;175;2;
433;Crémazie;2014-04-07;G;Montréal, v;247;;32;346;36;72;27;1;2;97;235;2;
433;Crémazie;2014-04-07;G;Montréal, v;247;;33;362;44;85;23;0;2;74;228;7;
433;Crémazie;2014-04-07;G;Montréal, v;247;;34;355;44;64;26;0;1;77;212;4;
433;Crémazie;2014-04-07;G;Montréal, v;247;;35;343;31;76;28;0;4;103;242;3;
433;Crémazie;2014-04-07;G;Montréal, v;247;;36;380;45;83;41;1;1;88;259;3;
433;Crémazie;2014-04-07;G;Montréal, v;247;;37;361;44;103;30;0;3;54;234;6;
433;Crémazie;2014-04-07;G;Montréal, v;248;;38;396;37;63;28;2;3;63;196;5;
433;Crémazie;2014-04-07;G;Montréal, v;248;;39A;226;16;24;16;1;2;71;130;1;
433;Crémazie;2014-04-07;G;Montréal, v;248;;39B;202;11;26;18;0;0;56;111;1;
433;Crémazie;2014-04-07;G;Montréal, v;248;;40;412;28;43;16;2;2;130;221;3;
433;Crémazie;2014-04-07;G;Montréal, v;248;;41;422;19;72;42;0;3;72;208;4;
433;Crémazie;2014-04-07;G;Montréal, v;248;;42;403;27;50;33;1;4;95;210;2;
433;Crémazie;2014-04-07;G;Montréal, v;248;;43;387;22;59;61;2;5;61;210;0;
433;Crémazie;2014-04-07;G;Montréal, v;248;;44;371;22;40;34;2;0;82;180;2;
433;Crémazie;2014-04-07;G;Montréal, v;249;;45;353;28;66;31;1;4;65;195;1;
433;Crémazie;2014-04-07;G;Montréal, v;249;;46;358;21;68;37;1;6;97;230;0;
433;Crémazie;2014-04-07;G;Montréal, v;249;;47;352;43;78;50;4;5;60;240;3;
433;Crémazie;2014-04-07;G;Montréal, v;249;;48;345;42;79;43;0;5;63;232;3;
433;Crémazie;2014-04-07;G;Montréal, v;249;;49;316;33;67;43;1;4;63;211;3;
433;Crémazie;2014-04-07;G;Montréal, v;249;;50;349;33;74;37;2;0;92;238;3;
433;Crémazie;2014-04-07;G;Montréal, v;250;;51;575;34;93;59;0;4;55;245;4;
433;Crémazie;2014-04-07;G;Montréal, v;250;;52;617;46;92;52;0;5;38;233;5;
433;Crémazie;2014-04-07;G;Montréal, v;250;;53;381;44;76;55;1;4;50;230;9;
433;Crémazie;2014-04-07;G;Montréal, v;250;;54;370;34;105;45;0;9;36;229;5;
433;Crémazie;2014-04-07;G;Montréal, v;250;;55;410;33;92;47;11;4;54;241;1;
433;Crémazie;2014-04-07;G;Montréal, v;250;;56;373;31;91;47;0;1;61;231;5;
433;Crémazie;2014-04-07;G;Montréal, v;250;;57;413;33;75;44;1;4;95;252;2;
433;Crémazie;2014-04-07;G;Montréal, v;251;;58A;430;22;56;20;0;5;69;172;2;
433;Crémazie;2014-04-07;G;Montréal, v;251;;58B;398;39;43;10;0;0;86;178;2;
433;Crémazie;2014-04-07;G;Montréal, v;251;;59;351;31;60;34;2;2;79;208;3;
433;Crémazie;2014-04-07;G;Montréal, v;251;;60;388;19;90;43;4;4;59;219;5;
433;Crémazie;2014-04-07;G;Montréal, v;251;;61;371;29;95;48;0;6;59;237;2;
433;Crémazie;2014-04-07;G;Montréal, v;251;;62;365;26;79;34;0;2;57;198;2;
433;Crémazie;2014-04-07;G;Montréal, v;251;;63;377;33;75;49;0;3;47;207;1;
433;Crémazie;2014-04-07;G;Montréal, v;251;;64;356;22;49;23;0;3;61;158;4;
433;Crémazie;2014-04-07;G;Montréal, v;252;;65;372;36;86;44;2;6;43;217;2;
433;Crémazie;2014-04-07;G;Montréal, v;252;;66;353;23;69;37;0;7;61;197;2;
433;Crémazie;2014-04-07;G;Montréal, v;252;;67;357;48;76;42;0;5;71;242;4;
433;Crémazie;2014-04-07;G;Montréal, v;252;;68;377;35;51;39;0;3;105;233;1;
433;Crémazie;2014-04-07;G;Montréal, v;252;;69;357;23;70;27;3;0;77;200;2;
433;Crémazie;2014-04-07;G;Montréal, v;252;;70;371;25;47;35;2;6;79;194;3;
433;Crémazie;2014-04-07;G;Montréal, v;253;;71;356;15;42;12;1;1;95;166;6;
433;Crémazie;2014-04-07;G;Montréal, v;253;;72;337;42;60;20;3;0;78;203;5;
433;Crémazie;2014-04-07;G;Montréal, v;253;;73;423;24;71;24;2;1;81;203;1;
433;Crémazie;2014-04-07;G;Montréal, v;253;;74;436;26;50;25;1;2;89;193;2;
433;Crémazie;2014-04-07;G;Montréal, v;253;;75;372;22;50;38;1;8;69;188;5;
433;Crémazie;2014-04-07;G;Montréal, v;253;;76;343;33;54;28;1;3;89;208;4;
433;Crémazie;2014-04-07;G;Montréal, v;253;;77;314;15;34;17;0;3;69;138;1;
433;Crémazie;2014-04-07;G;Montréal, v;254;;78;327;31;60;18;2;3;55;169;2;
433;Crémazie;2014-04-07;G;Montréal, v;254;;79;372;31;65;29;1;0;82;208;1;
433;Crémazie;2014-04-07;G;Montréal, v;254;;80;348;23;54;24;2;3;91;197;1;
433;Crémazie;2014-04-07;G;Montréal, v;254;;81;384;38;69;44;5;5;52;213;6;
433;Crémazie;2014-04-07;G;Montréal, v;254;;82;346;29;76;37;0;4;83;229;4;
433;Crémazie;2014-04-07;G;Montréal, v;254;;83;354;43;70;30;3;5;66;217;3;
433;Crémazie;2014-04-07;G;Montréal, v;255;;84;416;29;65;28;0;1;132;255;2;
433;Crémazie;2014-04-07;G;Montréal, v;255;;85;416;22;41;16;2;4;136;221;3;
433;Crémazie;2014-04-07;G;Montréal, v;255;;86;387;29;32;21;2;1;139;224;2;
433;Crémazie;2014-04-07;G;Montréal, v;255;;87;409;37;61;32;0;3;108;241;3;
433;Crémazie;2014-04-07;G;Montréal, v;256;;88;379;26;44;22;1;2;163;258;3;
433;Crémazie;2014-04-07;G;Montréal, v;256;;89;369;38;66;23;0;2;131;260;6;
433;Crémazie;2014-04-07;G;Montréal, v;256;;90;377;31;63;24;2;3;102;225;2;
433;Crémazie;2014-04-07;G;Montréal, v;256;;91;359;41;78;30;0;3;63;215;4;
433;Crémazie;2014-04-07;G;Montréal, v;256;;92;370;34;77;38;5;1;70;225;1;
433;Crémazie;2014-04-07;G;Montréal, v;256;;93;371;32;66;35;0;4;98;235;6;
433;Crémazie;2014-04-07;G;Montréal, v;256;;94;386;26;66;19;0;5;129;245;2;
433;Crémazie;2014-04-07;G;Montréal, v;257;;95;340;23;36;19;1;5;104;188;1;
433;Crémazie;2014-04-07;G;Montréal, v;257;;96;314;11;18;10;1;1;165;206;3;
433;Crémazie;2014-04-07;G;Montréal, v;257;;97;317;14;22;8;1;2;171;218;4;
433;Crémazie;2014-04-07;G;Montréal, v;257;;98;311;20;26;13;0;0;145;204;7;
433;Crémazie;2014-04-07;G;Montréal, v;257;;99;338;22;47;24;1;3;105;202;5;
433;Crémazie;2014-04-07;G;Montréal, v;258;;100;382;29;76;30;2;3;92;232;3;
433;Crémazie;2014-04-07;G;Montréal, v;258;;101;372;37;55;35;1;3;66;197;5;
433;Crémazie;2014-04-07;G;Montréal, v;258;;102;395;29;69;35;0;1;86;220;4;
433;Crémazie;2014-04-07;G;Montréal, v;258;;103;563;46;87;34;4;8;75;254;3;
433;Crémazie;2014-04-07;G;Montréal, v;258;;104;639;37;41;34;1;3;101;217;4;
