Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Babin Matthew B.P.;Chénier Stéphane P.M.L.Q.;Dubois Carl C.A.Q.-É.F.L.;Labelle Sophie-Geneviève O.N. - P.I.Q.;Lisée Jean-François P.Q.;Svetoushkina Ksenia P.V.Q./G.P.Q.;Trudelle Jean Q.S.;Valade Thiery P.L.Q./Q.L.P.;B.V.;B.R.;
379;Rosemont;2014-04-07;G;Montréal, v;311;;29;360;0;0;31;5;57;3;47;45;188;4;
379;Rosemont;2014-04-07;G;Montréal, v;311;;30;344;1;0;27;0;51;2;29;67;177;7;
379;Rosemont;2014-04-07;G;Montréal, v;311;;31;375;2;0;23;2;49;3;61;81;221;3;
379;Rosemont;2014-04-07;G;Montréal, v;311;;32;372;1;1;35;2;73;0;43;55;210;5;
379;Rosemont;2014-04-07;G;Montréal, v;312;;33;404;0;1;29;2;92;2;62;31;219;0;
379;Rosemont;2014-04-07;G;Montréal, v;312;;34;387;2;1;28;1;70;1;40;51;194;6;
379;Rosemont;2014-04-07;G;Montréal, v;312;;35;375;1;0;34;2;81;2;50;44;214;4;
379;Rosemont;2014-04-07;G;Montréal, v;312;;36;396;2;0;32;0;59;2;48;48;191;3;
379;Rosemont;2014-04-07;G;Montréal, v;312;;37;388;1;1;34;2;73;4;52;51;218;6;
379;Rosemont;2014-04-07;G;Montréal, v;312;;38;369;3;0;22;1;62;4;70;35;197;2;
379;Rosemont;2014-04-07;G;Montréal, v;312;;39;399;3;0;38;5;89;2;36;45;218;4;
379;Rosemont;2014-04-07;G;Montréal, v;312;;40;372;1;0;28;0;85;3;61;44;222;3;
379;Rosemont;2014-04-07;G;Montréal, v;312;;41;404;4;0;39;3;101;3;59;37;246;0;
379;Rosemont;2014-04-07;G;Montréal, v;312;;42;370;1;1;26;6;82;4;65;49;234;5;
379;Rosemont;2014-04-07;G;Montréal, v;313;;43;373;3;0;33;1;58;2;51;35;183;4;
379;Rosemont;2014-04-07;G;Montréal, v;313;;44;338;1;0;24;1;79;2;60;26;193;3;
379;Rosemont;2014-04-07;G;Montréal, v;313;;45;355;4;1;26;3;85;2;44;41;206;3;
379;Rosemont;2014-04-07;G;Montréal, v;313;;46;395;2;0;42;2;98;2;55;44;245;4;
379;Rosemont;2014-04-07;G;Montréal, v;313;;47;367;0;0;28;2;81;3;57;27;198;2;
379;Rosemont;2014-04-07;G;Montréal, v;313;;48;394;0;1;23;6;64;5;53;48;200;5;
379;Rosemont;2014-04-07;G;Montréal, v;313;;49;416;0;1;35;3;91;3;60;50;243;8;
379;Rosemont;2014-04-07;G;Montréal, v;313;;50;404;0;0;27;4;60;7;94;23;215;5;
379;Rosemont;2014-04-07;G;Montréal, v;314;;51;343;0;1;39;6;81;2;63;26;218;4;
379;Rosemont;2014-04-07;G;Montréal, v;314;;52;373;1;0;20;2;79;5;96;34;237;4;
379;Rosemont;2014-04-07;G;Montréal, v;314;;53;419;0;0;39;2;84;9;84;32;250;2;
379;Rosemont;2014-04-07;G;Montréal, v;314;;54;388;1;0;32;3;82;3;73;23;217;5;
379;Rosemont;2014-04-07;G;Montréal, v;314;;55;374;2;2;25;1;69;6;94;23;222;3;
379;Rosemont;2014-04-07;G;Montréal, v;314;;56;380;2;0;30;1;95;4;64;27;223;1;
379;Rosemont;2014-04-07;G;Montréal, v;314;;57;388;1;1;11;0;92;4;86;32;227;4;
379;Rosemont;2014-04-07;G;Montréal, v;314;;58;408;2;0;19;2;85;7;72;32;219;2;
379;Rosemont;2014-04-07;G;Montréal, v;315;;59;381;3;0;22;4;71;1;68;26;195;4;
379;Rosemont;2014-04-07;G;Montréal, v;315;;60;388;3;0;29;2;86;8;57;40;225;3;
379;Rosemont;2014-04-07;G;Montréal, v;315;;61;375;0;0;19;3;89;7;72;33;223;2;
379;Rosemont;2014-04-07;G;Montréal, v;315;;62;443;1;0;20;2;73;0;34;80;210;4;
379;Rosemont;2014-04-07;G;Montréal, v;315;;63;387;0;0;31;0;87;5;63;46;232;4;
379;Rosemont;2014-04-07;G;Montréal, v;315;;64;351;1;0;21;2;56;3;37;53;173;2;
