Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Belley Nicolas O.N. - P.I.Q.;Biron Paul P.U.N.;Bonnier Viger Yv Q.S.;Dubé Christian C.A.Q.-É.F.L.;Girard Sylvie P.Q.;Roy Sébastien É.A.P. - P.C.Q.;Turmel Simon P.L.Q./Q.L.P.;B.V.;B.R.;
663;Lévis;2014-04-07;G;Lévis, v;20;;37A;103;0;0;2;14;9;0;20;45;2;
663;Lévis;2014-04-07;G;Lévis, v;20;;37B;348;0;0;5;55;24;6;48;138;2;
663;Lévis;2014-04-07;G;Lévis, v;21;;38;448;0;0;10;82;34;6;55;187;5;
663;Lévis;2014-04-07;G;Lévis, v;21;Regr. BVO-38;39;0;0;0;0;0;0;0;0;0;0;
663;Lévis;2014-04-07;G;Lévis, v;21;;40;386;1;0;11;104;10;0;53;179;0;
663;Lévis;2014-04-07;G;Lévis, v;21;;41A;274;0;0;1;57;19;0;47;124;1;
663;Lévis;2014-04-07;G;Lévis, v;21;;41B;207;2;1;2;49;11;2;41;108;0;
663;Lévis;2014-04-07;G;Lévis, v;21;;42;420;1;0;4;134;15;2;69;225;4;
663;Lévis;2014-04-07;G;Lévis, v;21;;43;417;0;0;8;136;24;1;72;241;2;
663;Lévis;2014-04-07;G;Lévis, v;21;;44;391;0;1;10;101;27;3;68;210;2;
663;Lévis;2014-04-07;G;Lévis, v;21;;45;398;0;0;8;116;31;3;42;200;5;
663;Lévis;2014-04-07;G;Lévis, v;21;;46;393;0;0;7;124;33;3;54;221;3;
663;Lévis;2014-04-07;G;Lévis, v;21;;47;386;3;0;5;75;19;1;66;169;4;
663;Lévis;2014-04-07;G;Lévis, v;21;;48;408;0;0;9;131;23;2;67;232;3;
663;Lévis;2014-04-07;G;Lévis, v;21;;49;399;0;0;10;147;23;3;56;239;1;
663;Lévis;2014-04-07;G;Lévis, v;21;;50;406;0;0;9;125;15;3;72;224;2;
663;Lévis;2014-04-07;G;Lévis, v;21;;51;405;1;0;5;108;31;3;48;196;0;
663;Lévis;2014-04-07;G;Lévis, v;21;;52;396;2;0;14;100;24;2;64;206;2;
663;Lévis;2014-04-07;G;Lévis, v;22;;53;357;0;1;7;88;20;2;63;181;1;
663;Lévis;2014-04-07;G;Lévis, v;22;;54A;216;0;0;1;83;12;0;40;136;1;
663;Lévis;2014-04-07;G;Lévis, v;22;;54B;219;0;0;6;89;10;0;47;152;1;
663;Lévis;2014-04-07;G;Lévis, v;22;;55;375;1;0;5;84;20;2;65;177;2;
663;Lévis;2014-04-07;G;Lévis, v;22;;56;331;1;0;8;89;24;2;58;182;4;
663;Lévis;2014-04-07;G;Lévis, v;22;;57;375;1;0;7;102;21;3;55;189;0;
663;Lévis;2014-04-07;G;Lévis, v;22;;58;388;0;0;12;84;26;2;78;202;7;
663;Lévis;2014-04-07;G;Lévis, v;22;;59;377;1;0;12;73;26;1;54;167;2;
663;Lévis;2014-04-07;G;Lévis, v;22;;60;374;2;0;11;84;11;2;50;160;0;
663;Lévis;2014-04-07;G;Lévis, v;22;;61;373;0;0;9;58;19;0;50;136;6;
663;Lévis;2014-04-07;G;Lévis, v;22;Regr. BVO-63;62;0;0;0;0;0;0;0;0;0;0;
663;Lévis;2014-04-07;G;Lévis, v;23;;63;716;1;1;18;77;27;2;52;178;1;
663;Lévis;2014-04-07;G;Lévis, v;23;Regr. BVO-63;64;0;0;0;0;0;0;0;0;0;0;
663;Lévis;2014-04-07;G;Lévis, v;23;;65;450;4;1;22;66;33;2;27;155;2;
663;Lévis;2014-04-07;G;Lévis, v;23;;66;582;4;1;19;97;28;4;78;231;1;
663;Lévis;2014-04-07;G;Lévis, v;23;;67;369;1;0;8;71;26;2;47;155;2;
663;Lévis;2014-04-07;G;Lévis, v;23;;68;376;2;1;13;77;22;3;57;175;3;
663;Lévis;2014-04-07;G;Lévis, v;23;;69;361;1;2;13;68;25;1;91;201;2;
663;Lévis;2014-04-07;G;Lévis, v;23;;70;359;2;1;15;91;33;0;48;190;3;
663;Lévis;2014-04-07;G;Lévis, v;23;Regr. BVO-65;71;0;0;0;0;0;0;0;0;0;0;
663;Lévis;2014-04-07;G;Lévis, v;23;;72;373;2;0;12;81;33;1;49;178;4;
663;Lévis;2014-04-07;G;Lévis, v;23;;73;351;2;0;10;82;21;0;44;159;1;
663;Lévis;2014-04-07;G;Lévis, v;23;Regr. BVO-66;74;0;0;0;0;0;0;0;0;0;0;
663;Lévis;2014-04-07;G;Lévis, v;23;;75;399;3;0;13;77;38;2;47;180;1;
663;Lévis;2014-04-07;G;Lévis, v;24;;76;374;1;0;13;72;34;4;50;174;3;
663;Lévis;2014-04-07;G;Lévis, v;24;;77;380;2;0;14;67;27;0;52;162;3;
663;Lévis;2014-04-07;G;Lévis, v;24;Regr. BVO-79;78;0;0;0;0;0;0;0;0;0;0;
663;Lévis;2014-04-07;G;Lévis, v;24;;79;484;5;0;33;64;48;1;58;209;3;
663;Lévis;2014-04-07;G;Lévis, v;24;Regr. BVO-79;80;0;0;0;0;0;0;0;0;0;0;
663;Lévis;2014-04-07;G;Lévis, v;24;Regr. BVO-83;81;0;0;0;0;0;0;0;0;0;0;
663;Lévis;2014-04-07;G;Lévis, v;24;Regr. BVO-83;82;0;0;0;0;0;0;0;0;0;0;
663;Lévis;2014-04-07;G;Lévis, v;24;;83;605;4;0;27;74;28;2;48;183;3;
663;Lévis;2014-04-07;G;Lévis, v;24;;84;382;2;0;35;65;35;2;47;186;2;
663;Lévis;2014-04-07;G;Lévis, v;24;Regr. BVO-86;85;0;0;0;0;0;0;0;0;0;0;
663;Lévis;2014-04-07;G;Lévis, v;24;;86;632;3;1;25;67;34;0;43;173;4;
663;Lévis;2014-04-07;G;Lévis, v;24;;87;350;5;3;38;59;44;0;36;185;4;
663;Lévis;2014-04-07;G;Lévis, v;24;Regr. BVO-86;88;0;0;0;0;0;0;0;0;0;0;
663;Lévis;2014-04-07;G;Lévis, v;24;;89;371;2;0;23;61;38;0;35;159;3;
663;Lévis;2014-04-07;G;Lévis, v;25;;90;393;1;1;23;75;47;2;47;196;1;
663;Lévis;2014-04-07;G;Lévis, v;25;;91;381;0;1;23;70;26;0;58;178;0;
663;Lévis;2014-04-07;G;Lévis, v;25;;92;389;1;1;14;87;27;2;84;216;3;
663;Lévis;2014-04-07;G;Lévis, v;25;;93;372;0;0;7;74;32;2;65;180;2;
663;Lévis;2014-04-07;G;Lévis, v;25;;94;361;1;0;8;87;38;0;55;189;1;
663;Lévis;2014-04-07;G;Lévis, v;25;;95;386;3;0;6;103;32;0;62;206;2;
663;Lévis;2014-04-07;G;Lévis, v;25;;96;379;0;0;17;76;37;1;65;196;1;
663;Lévis;2014-04-07;G;Lévis, v;25;;97;376;1;0;5;64;29;1;53;153;0;
663;Lévis;2014-04-07;G;Lévis, v;26;;98;399;3;1;25;61;39;0;33;162;2;
