Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Boivin Guy É.A.;Brabant Steve C.A.Q.-É.F.L.;Deblois Anne É.A.P. - P.C.Q.;Dorion Catherine O.N. - P.I.Q.;Drolet Sylvain P.S.P.;Duchesne Marie-Ève Q.S.;Maltais Agnès P.Q.;Savard Jean-Luc P.N.;Tanlet Florent P.L.Q./Q.L.P.;B.V.;B.R.;
633;Taschereau;2014-04-07;G;Québec, v;42;;39;280;0;20;2;11;1;39;39;3;15;130;1;
633;Taschereau;2014-04-07;G;Québec, v;42;;40;383;0;22;1;3;0;9;44;3;57;139;3;
633;Taschereau;2014-04-07;G;Québec, v;42;;41;541;0;27;2;7;0;24;81;1;73;215;0;
633;Taschereau;2014-04-07;G;Québec, v;43;;42;295;0;26;1;8;0;30;67;3;40;175;0;
633;Taschereau;2014-04-07;G;Québec, v;43;;43;308;2;34;0;8;1;34;61;4;38;182;0;
633;Taschereau;2014-04-07;G;Québec, v;43;;44;339;0;28;1;10;0;23;69;1;59;191;1;
633;Taschereau;2014-04-07;G;Québec, v;43;;45;308;0;26;1;5;0;27;56;1;53;169;2;
633;Taschereau;2014-04-07;G;Québec, v;43;;46;340;1;36;1;6;0;13;61;1;63;182;1;
633;Taschereau;2014-04-07;G;Québec, v;43;;47;313;0;22;1;7;1;38;69;3;47;188;1;
633;Taschereau;2014-04-07;G;Québec, v;43;;48;317;2;28;0;4;0;33;44;1;51;163;1;
633;Taschereau;2014-04-07;G;Québec, v;43;;49;293;1;25;0;4;2;22;57;4;70;185;4;
633;Taschereau;2014-04-07;G;Québec, v;43;;50;315;0;34;1;6;1;49;57;2;39;189;2;
633;Taschereau;2014-04-07;G;Québec, v;43;;51;323;0;33;0;4;0;39;60;3;56;195;0;
633;Taschereau;2014-04-07;G;Québec, v;44;;52;315;0;30;2;5;0;17;49;2;56;161;2;
633;Taschereau;2014-04-07;G;Québec, v;44;;53;309;0;19;0;1;1;15;46;0;49;131;1;
633;Taschereau;2014-04-07;G;Québec, v;44;;54;322;0;27;0;14;0;37;75;1;41;195;4;
633;Taschereau;2014-04-07;G;Québec, v;44;;55;310;0;12;1;4;0;34;83;2;43;179;0;
633;Taschereau;2014-04-07;G;Québec, v;44;;56;286;0;32;0;8;0;20;43;1;40;144;3;
633;Taschereau;2014-04-07;G;Québec, v;44;;57;309;0;29;1;5;0;13;36;1;44;129;0;
633;Taschereau;2014-04-07;G;Québec, v;44;;58;314;0;20;0;3;0;19;55;2;50;149;4;
633;Taschereau;2014-04-07;G;Québec, v;44;;59;333;0;41;2;10;0;43;55;2;30;183;0;
633;Taschereau;2014-04-07;G;Québec, v;44;;60;326;0;46;0;14;0;41;72;1;34;208;3;
