Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Couture Eric É.A.P. - P.C.Q.;Couture José P.L.Q./Q.L.P.;Dumont Mathieu Q.S.;Pouliot-Audet Olivier P.Q.;Roy Benoît Ind;Spénard André C.A.Q.-É.F.L.;Tessier-Moreau Lorenzo O.N. - P.I.Q.;B.V.;B.R.;
309;Beauce-Nord;2014-04-07;G;Saint-Séverin, p;1;;49;210;3;66;3;15;0;68;0;155;1;
309;Beauce-Nord;2014-04-07;G;Vallée-Jonction, m;1;;50;299;3;59;5;7;0;90;0;164;3;
309;Beauce-Nord;2014-04-07;G;Vallée-Jonction, m;1;;51;291;2;52;2;11;0;82;1;150;1;
309;Beauce-Nord;2014-04-07;G;Vallée-Jonction, m;1;;52;321;5;63;2;21;1;112;0;204;1;
309;Beauce-Nord;2014-04-07;G;Vallée-Jonction, m;1;;53;309;2;43;6;7;3;91;1;153;1;
309;Beauce-Nord;2014-04-07;G;Vallée-Jonction, m;1;;54;287;3;47;3;8;1;80;0;142;1;
309;Beauce-Nord;2014-04-07;G;Saints-Anges, p;1;;55;266;1;49;1;11;0;117;0;179;2;
309;Beauce-Nord;2014-04-07;G;Saints-Anges, p;1;;56;321;3;79;4;10;0;122;0;218;3;
309;Beauce-Nord;2014-04-07;G;Saints-Anges, p;1;;57;291;2;42;6;7;1;146;0;204;0;
309;Beauce-Nord;2014-04-07;G;Frampton, m;1;;58;290;3;59;14;5;0;103;0;184;4;
309;Beauce-Nord;2014-04-07;G;Frampton, m;1;;59;280;5;54;10;18;0;108;1;196;4;
309;Beauce-Nord;2014-04-07;G;Frampton, m;1;;60;256;0;66;4;5;3;94;0;172;1;
309;Beauce-Nord;2014-04-07;G;Frampton, m;1;;61;270;6;50;10;9;1;97;1;174;1;
309;Beauce-Nord;2014-04-07;G;Sainte-Marguerite, p;1;;62;281;4;60;6;6;4;103;0;183;2;
309;Beauce-Nord;2014-04-07;G;Sainte-Marguerite, p;1;;63;292;10;83;4;13;2;100;0;212;0;
309;Beauce-Nord;2014-04-07;G;Sainte-Marguerite, p;1;;64;265;5;52;7;11;0;104;3;182;1;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;1;;65;313;4;44;6;6;0;116;0;176;0;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;1;;66;338;6;50;3;7;0;115;1;182;5;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;1;;67;300;2;39;5;8;3;77;0;134;5;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;1;;68;324;1;56;6;12;0;114;0;189;2;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;1;;69;329;1;38;7;9;1;68;1;125;3;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;1;;70;316;2;47;6;10;2;62;1;130;0;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;1;;71;292;2;26;4;15;0;62;0;109;4;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;1;;72;321;4;45;5;4;0;59;0;117;0;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;1;;73;331;0;52;5;7;0;96;1;161;1;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;1;;74;332;1;69;4;10;2;85;2;173;1;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;1;;75;337;0;80;3;10;0;113;1;207;0;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;1;;76;318;1;82;3;3;0;76;1;166;0;
309;Beauce-Nord;2014-04-07;G;Sainte-Marie, v;1;;77;335;1;72;3;14;0;102;0;192;1;
