Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Baril Marcel P.V.Q./G.P.Q.;Dupuis Linda O.N. - P.I.Q.;Godin Christian É.A.P. - P.C.Q.;LeBlanc Donald C.A.Q.-É.F.L.;Ménard Nicole P.L.Q./Q.L.P.;Stanké Sophie P.Q.;St-Denis Michèle Q.S.;B.V.;B.R.;
209;Laporte;2014-04-07;G;Saint-Lambert, v;5;;27;327;2;1;1;34;95;43;19;195;1;
209;Laporte;2014-04-07;G;Saint-Lambert, v;5;;28;326;2;1;2;53;91;34;18;201;3;
209;Laporte;2014-04-07;G;Saint-Lambert, v;5;;29;314;2;0;0;21;101;14;17;155;1;
209;Laporte;2014-04-07;G;Saint-Lambert, v;6;;30;360;7;0;0;45;87;23;18;180;1;
209;Laporte;2014-04-07;G;Saint-Lambert, v;6;;31;354;2;0;0;40;102;39;23;206;2;
209;Laporte;2014-04-07;G;Saint-Lambert, v;6;;32;413;1;1;0;40;63;26;15;146;0;
209;Laporte;2014-04-07;G;Saint-Lambert, v;6;;33;331;1;0;1;42;78;27;17;166;2;
209;Laporte;2014-04-07;G;Saint-Lambert, v;6;;34;344;4;1;0;38;81;13;9;146;2;
209;Laporte;2014-04-07;G;Saint-Lambert, v;7;;35;286;0;0;0;25;50;18;4;97;1;
209;Laporte;2014-04-07;G;Saint-Lambert, v;7;;36;326;4;0;0;43;83;20;8;158;1;
209;Laporte;2014-04-07;G;Saint-Lambert, v;7;;37;304;6;0;0;27;71;22;9;135;0;
209;Laporte;2014-04-07;G;Saint-Lambert, v;7;;38;272;1;0;1;35;70;29;10;146;0;
209;Laporte;2014-04-07;G;Saint-Lambert, v;7;;39;302;0;0;0;30;65;28;9;132;1;
209;Laporte;2014-04-07;G;Saint-Lambert, v;7;;40;308;1;0;2;37;67;40;15;162;3;
209;Laporte;2014-04-07;G;Saint-Lambert, v;7;;41;244;0;0;1;20;54;19;4;98;3;
209;Laporte;2014-04-07;G;Saint-Lambert, v;7;;42;289;0;1;1;44;89;26;14;175;3;
209;Laporte;2014-04-07;G;Saint-Lambert, v;7;;43;297;6;0;3;38;91;22;3;163;1;
209;Laporte;2014-04-07;G;Saint-Lambert, v;8;;44;326;2;0;2;43;100;43;22;212;2;
209;Laporte;2014-04-07;G;Saint-Lambert, v;8;;45;329;2;0;1;37;94;29;6;169;2;
209;Laporte;2014-04-07;G;Saint-Lambert, v;8;;46;293;0;1;0;28;74;29;9;141;3;
209;Laporte;2014-04-07;G;Saint-Lambert, v;8;;47;300;0;0;2;19;109;21;5;156;0;
209;Laporte;2014-04-07;G;Saint-Lambert, v;8;;48;318;6;3;2;45;98;35;11;200;2;
209;Laporte;2014-04-07;G;Saint-Lambert, v;8;;49;329;1;1;0;39;106;23;6;176;0;
209;Laporte;2014-04-07;G;Saint-Lambert, v;8;;50;302;2;2;1;27;87;22;4;145;0;
209;Laporte;2014-04-07;G;Longueuil, v;1;;51;324;2;1;1;19;53;58;12;146;2;
209;Laporte;2014-04-07;G;Longueuil, v;1;;52;327;3;2;0;37;28;70;10;150;1;
209;Laporte;2014-04-07;G;Longueuil, v;1;;53;335;5;1;1;25;35;49;12;128;2;
209;Laporte;2014-04-07;G;Longueuil, v;1;;54;309;6;2;1;46;28;52;13;148;9;
209;Laporte;2014-04-07;G;Longueuil, v;2;;55;311;2;1;0;38;47;51;11;150;1;
209;Laporte;2014-04-07;G;Longueuil, v;2;;56;304;6;1;0;38;37;48;19;149;3;
209;Laporte;2014-04-07;G;Longueuil, v;2;;57;330;5;3;0;34;33;61;19;155;8;
209;Laporte;2014-04-07;G;Longueuil, v;2;;58;312;7;1;0;26;34;53;8;129;3;
209;Laporte;2014-04-07;G;Longueuil, v;2;;59;289;3;0;1;30;48;38;19;139;11;
209;Laporte;2014-04-07;G;Longueuil, v;2;;60;316;6;2;0;35;46;58;19;166;3;
209;Laporte;2014-04-07;G;Longueuil, v;2;;61;332;3;0;1;39;49;59;18;169;4;
209;Laporte;2014-04-07;G;Longueuil, v;2;;62;322;7;3;0;33;44;52;14;153;3;
209;Laporte;2014-04-07;G;Longueuil, v;3;;63;326;4;0;0;49;62;47;16;178;0;
209;Laporte;2014-04-07;G;Longueuil, v;3;;64;244;8;0;0;29;42;15;12;106;2;
209;Laporte;2014-04-07;G;Longueuil, v;3;;65;305;6;1;1;26;64;33;27;158;2;
209;Laporte;2014-04-07;G;Longueuil, v;3;;66;320;2;1;0;24;63;26;7;123;1;
