Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Archambault Marcos P.Q.;Cauchon Jean-Gabriel O.N. - P.I.Q.;Dupré Léon M.P.Q.;Fortin Côté David Q.S.;Leclerc Julien P.Éq.;Nichols Marie-Claude P.L.Q./Q.L.P.;Paul Michel É.A.P. - P.C.Q.;Radcliffe Thomas P.V.Q./G.P.Q.;Tison Luc C.A.Q.-É.F.L.;B.V.;B.R.;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;2;;100;361;46;0;0;17;1;91;1;2;49;207;4;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;2;;101;346;35;1;0;9;0;96;0;7;70;218;2;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;2;;102;375;50;3;0;16;3;42;0;2;39;155;4;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;2;;103;365;56;1;0;11;2;47;0;1;33;151;13;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;2;;104;307;39;1;0;11;0;60;1;0;35;147;2;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;2;;105;436;28;1;1;5;1;57;0;1;37;131;2;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;3;;106;390;42;0;1;10;2;130;2;4;46;237;5;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;3;;107;411;16;0;0;5;1;199;1;1;9;232;1;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;3;;108;384;18;0;0;6;0;145;2;2;37;210;7;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;3;;109;382;19;3;0;5;1;196;2;2;22;250;1;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;3;;110;398;11;0;0;6;0;205;3;2;34;261;1;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;3;;111;407;61;3;1;14;0;114;2;1;39;235;4;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;3;;112;401;42;1;1;19;1;139;1;2;65;271;4;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;3;;113;388;38;0;0;9;0;135;0;4;45;231;6;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;3;;114;410;78;0;0;25;2;68;0;3;48;224;8;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;3;;115;384;45;0;1;19;1;91;3;2;56;218;4;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;4;;116;384;66;1;1;36;1;62;0;6;55;228;1;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;4;;117;372;57;0;0;19;0;96;0;2;34;208;4;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;4;;118;378;73;0;5;16;0;69;0;1;50;214;2;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;4;;119;539;43;3;0;15;0;79;0;2;37;179;5;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;4;;120;364;63;2;3;19;2;59;0;7;43;198;2;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;5;;121;375;29;1;0;16;3;134;1;4;43;231;0;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;5;;122;385;22;1;0;8;0;144;2;1;37;215;4;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;5;;123;384;30;0;0;9;0;138;0;1;48;226;4;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;5;;124;370;49;0;0;16;2;98;2;4;46;217;1;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;5;;125;384;40;1;0;23;2;96;1;2;51;216;3;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;5;;126;379;62;1;0;20;0;100;1;4;32;220;3;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;5;;127;367;50;2;1;11;2;94;3;3;45;211;2;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;6;;128;458;47;0;0;24;3;73;2;2;41;192;7;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;6;;129;371;54;0;2;19;5;53;1;6;44;184;6;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;6;;130;372;74;2;0;15;2;68;0;3;66;230;3;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;6;;131;383;56;1;0;21;2;83;0;2;43;208;4;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;6;;132;394;59;2;0;19;0;69;0;4;30;183;3;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;6;;133;365;43;0;0;7;1;103;1;2;44;201;1;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;6;;134;377;43;0;0;11;2;90;0;1;47;194;4;
169;Vaudreuil;2014-04-07;G;Vaudreuil-Dorion, v;6;;135;380;59;0;1;14;0;93;0;3;43;213;1;
169;Vaudreuil;2014-04-07;G;Vaudreuil-sur-le-Lac, vl;1;;136;332;43;1;0;14;0;94;2;2;51;207;5;
169;Vaudreuil;2014-04-07;G;Vaudreuil-sur-le-Lac, vl;1;;137;333;32;1;0;9;2;123;0;1;43;211;0;
169;Vaudreuil;2014-04-07;G;Vaudreuil-sur-le-Lac, vl;1;;138;337;50;0;0;19;0;62;0;5;54;190;6;
169;Vaudreuil;2014-04-07;G;L'Île-Cadieux, v;1;;139;95;2;0;0;4;0;44;0;0;10;60;1;
169;Vaudreuil;2014-04-07;G;Hudson, v;1;;140;328;3;0;0;1;0;129;1;1;15;150;0;
169;Vaudreuil;2014-04-07;G;Hudson, v;1;;141;369;7;0;0;1;0;183;2;2;16;211;0;
169;Vaudreuil;2014-04-07;G;Hudson, v;1;;142;347;8;0;0;1;1;130;0;2;8;150;0;
169;Vaudreuil;2014-04-07;G;Hudson, v;1;;143;358;5;0;0;6;1;166;0;0;6;184;1;
169;Vaudreuil;2014-04-07;G;Hudson, v;1;;144;361;6;0;0;1;0;171;1;6;6;191;0;
169;Vaudreuil;2014-04-07;G;Hudson, v;1;;145;345;3;0;0;4;0;117;0;2;6;132;0;
169;Vaudreuil;2014-04-07;G;Hudson, v;2;;146;396;6;0;0;5;1;186;0;8;9;215;0;
169;Vaudreuil;2014-04-07;G;Hudson, v;2;;147;380;14;0;0;6;2;173;1;5;13;214;1;
169;Vaudreuil;2014-04-07;G;Hudson, v;2;;148;363;0;0;0;6;0;186;1;1;13;207;0;
