Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaulieu Nicolas O.N. - P.I.Q.;Boucher Mélanie C.A.Q.-É.F.L.;Dumais Réjean Q.S.;Gaudreault Sylvain P.Q.;Pageau Tommy P.L.Q./Q.L.P.;B.V.;B.R.;
773;Jonquière;2014-04-07;G;Saguenay, v;14;;91;561;2;49;10;78;56;195;9;
773;Jonquière;2014-04-07;G;Saguenay, v;14;;92;351;2;45;11;92;56;206;9;
773;Jonquière;2014-04-07;G;Saguenay, v;14;;93;356;1;55;7;104;59;226;6;
773;Jonquière;2014-04-07;G;Saguenay, v;14;;94;356;3;52;14;106;41;216;4;
773;Jonquière;2014-04-07;G;Saguenay, v;15;;95;353;1;52;9;104;37;203;6;
773;Jonquière;2014-04-07;G;Saguenay, v;15;;96;348;1;58;22;94;31;206;3;
773;Jonquière;2014-04-07;G;Saguenay, v;15;;97;359;0;41;11;85;48;185;4;
773;Jonquière;2014-04-07;G;Saguenay, v;15;;98;352;5;51;15;114;27;212;3;
773;Jonquière;2014-04-07;G;Saguenay, v;15;;99;358;5;55;15;95;39;209;6;
773;Jonquière;2014-04-07;G;Saguenay, v;15;;100;340;1;52;7;84;34;178;6;
773;Jonquière;2014-04-07;G;Saguenay, v;16;;101;340;0;45;10;89;60;204;7;
773;Jonquière;2014-04-07;G;Saguenay, v;16;;102;333;2;53;14;87;49;205;3;
773;Jonquière;2014-04-07;G;Saguenay, v;16;;103;333;0;51;18;88;29;186;12;
773;Jonquière;2014-04-07;G;Saguenay, v;16;;104;340;1;65;6;85;54;211;5;
773;Jonquière;2014-04-07;G;Saguenay, v;16;;105;340;2;51;12;53;54;172;6;
773;Jonquière;2014-04-07;G;Saguenay, v;16;;106;331;0;38;4;77;54;173;3;
773;Jonquière;2014-04-07;G;Saguenay, v;17;;107;342;2;64;12;72;59;209;4;
