Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Audet Marie-Line Q.S.;Giguère Pierre P.L.Q./Q.L.P.;Guillemette Jean O.N. - P.I.Q.;Lapointe Jonathan É.A.P. - P.C.Q.;Mongeau Stéphane C.A.Q.-É.F.L.;Trudel Luc P.Q.;B.V.;B.R.;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;5;;37;268;13;46;0;1;40;38;138;6;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;5;;38;310;5;33;2;0;31;61;132;2;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;6;;39;286;10;37;1;3;39;50;140;1;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;6;;40;265;6;33;0;1;51;41;132;1;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;6;;41;336;4;33;0;1;41;59;138;4;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;6;;42;304;13;35;2;0;55;39;144;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;6;;43;319;3;32;2;0;33;25;95;1;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;6;Regr. BVO-43;44;0;0;0;0;0;0;0;0;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;6;;45;277;5;43;1;2;28;40;119;3;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;6;;46;298;3;63;3;1;32;26;128;3;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;6;Regr. BVO-38;47;0;0;0;0;0;0;0;0;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;7;;48;233;8;27;2;1;34;25;97;3;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;7;;49;240;2;24;2;1;27;35;91;1;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;7;;50;279;6;30;1;0;28;29;94;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;7;Regr. BVO-50;51;0;0;0;0;0;0;0;0;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;7;Regr. BVO-53;52;0;0;0;0;0;0;0;0;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;7;;53;482;13;23;2;0;30;38;106;2;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;7;;54;249;9;25;2;0;37;29;102;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;7;;55;268;16;32;0;1;29;29;107;6;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;7;;56;258;7;18;1;0;22;28;76;3;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;7;Regr. BVO-56;57;0;0;0;0;0;0;0;0;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;7;;58;269;2;25;0;1;17;27;72;7;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;7;;59;274;5;35;0;1;24;33;98;4;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;7;;60;337;10;27;0;4;32;45;118;3;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;7;Regr. BVO-60;61;0;0;0;0;0;0;0;0;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;8;;62;283;3;40;1;0;43;25;112;3;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;8;;63;270;5;26;0;0;40;35;106;4;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;8;;64;316;15;46;2;2;45;48;158;4;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;8;;65;275;7;40;1;2;40;44;134;1;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;8;;66;278;6;31;0;1;26;51;115;4;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;8;;67;258;4;30;2;3;39;35;113;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;8;;68;230;10;17;0;1;39;32;99;3;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;8;;69;246;5;26;1;2;27;26;87;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;8;;70;260;6;36;0;1;28;40;111;2;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;9;;71;246;7;33;0;1;23;46;110;1;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;9;;72;262;7;33;1;1;41;40;123;5;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;9;;73;249;5;39;2;2;27;28;103;3;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;9;;74;297;6;38;0;0;35;31;110;5;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;9;;75;236;9;24;3;0;27;29;92;3;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;9;;76;358;12;47;2;1;65;43;170;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;9;;77;333;6;45;1;4;59;30;145;7;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;9;Regr. BVO-77;78;0;0;0;0;0;0;0;0;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;10;;79;248;2;62;0;3;44;29;140;2;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;10;;80;265;10;37;0;3;47;37;134;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;10;;81;265;4;45;1;1;43;39;133;1;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;10;;82;398;9;82;0;8;75;66;240;4;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;10;;83;314;9;51;1;5;66;44;176;5;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;10;;84A;276;2;49;0;1;39;26;117;3;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;10;;84B;156;2;39;0;0;20;17;78;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;10;;85A;269;6;28;0;0;45;25;104;4;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;10;;85B;352;9;43;1;5;61;50;169;6;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;10;;86;378;9;75;0;3;61;54;202;1;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;11;;87;312;8;52;1;1;34;46;142;3;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;11;;88;283;8;50;2;4;43;37;144;4;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;11;;89;317;7;58;1;2;40;29;137;6;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;11;;90;331;14;55;0;3;37;32;141;3;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;11;;91;310;9;50;0;1;63;45;168;7;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;11;;92;318;4;55;0;1;45;69;174;2;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;11;;93;576;10;47;0;2;51;49;159;1;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;11;Regr. BVO-93;94;0;0;0;0;0;0;0;0;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;12;;95;336;12;34;0;2;60;45;153;4;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;12;;96;271;10;39;0;0;40;34;123;4;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;12;;97;305;1;41;0;1;48;35;126;6;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;12;;98;314;11;28;0;2;31;40;112;6;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;12;;99;301;8;51;0;1;44;45;149;6;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;12;;100;269;2;44;0;1;36;30;113;0;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;12;;101;319;6;59;1;0;53;41;160;7;
343;Saint-Maurice;2014-04-07;G;Shawinigan, v;12;;102;352;13;45;1;1;61;47;168;9;
343;Saint-Maurice;2014-04-07;G;Saint-Boniface, m;1;;103;292;6;37;0;0;55;55;153;1;
343;Saint-Maurice;2014-04-07;G;Saint-Boniface, m;1;;104;283;11;35;1;3;66;42;158;6;
343;Saint-Maurice;2014-04-07;G;Saint-Boniface, m;1;;105;326;8;44;2;2;73;52;181;6;
343;Saint-Maurice;2014-04-07;G;Saint-Boniface, m;1;;106;275;9;36;1;0;43;41;130;3;
343;Saint-Maurice;2014-04-07;G;Saint-Boniface, m;1;;107;264;14;28;1;0;44;39;126;3;
343;Saint-Maurice;2014-04-07;G;Saint-Boniface, m;1;;108;369;13;44;1;1;67;53;179;6;
343;Saint-Maurice;2014-04-07;G;Saint-Boniface, m;1;;109;257;10;51;0;2;56;28;147;4;
