Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bastien Serge P.L.Q./Q.L.P.;Camirand Ghislaine Q.S.;Gendron François P.Q.;Racine Nadia C.A.Q.-É.F.L.;Vézeau Grégory O.N. - P.I.Q.;B.V.;B.R.;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;3;;94;292;53;6;52;20;7;138;4;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;3;;95;247;47;12;48;13;2;122;4;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;3;;96;322;52;9;45;23;7;136;6;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;3;;97;306;40;8;45;29;2;124;5;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;3;;98;265;35;8;40;26;4;113;5;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;4;;99;262;62;11;24;18;3;118;3;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;4;;100;362;59;16;60;26;4;165;3;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;4;;101;282;45;4;64;12;2;127;8;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;4;;102;268;62;5;58;12;4;141;1;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;4;;103;289;40;12;50;28;2;132;2;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;4;;104;290;51;10;71;24;4;160;1;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;4;;105;329;62;9;62;20;4;157;5;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;4;;106;344;59;7;58;22;4;150;2;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;4;;107;282;50;7;58;20;3;138;0;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;4;;108;288;57;5;51;10;5;128;2;
573;Abitibi-Ouest;2014-04-07;G;Amos, v;4;;109;302;50;6;55;26;5;142;4;
573;Abitibi-Ouest;2014-04-07;G;Trécesson, ct;1;;110;300;46;11;63;13;6;139;3;
573;Abitibi-Ouest;2014-04-07;G;Trécesson, ct;1;;111;321;45;15;71;24;3;158;4;
573;Abitibi-Ouest;2014-04-07;G;Trécesson, ct;1;;112;326;60;13;66;29;3;171;4;
573;Abitibi-Ouest;2014-04-07;G;Berry, m;1;;113;238;27;7;49;14;3;100;4;
573;Abitibi-Ouest;2014-04-07;G;Berry, m;1;;114;196;49;2;35;19;3;108;1;
573;Abitibi-Ouest;2014-04-07;G;Saint-Félix-de-Dalquier, m;1;;115;249;51;4;48;15;4;122;3;
