Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bossé Bélanger Jade O.N. - P.I.Q.;Denis Marie-Josée P.L.Q./Q.L.P.;Grenier Maryse É.A.P. - P.C.Q.;Lusignan Carole Q.S.;Tremblay Serge C.A.Q.-É.F.L.;Turcotte Dave P.Q.;B.V.;B.R.;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;4;;23;321;0;39;1;11;69;39;159;2;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;4;;24;298;1;50;0;8;51;49;159;0;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;4;;25;342;2;35;2;14;45;51;149;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;4;;26;475;0;40;1;11;62;59;173;6;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;4;Regr. BVO-26;27;0;0;0;0;0;0;0;0;0;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;4;;28;408;2;66;1;7;91;49;216;1;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;4;;29;328;0;48;0;12;57;62;179;3;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;5;;30;362;1;45;1;19;67;72;205;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;5;;31;370;4;39;1;12;56;47;159;3;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;5;;32;332;3;53;3;17;56;65;197;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;5;;33;367;0;51;2;14;79;66;212;7;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;5;;34;387;2;45;5;22;67;79;220;3;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;5;;35;359;6;57;2;12;76;67;220;4;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;5;;36;372;3;55;0;16;65;58;197;2;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;5;;37;370;3;41;1;10;79;76;210;5;
189;Saint-Jean;2014-04-07;G;Saint-Jean-sur-Richelieu, v;5;;38;400;2;60;0;15;80;53;210;8;
