Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Binette Mathieu C.A.Q.-É.F.L.;Blais Claude P.L.Q./Q.L.P.;Chandonnet Louis É.A.;Cox David P.V.Q./G.P.Q.;Goyette-Gingras Camille O.N. - P.I.Q.;Larocque Natacha Q.S.;Léger Nicole P.Q.;Royer Geneviève P.M.L.Q.;B.V.;B.R.;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;390;;37;352;34;31;0;0;0;11;63;0;139;5;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;390;;38;348;49;50;0;4;1;11;84;3;202;3;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;390;;39;353;36;58;0;3;4;15;48;1;165;2;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;390;;40;369;49;35;0;3;1;16;68;0;172;4;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;390;;41;352;37;26;2;1;4;9;64;0;143;3;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;390;;42;361;44;44;1;3;3;33;71;0;199;6;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;391;;43;362;56;51;0;3;2;13;84;0;209;3;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;391;;44;363;47;41;0;2;3;11;87;0;191;2;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;391;;45;369;52;37;0;4;2;16;82;0;193;5;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;391;;46;371;51;39;1;2;2;16;76;0;187;5;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;391;;47;374;64;48;0;3;2;22;92;1;232;2;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;391;;48;378;65;32;0;3;4;28;92;0;224;7;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;391;;49;361;57;37;2;2;3;17;73;2;193;8;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;391;;50;356;45;44;0;2;3;11;80;0;185;1;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;391;;51;361;50;33;0;3;0;11;76;0;173;1;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;391;;52;354;43;32;1;2;0;6;88;0;172;1;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;391;;53;373;53;50;0;2;0;20;88;0;213;2;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;392;;54;364;59;38;2;5;0;27;68;1;200;2;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;392;;55;349;40;31;0;5;0;17;95;0;188;3;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;392;;56;358;44;50;0;1;2;16;81;2;196;5;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;392;;57;358;54;61;0;1;5;7;85;1;214;1;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;393;;58;446;49;59;2;3;1;15;50;0;179;1;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;393;;59;349;26;30;0;3;2;16;76;1;154;2;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;393;;60;441;32;39;0;3;0;14;59;0;147;3;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;393;;61;340;61;38;0;1;3;11;66;0;180;4;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;394;;62;340;34;61;1;3;3;22;84;0;208;7;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;394;;63;326;52;52;0;5;1;16;53;0;179;7;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;394;;64;327;67;30;0;5;1;18;91;0;212;2;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;394;;65;328;68;48;0;3;1;19;65;0;204;1;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;394;;66;353;37;48;0;0;0;22;94;0;201;7;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;394;;67;345;47;48;1;2;0;10;81;1;190;5;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;394;;68;402;19;53;0;4;1;11;69;0;157;2;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;394;;69;327;53;45;1;1;2;15;87;0;204;8;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;394;;70;328;51;43;3;3;1;18;78;1;198;3;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;395;;71;611;64;56;0;4;3;12;100;1;240;2;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;395;;72;373;67;59;1;2;3;21;81;0;234;3;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;395;;73;348;46;45;1;4;2;9;64;0;171;7;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;395;;74;373;66;38;0;1;1;23;110;2;241;0;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;395;;75;371;62;45;1;3;2;15;116;0;244;6;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;395;;76;357;46;38;1;1;2;17;60;1;166;8;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;395;;77;369;40;52;0;1;0;9;55;0;157;3;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;395;;78A;227;20;19;1;0;2;3;39;0;84;6;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;395;;78B;219;32;39;0;1;2;8;49;1;132;3;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;396;;79;406;43;24;1;1;3;18;77;1;168;9;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;396;;80;371;51;58;2;5;2;19;69;0;206;4;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;396;;81;382;42;52;1;5;0;17;69;0;186;13;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;396;;82;377;49;39;0;1;2;14;80;1;186;4;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;396;;83;380;49;43;0;4;1;12;85;1;195;4;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;396;;84;394;40;42;0;0;4;19;82;1;188;6;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;397;;85;341;49;21;0;2;1;14;72;1;160;3;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;397;;86;790;34;33;0;7;0;11;67;1;153;5;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;397;;87;416;53;33;0;1;1;14;72;0;174;3;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;397;;88;345;33;28;1;0;2;14;65;2;145;3;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;397;;89;340;45;22;1;2;1;23;101;0;195;3;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;397;;90;339;40;38;1;4;3;12;82;0;180;6;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;397;;91;338;39;33;1;2;0;9;76;2;162;1;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;398;;92;379;62;32;0;0;3;14;109;1;221;2;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;398;;93;381;73;39;0;3;0;26;90;0;231;6;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;398;;94;395;85;43;0;4;2;23;99;0;256;4;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;398;;95;368;77;49;0;1;3;15;94;0;239;10;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;398;;96;368;80;34;0;3;1;23;99;0;240;1;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;399;;97;228;38;15;0;0;2;16;54;0;125;1;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;399;;98;241;30;19;0;3;0;9;71;0;132;0;
369;Pointe-aux-Trembles;2014-04-07;G;Montréal, v;399;;99;328;44;22;2;1;3;17;80;2;171;6;
