Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauregard René P.Q.;Lemay François C.A.Q.-É.F.L.;Paradis Pierre P.L.Q./Q.L.P.;Pépin Nicolas O.N. - P.I.Q.;Van Caloen Benoit Q.S.;B.V.;B.R.;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;3;;17;312;31;72;46;1;8;158;4;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;3;;18;263;21;44;32;2;7;106;0;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;3;;19;400;52;67;39;0;12;170;1;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;3;;20;260;26;49;43;1;13;132;2;
129;Brome-Missisquoi;2014-04-07;G;Farnham, v;3;;21;296;25;63;41;2;6;137;4;
129;Brome-Missisquoi;2014-04-07;G;Sainte-Sabine, m;1;;22;238;32;45;61;0;6;144;1;
129;Brome-Missisquoi;2014-04-07;G;Sainte-Sabine, m;1;;23;284;47;80;59;0;8;194;7;
129;Brome-Missisquoi;2014-04-07;G;Sainte-Sabine, m;1;;24;290;25;90;61;3;9;188;4;
129;Brome-Missisquoi;2014-04-07;G;Notre-Dame-de-Stanbridge, m;1;;25;264;37;54;75;1;12;179;5;
129;Brome-Missisquoi;2014-04-07;G;Notre-Dame-de-Stanbridge, m;1;;26;285;29;69;71;1;13;183;4;
129;Brome-Missisquoi;2014-04-07;G;Saint-Ignace-de-Stanbridge, m;1;;27;237;29;60;65;2;12;168;1;
129;Brome-Missisquoi;2014-04-07;G;Saint-Ignace-de-Stanbridge, m;1;;28;247;22;52;64;0;8;146;4;
129;Brome-Missisquoi;2014-04-07;G;Stanbridge East, m;1;;29;337;17;28;157;0;16;218;5;
129;Brome-Missisquoi;2014-04-07;G;Stanbridge East, m;1;;30;356;19;51;169;0;9;248;3;
129;Brome-Missisquoi;2014-04-07;G;Bedford, ct;1;;31;261;24;30;73;0;5;132;1;
129;Brome-Missisquoi;2014-04-07;G;Bedford, ct;1;;32;290;22;33;106;0;4;165;1;
129;Brome-Missisquoi;2014-04-07;G;Bedford, v;1;;33;292;24;44;49;1;4;122;4;
129;Brome-Missisquoi;2014-04-07;G;Bedford, v;1;;34;282;24;51;70;1;17;163;2;
129;Brome-Missisquoi;2014-04-07;G;Bedford, v;1;;35;303;15;33;73;0;3;124;3;
129;Brome-Missisquoi;2014-04-07;G;Bedford, v;1;;36;291;25;24;65;3;4;121;3;
129;Brome-Missisquoi;2014-04-07;G;Bedford, v;1;;37;292;13;33;56;0;13;115;5;
129;Brome-Missisquoi;2014-04-07;G;Bedford, v;1;;38;336;17;48;58;0;5;128;2;
129;Brome-Missisquoi;2014-04-07;G;Bedford, v;1;;39;270;24;40;57;1;8;130;1;
129;Brome-Missisquoi;2014-04-07;G;Stanbridge Station, m;1;;40;240;28;43;66;1;6;144;3;
129;Brome-Missisquoi;2014-04-07;G;Pike River, m;1;;41;204;25;42;51;3;6;127;3;
129;Brome-Missisquoi;2014-04-07;G;Pike River, m;1;;42;212;31;39;45;1;14;130;3;
129;Brome-Missisquoi;2014-04-07;G;Saint-Armand, m;1;;43;359;27;51;125;3;19;225;2;
129;Brome-Missisquoi;2014-04-07;G;Saint-Armand, m;1;;44;356;24;34;100;1;13;172;5;
129;Brome-Missisquoi;2014-04-07;G;Saint-Armand, m;1;;45;330;22;46;147;1;18;234;1;
129;Brome-Missisquoi;2014-04-07;G;Frelighsburg, m;1;;46;301;51;45;78;1;15;190;3;
129;Brome-Missisquoi;2014-04-07;G;Frelighsburg, m;1;;47;323;36;55;71;0;41;203;4;
129;Brome-Missisquoi;2014-04-07;G;Frelighsburg, m;1;;48;285;25;32;84;1;32;174;2;
129;Brome-Missisquoi;2014-04-07;G;Dunham, v;1;;49;310;51;51;78;0;15;195;0;
129;Brome-Missisquoi;2014-04-07;G;Dunham, v;1;;50;297;37;49;66;0;9;161;2;
129;Brome-Missisquoi;2014-04-07;G;Dunham, v;1;;51;292;27;39;88;0;24;178;0;
129;Brome-Missisquoi;2014-04-07;G;Dunham, v;1;;52;316;35;38;71;1;16;161;2;
129;Brome-Missisquoi;2014-04-07;G;Dunham, v;1;;53;323;37;64;60;1;7;169;1;
129;Brome-Missisquoi;2014-04-07;G;Dunham, v;1;;54;269;33;48;59;0;6;146;2;
129;Brome-Missisquoi;2014-04-07;G;Dunham, v;1;;55;291;36;63;59;0;17;175;2;
129;Brome-Missisquoi;2014-04-07;G;Dunham, v;1;;56;333;22;47;94;0;28;191;1;
129;Brome-Missisquoi;2014-04-07;G;Dunham, v;1;;57;278;28;57;55;0;8;148;0;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;1;;58;334;41;57;71;0;4;173;5;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;1;;59;296;30;58;44;0;8;140;2;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;1;;60;302;9;26;50;0;5;90;4;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;1;;61;253;23;28;42;1;18;112;2;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;1;;62;266;28;34;37;0;2;101;1;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;1;;63;307;18;37;38;0;19;112;3;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;1;;64;256;18;28;40;0;1;87;4;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;2;;65;261;16;44;51;0;12;123;3;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;2;;66;281;40;27;30;0;17;114;2;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;2;;67;296;19;23;59;0;9;110;2;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;2;;68;298;12;18;62;0;11;103;4;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;2;;69;287;28;35;37;0;7;107;2;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;2;;70;282;25;37;50;1;14;127;5;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;2;;71;312;28;39;57;1;8;133;4;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;2;;72;303;28;52;44;0;11;135;1;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;2;;73;283;26;49;41;0;7;123;2;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;2;;74;335;34;40;42;0;11;127;2;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;2;;75;289;24;41;75;1;4;145;4;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;2;;76;394;35;56;83;1;9;184;4;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;3;;77;274;30;53;67;0;6;156;2;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;3;;78;264;11;20;38;1;7;77;2;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;3;;79;512;16;19;21;0;1;57;3;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;3;;80;266;36;40;53;0;17;146;4;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;3;;81;277;22;32;49;0;13;116;1;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;3;;82;286;17;28;56;0;5;106;1;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;3;;83;286;16;45;41;0;8;110;2;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;3;;84;283;37;60;51;0;4;152;1;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;3;;85;371;30;81;57;2;7;177;2;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;3;;86;295;24;71;54;1;6;156;0;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;3;;87;291;33;48;54;2;6;143;2;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;3;;88A;355;29;74;57;3;16;179;3;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;3;;88B;304;27;71;38;0;10;146;6;
129;Brome-Missisquoi;2014-04-07;G;Cowansville, v;3;;89;303;19;41;76;0;7;143;4;
129;Brome-Missisquoi;2014-04-07;G;Lac-Brome, v;1;;90;296;15;32;101;0;13;161;1;
129;Brome-Missisquoi;2014-04-07;G;Lac-Brome, v;1;;91;317;19;22;94;1;11;147;2;
129;Brome-Missisquoi;2014-04-07;G;Lac-Brome, v;1;;92;296;13;38;66;1;11;129;2;
129;Brome-Missisquoi;2014-04-07;G;Lac-Brome, v;1;;93;325;23;38;100;0;7;168;4;
