Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aberra Adam P.V.Q./G.P.Q.;Brunet Jean-François B.P.;Del Fabbro Fabrizio C.A.Q.-É.F.L.;de Santis Rita P.L.Q./Q.L.P.;Généreux Claude Q.S.;Luthu Félix O.N. - P.I.Q.;Mahiout Leila P.Q.;B.V.;B.R.;
431;Bourassa-Sauvé;2014-04-07;G;BVA5;;;;0;4;1;35;136;19;1;57;253;3;
431;Bourassa-Sauvé;2014-04-07;G;BVA6;;;;0;2;0;34;122;20;0;94;272;2;
431;Bourassa-Sauvé;2014-04-07;G;BVA7;;;;0;5;0;38;229;11;1;85;369;5;
431;Bourassa-Sauvé;2014-04-07;G;BVA8;;;;0;3;2;21;192;14;0;75;307;1;
431;Bourassa-Sauvé;2014-04-07;G;BVA9;;;;0;4;1;11;174;22;2;53;267;5;
431;Bourassa-Sauvé;2014-04-07;G;BVA10;;;;0;3;1;23;183;11;3;96;320;1;
431;Bourassa-Sauvé;2014-04-07;G;BVA11;;;;0;1;0;56;200;17;0;71;345;1;
431;Bourassa-Sauvé;2014-04-07;G;BVA12;;;;0;0;2;8;123;3;0;31;167;2;
431;Bourassa-Sauvé;2014-04-07;G;BVA13;;;;0;1;0;58;251;25;2;100;437;3;
431;Bourassa-Sauvé;2014-04-07;G;BVA14;;;;0;3;1;22;120;19;2;75;242;5;
431;Bourassa-Sauvé;2014-04-07;G;BVA15;;;;0;2;2;25;113;9;0;79;230;5;
431;Bourassa-Sauvé;2014-04-07;G;BVA16;;;;0;4;1;25;262;14;0;78;384;10;
431;Bourassa-Sauvé;2014-04-07;G;BVA17;;;;0;5;1;26;135;7;0;42;216;4;
431;Bourassa-Sauvé;2014-04-07;G;Vote en installation d'hébergement;;;;0;18;8;161;601;52;6;314;1160;28;
431;Bourassa-Sauvé;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;1;0;21;103;13;3;33;174;5;
431;Bourassa-Sauvé;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;8;2;22;335;14;1;55;437;6;
431;Bourassa-Sauvé;2014-04-07;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;0;
431;Bourassa-Sauvé;2014-04-07;G;Vote hors circonscription;;;;0;12;8;38;264;85;7;59;473;17;
431;Bourassa-Sauvé;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;79;0;0;0;0;0;0;0;0;0;
431;Bourassa-Sauvé;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;37;0;0;0;0;0;0;0;0;0;
431;Bourassa-Sauvé;2014-04-07;G;Total de la circonscription;;;;47769;351;214;3624;17905;1747;119;5646;29606;552;
431;Bourassa-Sauvé;2014-04-07;G;Majorité en faveur de Rita de Santis : 12259
