Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bernard Jean-Yves Q.S.;Latrémouille Ian C.A.Q.-É.F.L.;Marois Pauline P.Q.;Mélançon Chantal É.A.P. - P.C.Q.;Simard Caroline P.L.Q./Q.L.P.;Thériault François O.N. - P.I.Q.;B.V.;B.R.;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;3;;25;335;3;14;100;0;30;0;147;5;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;3;;26;316;8;37;74;0;55;0;174;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;La Malbaie, v;3;;27;328;15;41;93;1;46;0;196;0;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Clermont, v;1;;28;364;6;47;106;0;51;1;211;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Clermont, v;1;;29;363;3;38;112;1;58;1;213;5;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Clermont, v;1;;30;359;7;35;104;0;37;1;184;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Clermont, v;1;;31;352;9;23;107;1;34;1;175;3;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Clermont, v;1;;32;370;7;55;102;1;49;0;214;6;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Clermont, v;1;;33;357;8;25;68;1;38;2;142;0;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Clermont, v;1;;34;357;5;47;96;1;55;0;204;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Aimé-des-Lacs, m;1;;35;281;10;42;70;1;42;0;165;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Aimé-des-Lacs, m;1;;36;288;5;33;83;0;52;3;176;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Aimé-des-Lacs, m;1;;37;285;5;35;67;2;56;2;167;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Notre-Dame-des-Monts, m;1;;38;330;5;32;110;1;43;1;192;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Notre-Dame-des-Monts, m;1;;39;327;2;31;86;3;56;1;179;3;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Hilarion, p;1;;40;320;9;32;95;3;82;1;222;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Hilarion, p;1;;41;315;3;43;85;2;49;2;184;7;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Hilarion, p;1;;42;305;5;44;90;1;47;2;189;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Urbain, p;1;;43;375;12;53;96;2;67;0;230;3;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Urbain, p;1;;44;366;9;37;88;3;82;0;219;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Urbain, p;1;;45;372;8;44;108;5;53;3;221;3;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Baie-Saint-Paul, v;1;;46;358;9;35;76;1;57;1;179;5;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Baie-Saint-Paul, v;1;;47;368;11;43;109;1;45;0;209;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Baie-Saint-Paul, v;1;;48;365;9;35;70;1;56;1;172;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Baie-Saint-Paul, v;1;;49;362;7;26;65;0;45;0;143;5;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Baie-Saint-Paul, v;1;;50;349;17;19;63;0;53;2;154;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Baie-Saint-Paul, v;2;;51;386;4;31;57;1;32;2;127;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Baie-Saint-Paul, v;2;;52;398;5;23;57;0;38;3;126;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Baie-Saint-Paul, v;2;;53;363;4;15;58;0;48;0;125;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Baie-Saint-Paul, v;2;;54;349;13;16;56;0;41;2;128;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Baie-Saint-Paul, v;2;;55;356;3;48;74;2;50;1;178;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Baie-Saint-Paul, v;3;;56;320;2;18;70;0;43;0;133;0;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Baie-Saint-Paul, v;3;;57;318;7;26;62;0;37;5;137;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Baie-Saint-Paul, v;3;;58;324;7;27;54;0;43;0;131;0;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Baie-Saint-Paul, v;3;;59;323;6;30;77;0;39;3;155;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Baie-Saint-Paul, v;3;;60;332;4;27;58;0;39;1;129;3;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Baie-Saint-Paul, v;3;;61;331;2;22;73;0;33;1;131;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Baie-Saint-Paul, v;3;;62;339;3;24;65;1;53;1;147;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Les Éboulements, m;1;;63;289;8;39;78;0;44;6;175;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Les Éboulements, m;1;;64;287;11;32;79;1;68;0;191;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Les Éboulements, m;1;;65;275;17;30;67;0;62;1;177;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Les Éboulements, m;1;;66;282;8;37;94;0;68;3;210;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Irénée, p;1;;67;259;11;46;61;1;53;4;176;0;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Saint-Irénée, p;1;;68;268;12;38;70;3;38;1;162;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;L'Isle-aux-Coudres, m;1;;69;345;4;25;37;1;54;0;121;1;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;L'Isle-aux-Coudres, m;1;;70;346;4;27;48;3;59;2;143;4;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;L'Isle-aux-Coudres, m;1;;71;359;4;32;50;1;66;0;153;2;
679;Charlevoix-Côte-de-Beaupré;2014-04-07;G;Petite-Rivière-Saint-François, m;1;;72;340;7;41;53;4;100;2;207;3;
