Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brunelle Claude P.M.L.Q.;Chateauneuf Gaétan Q.S.;Gagnon Jean-Pierre P.L.Q./Q.L.P.;Kotto Maka P.Q.;Lapierre Thomas P.V.Q./G.P.Q.;Medza Sylvain C.A.Q.-É.F.L.;Saavedra Renaud Diego O.N. - P.I.Q.;B.V.;B.R.;
377;Bourget;2014-04-07;G;Montréal, v;345;;28;339;2;17;50;46;2;25;3;145;4;
377;Bourget;2014-04-07;G;Montréal, v;345;;29;362;2;8;63;61;4;23;2;163;4;
377;Bourget;2014-04-07;G;Montréal, v;346;;30;369;0;18;31;80;0;38;1;168;2;
377;Bourget;2014-04-07;G;Montréal, v;346;;31;411;0;19;57;59;1;28;6;170;1;
377;Bourget;2014-04-07;G;Montréal, v;346;;32;424;0;20;102;45;2;37;1;207;1;
377;Bourget;2014-04-07;G;Montréal, v;346;;33;358;0;25;83;51;3;45;0;207;4;
377;Bourget;2014-04-07;G;Montréal, v;346;;34;414;0;36;39;61;4;52;0;192;8;
377;Bourget;2014-04-07;G;Montréal, v;346;;35;374;1;19;55;81;1;51;1;209;6;
377;Bourget;2014-04-07;G;Montréal, v;346;;36;368;1;22;97;66;2;55;0;243;2;
377;Bourget;2014-04-07;G;Montréal, v;346;;37;401;0;35;64;61;2;78;2;242;3;
377;Bourget;2014-04-07;G;Montréal, v;346;;38;394;1;40;50;77;4;52;2;226;2;
377;Bourget;2014-04-07;G;Montréal, v;346;;39;600;0;33;83;72;3;39;2;232;2;
377;Bourget;2014-04-07;G;Montréal, v;346;;40;740;2;32;72;67;1;65;1;240;2;
377;Bourget;2014-04-07;G;Montréal, v;346;;41;632;1;15;70;79;3;57;1;226;2;
377;Bourget;2014-04-07;G;Montréal, v;347;;42;469;1;9;58;48;1;36;0;153;1;
377;Bourget;2014-04-07;G;Montréal, v;347;;43;365;0;18;67;59;1;38;1;184;3;
377;Bourget;2014-04-07;G;Montréal, v;347;;44;367;0;35;48;88;2;41;2;216;2;
377;Bourget;2014-04-07;G;Montréal, v;347;;45;367;0;21;77;59;3;35;3;198;1;
377;Bourget;2014-04-07;G;Montréal, v;347;;46;467;1;13;56;64;0;31;0;165;1;
