Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Arcand Pierre P.L.Q./Q.L.P.;Beauséjour Audrey P.Q.;Floch Hélène É.A.P. - P.C.Q.;Giraud Darryl L P.V.Q./G.P.Q.;Johnston Diane P.M.L.Q.;Leboeuf Jamilla C.A.Q.-É.F.L.;Semak Roy Q.S.;B.V.;B.R.;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;5;;25;403;187;4;0;0;0;27;3;221;0;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;5;;26;391;180;6;2;2;0;12;2;204;1;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;5;;27;377;175;9;7;2;0;16;2;211;0;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;5;;28;391;118;34;2;2;1;24;25;206;2;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;6;;29;384;142;14;0;7;0;15;12;190;3;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;6;;30;354;114;26;1;8;0;33;15;197;3;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;6;;31;363;134;14;1;7;1;31;23;211;3;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;6;;32;352;118;16;1;5;0;15;7;162;1;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;6;;33;346;145;21;0;5;1;30;23;225;2;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;6;;34;347;136;11;0;3;0;33;10;193;3;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;6;;35;310;115;14;0;6;0;14;18;167;3;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;6;;36A;205;69;12;0;1;0;18;5;105;2;
419;Mont-Royal;2014-04-07;G;Mont-Royal, v;6;;36B;234;85;8;0;0;0;27;8;128;0;
419;Mont-Royal;2014-04-07;G;Montréal, v;126;;37;386;145;13;1;8;1;30;6;204;0;
419;Mont-Royal;2014-04-07;G;Montréal, v;126;;38;391;139;17;0;7;0;42;15;220;6;
419;Mont-Royal;2014-04-07;G;Montréal, v;126;;39;407;147;18;2;5;0;20;6;198;3;
419;Mont-Royal;2014-04-07;G;Montréal, v;126;;40A;207;88;9;4;1;0;5;5;112;0;
419;Mont-Royal;2014-04-07;G;Montréal, v;126;;40B;229;92;2;0;4;0;6;4;108;2;
419;Mont-Royal;2014-04-07;G;Montréal, v;126;;41;418;139;6;0;3;0;30;9;187;0;
419;Mont-Royal;2014-04-07;G;Montréal, v;126;;42;425;160;6;1;2;2;10;5;186;1;
419;Mont-Royal;2014-04-07;G;Montréal, v;126;;43;391;196;3;1;1;0;3;2;206;0;
419;Mont-Royal;2014-04-07;G;Montréal, v;126;;44A;388;146;16;1;3;1;17;8;192;3;
419;Mont-Royal;2014-04-07;G;Montréal, v;126;;44B;358;164;9;0;2;0;31;6;212;1;
419;Mont-Royal;2014-04-07;G;Montréal, v;126;;45;417;153;4;1;3;0;20;7;188;0;
