Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Auger Pierre Michel P.L.Q./Q.L.P.;Champagne Noëlla P.Q.;D'Amours Andrew C.A.Q.-É.F.L.;Favreau Lucie Q.S.;Lavigne-Lefebvre Nicolas O.N. - P.I.Q.;B.V.;B.R.;
593;Champlain;2014-04-07;G;Trois-Rivières, v;30;;42;395;54;58;83;16;0;211;5;
593;Champlain;2014-04-07;G;Trois-Rivières, v;30;;43;383;62;36;60;10;0;168;4;
593;Champlain;2014-04-07;G;Trois-Rivières, v;30;;44;399;71;39;74;9;2;195;7;
593;Champlain;2014-04-07;G;Trois-Rivières, v;31;;45;382;69;71;69;16;1;226;6;
593;Champlain;2014-04-07;G;Trois-Rivières, v;31;;46;343;57;55;83;7;1;203;3;
593;Champlain;2014-04-07;G;Trois-Rivières, v;31;;47;360;69;48;78;12;1;208;5;
593;Champlain;2014-04-07;G;Trois-Rivières, v;31;;48;356;77;43;87;16;0;223;9;
593;Champlain;2014-04-07;G;Trois-Rivières, v;31;;49;356;96;56;64;10;1;227;2;
593;Champlain;2014-04-07;G;Trois-Rivières, v;31;;50;380;66;48;56;12;2;184;4;
593;Champlain;2014-04-07;G;Trois-Rivières, v;32;;51;380;58;58;55;14;0;185;6;
593;Champlain;2014-04-07;G;Trois-Rivières, v;32;;52;393;57;68;58;14;5;202;5;
593;Champlain;2014-04-07;G;Trois-Rivières, v;32;;53;394;61;53;72;10;1;197;5;
593;Champlain;2014-04-07;G;Trois-Rivières, v;32;;54;368;54;61;75;7;1;198;4;
593;Champlain;2014-04-07;G;Trois-Rivières, v;32;;55;399;63;66;82;10;1;222;1;
593;Champlain;2014-04-07;G;Trois-Rivières, v;32;;56;380;80;73;69;12;2;236;0;
593;Champlain;2014-04-07;G;Trois-Rivières, v;32;;57;414;66;59;53;9;1;188;3;
593;Champlain;2014-04-07;G;Trois-Rivières, v;33;;58;358;53;46;51;5;1;156;1;
593;Champlain;2014-04-07;G;Trois-Rivières, v;33;;59;332;52;47;69;10;2;180;9;
593;Champlain;2014-04-07;G;Trois-Rivières, v;33;;60;327;45;56;63;7;1;172;4;
593;Champlain;2014-04-07;G;Trois-Rivières, v;33;;61;331;43;39;56;11;1;150;3;
593;Champlain;2014-04-07;G;Trois-Rivières, v;33;;62;316;42;36;48;4;2;132;7;
593;Champlain;2014-04-07;G;Trois-Rivières, v;34;;63;335;46;44;63;12;0;165;3;
593;Champlain;2014-04-07;G;Trois-Rivières, v;34;;64;334;38;54;48;16;1;157;6;
593;Champlain;2014-04-07;G;Trois-Rivières, v;34;;65;374;60;71;67;7;2;207;4;
593;Champlain;2014-04-07;G;Trois-Rivières, v;34;;66;664;33;53;45;10;0;141;2;
593;Champlain;2014-04-07;G;Trois-Rivières, v;34;;67;361;53;36;46;12;0;147;6;
593;Champlain;2014-04-07;G;Trois-Rivières, v;34;;68;318;35;55;48;7;1;146;4;
593;Champlain;2014-04-07;G;Trois-Rivières, v;35;;69;391;56;55;61;17;2;191;4;
593;Champlain;2014-04-07;G;Trois-Rivières, v;35;;70;421;67;54;82;15;2;220;3;
593;Champlain;2014-04-07;G;Trois-Rivières, v;35;;71;416;35;39;38;10;4;126;3;
593;Champlain;2014-04-07;G;Trois-Rivières, v;35;;72;404;48;52;52;13;0;165;5;
593;Champlain;2014-04-07;G;Trois-Rivières, v;35;;73;417;76;66;70;5;2;219;4;
593;Champlain;2014-04-07;G;Trois-Rivières, v;36;;74;404;57;61;75;7;5;205;3;
