Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Dagenais Gabriel Q.S.;Lacroix Christian P.L.Q./Q.L.P.;Pagé Sylvain P.Q.;Remy-Quevedo Cedrick C.A.Q.-É.F.L.;Richard-Léonard Philippe O.N. - P.I.Q.;B.V.;B.R.;
545;Labelle;2014-04-07;G;Rivière-Rouge, v;1;;73;364;16;28;69;37;2;152;3;
545;Labelle;2014-04-07;G;Rivière-Rouge, v;1;;74;342;6;30;48;34;1;119;6;
545;Labelle;2014-04-07;G;Rivière-Rouge, v;1;;75;437;9;17;52;21;0;99;1;
545;Labelle;2014-04-07;G;Rivière-Rouge, v;1;Regr. BVO-75;76;0;0;0;0;0;0;0;0;
545;Labelle;2014-04-07;G;Rivière-Rouge, v;1;;77;371;8;25;83;37;0;153;2;
545;Labelle;2014-04-07;G;Rivière-Rouge, v;1;;78;378;17;28;55;42;0;142;2;
545;Labelle;2014-04-07;G;Rivière-Rouge, v;1;;79;358;7;19;51;34;0;111;3;
545;Labelle;2014-04-07;G;Rivière-Rouge, v;1;;80;359;8;14;50;25;0;97;0;
545;Labelle;2014-04-07;G;Rivière-Rouge, v;1;;81;380;13;32;64;34;1;144;2;
545;Labelle;2014-04-07;G;La Macaza, m;1;;82;362;12;46;66;39;0;163;2;
545;Labelle;2014-04-07;G;La Macaza, m;1;;83;380;28;64;69;49;3;213;2;
545;Labelle;2014-04-07;G;La Minerve, m;1;;84;341;8;44;120;32;1;205;2;
545;Labelle;2014-04-07;G;La Minerve, m;1;;85;309;13;54;76;50;1;194;3;
545;Labelle;2014-04-07;G;La Minerve, m;1;;86;353;18;58;72;41;2;191;6;
545;Labelle;2014-04-07;G;Labelle, m;1;;87;327;14;29;76;36;1;156;2;
545;Labelle;2014-04-07;G;Labelle, m;1;;88;344;13;40;64;48;1;166;2;
545;Labelle;2014-04-07;G;Labelle, m;1;;89;342;11;23;62;39;2;137;2;
545;Labelle;2014-04-07;G;Labelle, m;1;Regr. BVO-91;90;0;0;0;0;0;0;0;0;
545;Labelle;2014-04-07;G;Labelle, m;1;;91;389;6;29;56;35;1;127;4;
545;Labelle;2014-04-07;G;Labelle, m;1;;92;348;19;41;78;39;2;179;3;
545;Labelle;2014-04-07;G;Labelle, m;1;;93;347;22;41;53;33;0;149;2;
545;Labelle;2014-04-07;G;La Conception, m;1;;94;360;18;42;110;42;1;213;3;
545;Labelle;2014-04-07;G;La Conception, m;1;;95;381;18;40;98;51;2;209;4;
545;Labelle;2014-04-07;G;La Conception, m;1;;96;341;10;36;59;57;0;162;3;
545;Labelle;2014-04-07;G;Amherst, ct;1;;97;239;7;31;61;37;0;136;0;
545;Labelle;2014-04-07;G;Amherst, ct;1;;98;226;7;32;43;39;0;121;0;
545;Labelle;2014-04-07;G;Amherst, ct;1;;99;392;13;51;95;32;1;192;4;
545;Labelle;2014-04-07;G;Amherst, ct;1;;100;388;15;28;84;44;2;173;2;
545;Labelle;2014-04-07;G;Brébeuf, p;1;;101;402;10;46;136;66;4;262;4;
545;Labelle;2014-04-07;G;Brébeuf, p;1;;102;411;32;34;140;40;3;249;4;
545;Labelle;2014-04-07;G;Huberdeau, m;1;;103;354;23;46;100;35;0;204;4;
545;Labelle;2014-04-07;G;Huberdeau, m;1;;104;341;22;48;94;36;1;201;3;
545;Labelle;2014-04-07;G;Lac-Tremblant-Nord, m;1;Regr. BVO-106;105;0;0;0;0;0;0;0;0;
545;Labelle;2014-04-07;G;Mont-Tremblant, v;1;;106;401;12;97;30;31;1;171;3;
545;Labelle;2014-04-07;G;Mont-Tremblant, v;1;;107;404;11;64;45;41;0;161;4;
545;Labelle;2014-04-07;G;Mont-Tremblant, v;1;;108;389;11;72;48;35;1;167;0;
545;Labelle;2014-04-07;G;Mont-Tremblant, v;1;;109;398;28;52;71;44;2;197;2;
545;Labelle;2014-04-07;G;Mont-Tremblant, v;1;;110;392;20;52;91;47;2;212;3;
545;Labelle;2014-04-07;G;Mont-Tremblant, v;1;Regr. BVO-112;111;0;0;0;0;0;0;0;0;
545;Labelle;2014-04-07;G;Mont-Tremblant, v;1;;112;462;14;48;70;36;2;170;2;
545;Labelle;2014-04-07;G;Mont-Tremblant, v;1;;113;357;18;49;68;25;1;161;7;
