Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudoin André P.Q.;Bédard Jean-Paul P.M.L.Q.;Boulet Julie P.L.Q./Q.L.P.;Clavet-Massicotte Gabriel-Olivier O.N. - P.I.Q.;Dubois Jean-François Q.S.;Gauthier Sylvain C.A.Q.-É.F.L.;B.V.;B.R.;
583;Laviolette;2014-04-07;G;Shawinigan, v;18;;67;391;60;0;75;0;17;69;221;8;
583;Laviolette;2014-04-07;G;Shawinigan, v;18;;68;389;50;0;137;2;13;41;243;2;
583;Laviolette;2014-04-07;G;Shawinigan, v;19;;69;342;32;1;85;1;8;47;174;6;
583;Laviolette;2014-04-07;G;Shawinigan, v;19;;70;357;52;2;104;1;8;66;233;5;
583;Laviolette;2014-04-07;G;Shawinigan, v;19;;71;443;41;1;83;0;8;52;185;5;
583;Laviolette;2014-04-07;G;Shawinigan, v;19;;72;356;34;0;95;0;11;65;205;6;
583;Laviolette;2014-04-07;G;Shawinigan, v;19;;73;346;58;1;72;0;6;44;181;6;
583;Laviolette;2014-04-07;G;Shawinigan, v;19;;74;372;32;0;78;2;15;49;176;3;
583;Laviolette;2014-04-07;G;Shawinigan, v;19;;75;350;30;1;89;1;5;50;176;9;
583;Laviolette;2014-04-07;G;Shawinigan, v;19;;76;382;31;0;107;2;12;63;215;0;
583;Laviolette;2014-04-07;G;Shawinigan, v;19;;77;367;40;0;99;2;10;64;215;6;
583;Laviolette;2014-04-07;G;Hérouxville, p;1;;78;356;52;0;100;1;13;57;223;0;
583;Laviolette;2014-04-07;G;Hérouxville, p;1;;79;353;51;0;76;2;19;33;181;1;
