Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bessette Andrée Q.S.;Charlebois Lucie P.L.Q./Q.L.P.;Domingos Patricia P.Éq.;Marquis Patrick O.N. - P.I.Q.;Séguin Marie-Louise P.Q.;B.V.;B.R.;
163;Soulanges;2014-04-07;G;Saint-Télesphore, m;1;;31;281;13;94;3;2;42;154;6;
163;Soulanges;2014-04-07;G;Saint-Télesphore, m;1;;32;275;18;95;3;7;59;182;2;
163;Soulanges;2014-04-07;G;Saint-Polycarpe, m;1;;33;284;20;57;6;8;62;153;9;
163;Soulanges;2014-04-07;G;Saint-Polycarpe, m;1;;34A;217;16;46;6;5;46;119;6;
163;Soulanges;2014-04-07;G;Saint-Polycarpe, m;1;;34B;251;17;66;6;5;35;129;2;
163;Soulanges;2014-04-07;G;Saint-Polycarpe, m;1;;35;309;24;51;11;2;90;178;7;
163;Soulanges;2014-04-07;G;Saint-Polycarpe, m;1;;36;289;13;81;8;1;70;173;8;
163;Soulanges;2014-04-07;G;Saint-Polycarpe, m;1;;37;274;13;77;3;3;51;147;13;
163;Soulanges;2014-04-07;G;Rivière-Beaudette, m;1;;38;371;28;69;9;2;98;206;14;
163;Soulanges;2014-04-07;G;Rivière-Beaudette, m;1;;39;314;21;59;6;2;55;143;11;
163;Soulanges;2014-04-07;G;Rivière-Beaudette, m;1;;40;281;25;75;4;1;48;153;7;
163;Soulanges;2014-04-07;G;Rivière-Beaudette, m;1;;41;305;18;85;6;1;43;153;8;
163;Soulanges;2014-04-07;G;Rivière-Beaudette, m;1;;42;284;12;58;8;2;58;138;10;
163;Soulanges;2014-04-07;G;Saint-Zotique, m;1;;43;336;14;67;7;3;62;153;9;
163;Soulanges;2014-04-07;G;Saint-Zotique, m;1;;44;309;16;43;2;2;35;98;6;
163;Soulanges;2014-04-07;G;Saint-Zotique, m;1;;45;313;20;37;1;4;72;134;6;
163;Soulanges;2014-04-07;G;Saint-Zotique, m;1;;46;338;22;41;8;3;69;143;0;
163;Soulanges;2014-04-07;G;Saint-Zotique, m;1;;47;327;19;53;3;4;67;146;7;
163;Soulanges;2014-04-07;G;Saint-Zotique, m;1;;48;333;10;63;4;3;36;116;4;
163;Soulanges;2014-04-07;G;Saint-Zotique, m;1;;49A;281;14;51;5;4;55;129;9;
163;Soulanges;2014-04-07;G;Saint-Zotique, m;1;;49B;302;15;62;4;1;46;128;11;
163;Soulanges;2014-04-07;G;Saint-Zotique, m;1;;50;324;21;53;6;1;56;137;16;
163;Soulanges;2014-04-07;G;Saint-Zotique, m;1;;51;369;29;48;5;3;69;154;11;
163;Soulanges;2014-04-07;G;Saint-Zotique, m;1;;52;337;15;49;6;3;73;146;12;
163;Soulanges;2014-04-07;G;Saint-Zotique, m;1;;53;414;25;111;6;5;80;227;15;
163;Soulanges;2014-04-07;G;Saint-Zotique, m;1;;54;309;33;58;1;2;58;152;17;
163;Soulanges;2014-04-07;G;Saint-Zotique, m;1;;55;307;19;48;2;2;61;132;13;
163;Soulanges;2014-04-07;G;Saint-Zotique, m;1;;56;425;28;66;5;2;83;184;20;
163;Soulanges;2014-04-07;G;Saint-Zotique, m;1;;57;314;20;50;9;1;59;139;7;
163;Soulanges;2014-04-07;G;Saint-Zotique, m;1;;58;308;15;48;4;4;30;101;1;
163;Soulanges;2014-04-07;G;Les Coteaux, m;1;;59;336;22;58;5;4;85;174;16;
163;Soulanges;2014-04-07;G;Les Coteaux, m;1;;60;335;25;61;5;3;80;174;6;
