Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Allen-Mercier Zoé O.N. - P.I.Q.;Boucher Jean P.L.Q./Q.L.P.;Cameron Michael Donald C.A.Q.-É.F.L.;Ferland Luc P.Q.;Guillemette Matthew P.N.;Richer André Q.S.;B.V.;B.R.;
793;Ungava;2014-04-07;G;Baie-James, m;2;Regr. BVDS-1;86;9;0;0;0;0;0;0;0;0;
793;Ungava;2014-04-07;G;Baie-James, m;2;Regr. BVO-86;87;0;0;0;0;0;0;0;0;0;
793;Ungava;2014-04-07;G;Baie-James, m;2;Regr. BVO-33;88;0;0;0;0;0;0;0;0;0;
793;Ungava;2014-04-07;G;BVA1;;;;0;3;126;31;227;2;14;403;6;
793;Ungava;2014-04-07;G;BVA2;;;;0;4;132;37;171;8;14;366;5;
793;Ungava;2014-04-07;G;BVA3;;;;0;4;66;22;96;2;7;197;1;
793;Ungava;2014-04-07;G;BVA4;;;;0;3;119;27;155;2;22;328;9;
793;Ungava;2014-04-07;G;BVA5;;;;0;3;62;20;74;2;3;164;1;
793;Ungava;2014-04-07;G;BVA6;;;;0;3;2;1;40;0;1;47;0;
793;Ungava;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;0;10;1;6;0;1;18;0;
793;Ungava;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;7;110;111;83;5;23;339;4;
793;Ungava;2014-04-07;G;Vote itinérant en région éloignée;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0;
793;Ungava;2014-04-07;G;Vote hors circonscription;;;;0;8;61;29;86;2;22;208;9;
793;Ungava;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;15;0;0;0;0;0;0;0;0;
793;Ungava;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;56;0;0;0;0;0;0;0;0;
793;Ungava;2014-04-07;G;Total de la circonscription;;;;26786;235;4615;1800;3599;140;512;10901;207;
793;Ungava;2014-04-07;G;Majorité en faveur de Jean Boucher : 1016
