Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Avalos Laura Q.S.;Boily Philippe O.N. - P.I.Q.;Carrière Marc P.L.Q./Q.L.P.;Fleury Roger P.V.Q./G.P.Q.;Morin Yves P.Q.;Pelletier Carl C.A.Q.-É.F.L.;Soublière Pierre P.M.L.Q.;B.V.;B.R.;
559;Chapleau;2014-04-07;G;Gatineau, v;33;;33;369;7;1;78;5;34;26;0;151;2;
559;Chapleau;2014-04-07;G;Gatineau, v;33;;34;364;9;3;55;4;27;25;0;123;1;
559;Chapleau;2014-04-07;G;Gatineau, v;33;;35;369;8;0;59;1;28;10;2;108;4;
559;Chapleau;2014-04-07;G;Gatineau, v;33;;36;354;7;2;54;6;43;37;0;149;0;
559;Chapleau;2014-04-07;G;Gatineau, v;33;;37;362;11;2;104;6;26;25;1;175;1;
559;Chapleau;2014-04-07;G;Gatineau, v;33;;38;349;6;0;51;1;21;24;0;103;2;
559;Chapleau;2014-04-07;G;Gatineau, v;33;;39;384;3;0;108;5;17;21;0;154;2;
559;Chapleau;2014-04-07;G;Gatineau, v;33;;40;372;9;1;82;5;28;24;0;149;1;
559;Chapleau;2014-04-07;G;Gatineau, v;34;;41;378;10;0;126;5;32;40;0;213;4;
559;Chapleau;2014-04-07;G;Gatineau, v;34;;42;371;12;0;125;5;37;23;0;202;3;
559;Chapleau;2014-04-07;G;Gatineau, v;34;;43;387;12;0;156;4;49;34;0;255;2;
559;Chapleau;2014-04-07;G;Gatineau, v;34;;44;405;19;5;169;3;38;42;0;276;3;
559;Chapleau;2014-04-07;G;Gatineau, v;34;;45;400;16;1;156;4;44;41;0;262;1;
559;Chapleau;2014-04-07;G;Gatineau, v;34;;46;382;9;13;103;5;27;38;1;196;5;
559;Chapleau;2014-04-07;G;Gatineau, v;34;;47;399;9;0;105;2;36;34;0;186;3;
559;Chapleau;2014-04-07;G;Gatineau, v;34;;48;384;25;2;99;2;41;43;1;213;3;
559;Chapleau;2014-04-07;G;Gatineau, v;34;;49A;209;7;2;37;0;16;19;0;81;1;
559;Chapleau;2014-04-07;G;Gatineau, v;34;;49B;314;7;2;92;3;38;32;1;175;4;
559;Chapleau;2014-04-07;G;Gatineau, v;34;;50;388;9;0;127;6;35;39;0;216;6;
559;Chapleau;2014-04-07;G;Gatineau, v;34;;51;429;5;0;90;5;31;28;0;159;3;
559;Chapleau;2014-04-07;G;Gatineau, v;34;;52;365;13;2;94;10;25;35;3;182;1;
559;Chapleau;2014-04-07;G;Gatineau, v;34;;53;385;12;1;138;9;30;39;1;230;5;
559;Chapleau;2014-04-07;G;Gatineau, v;34;;54;368;8;0;98;11;39;40;0;196;3;
559;Chapleau;2014-04-07;G;Gatineau, v;34;;55;392;13;2;98;1;33;36;0;183;5;
559;Chapleau;2014-04-07;G;Gatineau, v;34;;56;384;11;0;84;2;41;25;1;164;1;
559;Chapleau;2014-04-07;G;Gatineau, v;35;;57;359;18;4;104;3;22;26;0;177;0;
559;Chapleau;2014-04-07;G;Gatineau, v;35;;58;392;24;2;104;4;53;35;0;222;4;
