Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Aubé Gilles P.Q.;Citegetse Jean Bosco C.A.Q.-É.F.L.;Gaudreault Maryse P.L.Q./Q.L.P.;Girard Bernier Gabriel P.M.L.Q.;Harb Eid O.N. - P.I.Q.;Renaud Benoit Q.S.;B.V.;B.R.;
561;Hull;2014-04-07;G;Gatineau, v;8;;18;402;53;23;110;0;0;50;236;5;
561;Hull;2014-04-07;G;Gatineau, v;8;;19;416;37;11;115;0;0;24;187;2;
561;Hull;2014-04-07;G;Gatineau, v;8;;20;412;35;21;177;0;1;16;250;6;
561;Hull;2014-04-07;G;Gatineau, v;8;;21;404;48;25;137;1;2;17;230;2;
561;Hull;2014-04-07;G;Gatineau, v;8;;22;417;53;21;127;0;0;26;227;8;
561;Hull;2014-04-07;G;Gatineau, v;8;;23;674;39;29;122;1;0;27;218;6;
561;Hull;2014-04-07;G;Gatineau, v;8;;24;399;27;17;103;1;1;14;163;3;
561;Hull;2014-04-07;G;Gatineau, v;8;;25;405;41;29;118;1;1;26;216;5;
561;Hull;2014-04-07;G;Gatineau, v;8;;26;389;53;21;95;0;1;24;194;4;
561;Hull;2014-04-07;G;Gatineau, v;8;;27;421;54;24;109;0;0;26;213;4;
561;Hull;2014-04-07;G;Gatineau, v;8;;28;420;64;30;106;0;1;40;241;5;
561;Hull;2014-04-07;G;Gatineau, v;8;;29A;229;35;14;54;0;1;19;123;2;
561;Hull;2014-04-07;G;Gatineau, v;8;;29B;203;14;15;65;1;2;8;105;1;
561;Hull;2014-04-07;G;Gatineau, v;9;;30;337;44;20;88;1;2;21;176;3;
561;Hull;2014-04-07;G;Gatineau, v;9;;31;355;21;13;91;2;1;5;133;2;
561;Hull;2014-04-07;G;Gatineau, v;9;;32;393;36;29;127;3;0;14;209;2;
561;Hull;2014-04-07;G;Gatineau, v;9;;33;414;22;21;141;1;1;11;197;0;
561;Hull;2014-04-07;G;Gatineau, v;9;;34;385;26;20;120;0;0;16;182;5;
