Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beaudoin Denise P.Q.;Boisvert Ismaël P.L.Q./Q.L.P.;D'Amours Sylvie C.A.Q.-É.F.L.;Jaccoud Mylène Q.S.;Jean-Louis Curtis O.N. - P.I.Q.;Linskiy Andre É.A.P. - P.C.Q.;B.V.;B.R.;
495;Mirabel;2014-04-07;G;Mirabel, v;3;;110;330;57;25;103;9;0;2;196;4;
495;Mirabel;2014-04-07;G;Mirabel, v;3;;111;328;73;30;69;10;0;3;185;2;
495;Mirabel;2014-04-07;G;Mirabel, v;3;;112;346;54;17;85;18;1;1;176;10;
495;Mirabel;2014-04-07;G;Mirabel, v;3;;113;348;81;14;99;7;0;1;202;7;
495;Mirabel;2014-04-07;G;Mirabel, v;3;;114;355;64;33;83;11;1;1;193;14;
495;Mirabel;2014-04-07;G;Mirabel, v;3;;115;344;66;29;93;8;0;0;196;4;
495;Mirabel;2014-04-07;G;Mirabel, v;3;;116;333;62;17;86;8;0;2;175;9;
495;Mirabel;2014-04-07;G;Mirabel, v;3;;117;334;68;19;68;12;0;2;169;8;
495;Mirabel;2014-04-07;G;Mirabel, v;3;;118;347;46;22;93;10;0;3;174;1;
495;Mirabel;2014-04-07;G;Mirabel, v;3;;119;377;79;29;93;11;1;0;213;3;
495;Mirabel;2014-04-07;G;Mirabel, v;3;;120;325;70;20;88;10;0;0;188;3;
495;Mirabel;2014-04-07;G;Mirabel, v;3;;121;379;58;34;107;11;0;1;211;8;
495;Mirabel;2014-04-07;G;Mirabel, v;4;;122;334;51;24;66;11;1;1;154;5;
495;Mirabel;2014-04-07;G;Mirabel, v;4;;123;332;65;39;67;17;1;0;189;6;
495;Mirabel;2014-04-07;G;Mirabel, v;4;;124;397;51;57;108;11;3;0;230;5;
495;Mirabel;2014-04-07;G;Mirabel, v;4;;125;366;63;35;57;14;0;1;170;5;
495;Mirabel;2014-04-07;G;Mirabel, v;4;;126;346;68;18;63;14;0;2;165;4;
495;Mirabel;2014-04-07;G;Mirabel, v;4;;127;394;60;45;62;8;1;2;178;5;
495;Mirabel;2014-04-07;G;Mirabel, v;4;;128;400;57;22;56;16;1;0;152;8;
495;Mirabel;2014-04-07;G;Mirabel, v;4;Regr. BVO-128;129;0;0;0;0;0;0;0;0;0;
495;Mirabel;2014-04-07;G;Mirabel, v;4;;130;325;41;33;78;9;0;0;161;4;
495;Mirabel;2014-04-07;G;Mirabel, v;5;;131;336;60;38;56;9;2;3;168;6;
495;Mirabel;2014-04-07;G;Mirabel, v;5;;132;316;41;27;71;10;2;0;151;4;
495;Mirabel;2014-04-07;G;Mirabel, v;5;;133;349;47;37;52;11;0;1;148;7;
495;Mirabel;2014-04-07;G;Mirabel, v;5;;134;320;63;27;81;16;0;0;187;6;
495;Mirabel;2014-04-07;G;Mirabel, v;5;;135;340;47;54;105;12;1;0;219;3;
495;Mirabel;2014-04-07;G;Mirabel, v;5;;136;348;45;43;84;13;3;0;188;1;
