Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Baller Martin C.A.Q.-É.F.L.;Bourgault Claude P.V.Q./G.P.Q.;Gaudet Marc É.A.P. - P.C.Q.;Mathieu Marie-Ève Q.S.;Plante Alain P.L.Q./Q.L.P.;Tremblay Jean-François O.N. - P.I.Q.;Zakaïb Élaine P.Q.;B.V.;B.R.;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;8;;84;257;28;2;0;6;19;1;40;96;2;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;8;;85;293;33;1;1;4;28;1;43;111;2;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;9;;86;246;38;1;2;10;22;2;42;117;4;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;9;;87;296;19;0;1;9;26;2;38;95;10;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;9;;88;264;38;0;0;5;16;3;31;93;6;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;9;;89;262;37;3;3;3;16;0;47;109;7;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;9;;90;264;30;1;1;7;12;3;34;88;3;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;9;;91;243;23;3;0;2;11;0;31;70;1;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;9;;92;258;40;3;0;8;19;2;38;110;4;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;9;;93;261;20;1;1;6;25;1;42;96;2;
253;Richelieu;2014-04-07;G;Sorel-Tracy, v;9;;94;243;9;0;1;2;13;0;33;58;6;
253;Richelieu;2014-04-07;G;Saint-Joseph-de-Sorel, v;1;;95;231;19;2;0;6;21;2;40;90;2;
253;Richelieu;2014-04-07;G;Saint-Joseph-de-Sorel, v;1;;96;253;28;1;2;12;28;4;54;129;2;
253;Richelieu;2014-04-07;G;Saint-Joseph-de-Sorel, v;1;;97;273;53;3;0;5;13;3;47;124;7;
253;Richelieu;2014-04-07;G;Saint-Joseph-de-Sorel, v;1;;98;271;28;2;0;6;48;1;64;149;11;
253;Richelieu;2014-04-07;G;Saint-Joseph-de-Sorel, v;1;;99;272;29;9;0;5;19;0;41;103;7;
253;Richelieu;2014-04-07;G;Sainte-Anne-de-Sorel, m;1;;100;296;40;2;1;12;47;1;56;159;6;
253;Richelieu;2014-04-07;G;Sainte-Anne-de-Sorel, m;1;;101;270;46;0;1;13;36;0;53;149;1;
253;Richelieu;2014-04-07;G;Sainte-Anne-de-Sorel, m;1;;102;351;68;3;2;12;39;4;64;192;6;
253;Richelieu;2014-04-07;G;Sainte-Anne-de-Sorel, m;1;;103;301;43;1;0;8;30;3;64;149;6;
253;Richelieu;2014-04-07;G;Sainte-Anne-de-Sorel, m;1;;104;346;53;3;2;14;59;6;68;205;6;
253;Richelieu;2014-04-07;G;Sainte-Anne-de-Sorel, m;1;;105;324;51;2;2;8;39;2;54;158;5;
253;Richelieu;2014-04-07;G;Sainte-Anne-de-Sorel, m;1;;106;360;98;3;1;8;37;2;59;208;3;
253;Richelieu;2014-04-07;G;Yamaska, m;1;;107;304;75;1;2;4;57;1;50;190;5;
253;Richelieu;2014-04-07;G;Yamaska, m;1;;108;235;41;0;0;8;49;2;47;147;2;
253;Richelieu;2014-04-07;G;Yamaska, m;1;;109;237;53;0;3;2;44;2;43;147;2;
253;Richelieu;2014-04-07;G;Yamaska, m;1;;110;326;66;3;0;7;60;1;58;195;3;
253;Richelieu;2014-04-07;G;Yamaska, m;1;;111;225;27;0;0;7;50;0;32;116;3;
253;Richelieu;2014-04-07;G;Saint-Robert, m;1;;112;283;68;0;1;11;32;0;47;159;2;
253;Richelieu;2014-04-07;G;Saint-Robert, m;1;;113;266;52;3;3;2;36;0;48;144;5;
253;Richelieu;2014-04-07;G;Saint-Robert, m;1;;114;324;77;2;1;2;29;2;56;169;6;
253;Richelieu;2014-04-07;G;Saint-Robert, m;1;;115;208;39;2;1;11;10;0;57;120;0;
253;Richelieu;2014-04-07;G;Saint-Robert, m;1;;116;364;58;4;4;6;32;1;87;192;11;
253;Richelieu;2014-04-07;G;Sainte-Victoire-de-Sorel, m;1;;117;295;49;0;1;12;40;3;42;147;4;
253;Richelieu;2014-04-07;G;Sainte-Victoire-de-Sorel, m;1;;118;324;52;0;0;7;32;0;47;138;0;
253;Richelieu;2014-04-07;G;Sainte-Victoire-de-Sorel, m;1;;119;272;41;3;0;6;18;0;61;129;4;
253;Richelieu;2014-04-07;G;Sainte-Victoire-de-Sorel, m;1;;120;317;59;3;0;13;26;1;54;156;8;
253;Richelieu;2014-04-07;G;Sainte-Victoire-de-Sorel, m;1;;121;389;67;1;1;12;48;3;71;203;8;
253;Richelieu;2014-04-07;G;Sainte-Victoire-de-Sorel, m;1;;122;401;69;3;0;15;45;3;77;212;6;
253;Richelieu;2014-04-07;G;Saint-Roch-de-Richelieu, m;1;;123;314;55;1;2;8;36;1;76;179;8;
253;Richelieu;2014-04-07;G;Saint-Roch-de-Richelieu, m;1;;124;330;67;2;1;9;36;4;76;195;4;
253;Richelieu;2014-04-07;G;Saint-Roch-de-Richelieu, m;1;;125;336;65;2;0;18;40;1;78;204;5;
253;Richelieu;2014-04-07;G;Saint-Roch-de-Richelieu, m;1;;126;398;87;2;2;21;24;3;115;254;11;
253;Richelieu;2014-04-07;G;Saint-Roch-de-Richelieu, m;1;;127;360;70;5;1;5;34;3;86;204;1;
253;Richelieu;2014-04-07;G;Saint-Ours, v;1;;128;297;58;2;1;23;31;3;74;192;0;
253;Richelieu;2014-04-07;G;Saint-Ours, v;1;;129;204;32;2;1;18;27;1;58;139;5;
253;Richelieu;2014-04-07;G;Saint-Ours, v;1;;130;222;37;2;0;11;43;1;44;138;2;
253;Richelieu;2014-04-07;G;Saint-Ours, v;1;;131;270;51;4;1;12;33;5;58;164;8;
253;Richelieu;2014-04-07;G;Saint-Ours, v;1;;132;335;55;2;3;6;49;3;93;211;5;
253;Richelieu;2014-04-07;G;Saint-Bernard-de-Michaudville, m;1;;133;231;47;4;1;15;34;0;56;157;2;
253;Richelieu;2014-04-07;G;Saint-Bernard-de-Michaudville, m;1;;134;215;48;4;1;13;24;0;64;154;3;
253;Richelieu;2014-04-07;G;Saint-Jude, m;1;;135;316;71;6;1;12;48;1;71;210;6;
253;Richelieu;2014-04-07;G;Saint-Jude, m;1;;136;299;64;11;3;21;33;3;61;196;3;
253;Richelieu;2014-04-07;G;Saint-Jude, m;1;;137;265;48;13;1;20;19;1;75;177;2;
