Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bertrand Clotilde Q.S.;Chouinard Nicole C.A.Q.-É.F.L.;Cloutier Samuel O.N. - P.I.Q.;Dupré Serge M.P.Q.;Lefebvre Rouge P.V.Q./G.P.Q.;Richer Roland P.Q.;St-Denis Yves P.L.Q./Q.L.P.;B.V.;B.R.;
535;Argenteuil;2014-04-07;G;Grenville, vl;1;;53;329;3;34;2;1;2;19;59;120;3;
535;Argenteuil;2014-04-07;G;Grenville-sur-la-Rouge, m;1;;54;393;4;28;0;0;3;40;79;154;2;
535;Argenteuil;2014-04-07;G;Grenville-sur-la-Rouge, m;1;;55;384;5;18;0;0;1;28;83;135;1;
535;Argenteuil;2014-04-07;G;Grenville-sur-la-Rouge, m;1;;56;380;3;20;0;0;2;26;80;131;1;
535;Argenteuil;2014-04-07;G;Grenville-sur-la-Rouge, m;1;;57;378;3;36;0;0;3;14;59;115;0;
535;Argenteuil;2014-04-07;G;Grenville-sur-la-Rouge, m;1;;58;394;4;29;1;0;2;54;62;152;2;
535;Argenteuil;2014-04-07;G;Grenville-sur-la-Rouge, m;1;;59;386;14;33;0;0;2;22;81;152;1;
535;Argenteuil;2014-04-07;G;Harrington, ct;1;;60;355;3;20;1;0;1;37;146;208;0;
535;Argenteuil;2014-04-07;G;Harrington, ct;1;;61;344;1;17;1;1;2;20;141;183;1;
535;Argenteuil;2014-04-07;G;Arundel, ct;1;;62;217;6;11;0;0;0;23;84;124;2;
535;Argenteuil;2014-04-07;G;Arundel, ct;1;;63;259;5;20;0;0;2;38;64;129;1;
535;Argenteuil;2014-04-07;G;Barkmere, v;1;Regr. BVO-63;64;0;0;0;0;0;0;0;0;0;0;
535;Argenteuil;2014-04-07;G;Montcalm, m;1;;65;250;12;31;1;0;5;29;55;133;0;
535;Argenteuil;2014-04-07;G;Montcalm, m;1;;66;247;8;33;0;1;2;46;30;120;0;
535;Argenteuil;2014-04-07;G;Lac-des-Seize-Îles, m;1;;67;129;3;23;0;0;0;33;32;91;1;
535;Argenteuil;2014-04-07;G;Lac-des-Seize-Îles, m;1;;68;50;0;7;0;0;0;7;10;24;0;
535;Argenteuil;2014-04-07;G;Saint-Adolphe-d'Howard, m;1;;69;352;11;25;0;0;1;58;29;124;0;
