Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Chénier Pierre P.M.L.Q.;Drainville Bernard P.Q.;Lévesque Carl Q.S.;Lovatt-Smith Catherine P.V.Q./G.P.Q.;Portron Florent É.A.;Provencher Guillaume C.A.Q.-É.F.L.;Tremblay Jean-Guy P.L.Q./Q.L.P.;Villemaire Fabien O.N. - P.I.Q.;B.V.;B.R.;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;18;Regr. BVO-19;20;0;0;0;0;0;0;0;0;0;0;0;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;18;;21;305;0;59;16;4;0;35;30;2;146;3;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;18;;22A;208;0;35;11;3;0;24;32;0;105;3;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;18;;22B;222;0;46;9;1;0;12;17;0;85;3;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;19;;23;376;2;64;23;2;0;18;26;4;139;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;19;;24;362;0;71;38;6;0;38;35;6;194;6;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;19;;25;425;1;75;41;2;0;33;20;0;172;6;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;19;Regr. BVO-25;26;0;0;0;0;0;0;0;0;0;0;0;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;19;;27;367;0;74;21;3;0;29;32;1;160;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;19;;28;377;0;71;45;7;0;47;28;1;199;6;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;19;;29;375;0;59;27;5;0;44;57;4;196;0;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;19;;30;386;0;64;36;1;0;41;47;4;193;0;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;20;;31;367;1;78;28;7;0;35;38;8;195;6;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;20;;32;376;1;53;23;2;0;48;60;6;193;6;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;20;;33;394;0;82;28;1;0;52;36;0;199;7;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;20;;34;344;1;64;32;6;0;32;33;0;168;5;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;20;;35;354;1;53;24;4;0;42;37;2;163;1;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;20;;36;345;0;57;21;8;1;29;35;1;152;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;21;;37;390;0;69;18;9;0;37;41;3;177;6;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;21;;38;395;0;79;20;7;1;55;35;1;198;3;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;21;;39;389;1;82;39;7;0;46;39;2;216;6;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;21;;40;408;0;68;33;8;0;42;54;2;207;0;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;21;;41;383;0;77;46;16;1;55;43;4;242;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;22;;42;344;2;79;53;5;1;37;28;0;205;7;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;22;;43;370;0;95;45;3;1;39;15;4;202;4;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;22;;44;374;0;89;52;3;0;28;16;2;190;3;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;22;;45;366;0;87;38;6;0;37;32;0;200;8;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;22;;46;347;0;72;65;7;0;33;34;5;216;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;22;;47;338;0;56;17;7;1;38;24;4;147;6;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;23;;48;348;3;61;31;10;1;24;22;1;153;1;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;23;;49;387;2;88;35;5;0;41;33;2;206;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;23;;50;377;0;65;26;0;0;61;39;3;194;0;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;23;;51;341;0;74;25;4;1;50;27;1;182;0;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;23;;52;390;0;59;30;4;0;36;36;3;168;4;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;23;;53;361;0;65;23;5;0;34;47;2;176;11;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;23;;54;374;1;58;19;4;0;43;49;3;177;5;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;23;;55;389;1;72;11;1;0;38;41;2;166;4;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;24;;56;411;0;55;16;6;0;47;41;0;165;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;24;;57;389;1;63;29;5;0;35;42;2;177;1;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;24;;58;405;0;78;27;5;0;31;47;1;189;4;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;24;;59;382;0;58;16;2;2;30;54;3;165;6;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;24;;60;386;1;45;11;3;1;31;48;5;145;3;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;25;;61;390;1;73;19;7;0;43;33;2;178;5;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;25;;62;400;1;53;22;4;0;46;52;1;179;2;
213;Marie-Victorin;2014-04-07;G;Longueuil, v;25;;63;314;0;38;22;2;2;35;23;1;123;6;
