Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Asselin Mario C.A.Q.-É.F.L.;Bergeron Dany É.A.P. - P.C.Q.;Côté Patrick O.N. - P.I.Q.;Dallaire Patrice P.Q.;Hamad Sam P.L.Q./Q.L.P.;Minville Pascal Q.S.;B.V.;B.R.;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;2;;17;384;76;4;1;29;83;7;200;5;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;2;;18;386;94;5;2;28;99;8;236;1;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;2;;19;384;71;0;1;39;62;13;186;2;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;3;;20;363;70;1;0;34;99;5;209;1;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;3;;21;374;42;2;1;14;115;3;177;2;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;3;;22;377;78;3;2;34;61;9;187;1;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;3;;23;374;65;0;3;30;81;15;194;2;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;3;;24;374;80;1;0;19;94;6;200;2;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;3;;25;374;54;0;0;29;86;8;177;1;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;3;;26;360;61;0;0;19;90;4;174;2;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;3;;27;475;54;4;1;29;108;5;201;4;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;4;;28;481;53;2;1;27;141;4;228;2;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;4;;29;373;57;0;3;35;77;8;180;4;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;4;;30;362;64;2;5;24;122;7;224;0;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;4;;31;371;79;1;3;41;71;16;211;0;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;4;;32;369;57;5;4;45;78;9;198;1;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;4;;33;371;54;0;1;31;99;11;196;1;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;4;;34;369;54;1;2;42;81;16;196;0;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;4;;35;373;79;0;3;26;77;16;201;1;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;4;;36;373;64;3;0;28;98;6;199;2;
653;Louis-Hébert;2014-04-07;G;Saint-Augustin-de-Desmaures, v;4;;37;380;74;1;1;32;87;4;199;2;
653;Louis-Hébert;2014-04-07;G;Québec, v;9;;38;374;65;3;2;20;84;6;180;3;
653;Louis-Hébert;2014-04-07;G;Québec, v;9;;39;375;65;3;2;21;95;3;189;0;
653;Louis-Hébert;2014-04-07;G;Québec, v;9;;40;378;73;0;4;22;78;5;182;5;
653;Louis-Hébert;2014-04-07;G;Québec, v;9;;41;373;76;2;3;20;94;11;206;2;
653;Louis-Hébert;2014-04-07;G;Québec, v;9;;42;377;73;1;2;14;87;11;188;4;
653;Louis-Hébert;2014-04-07;G;Québec, v;9;;43;381;69;3;0;8;81;9;170;1;
653;Louis-Hébert;2014-04-07;G;Québec, v;9;;44;376;84;1;1;27;62;7;182;0;
