Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bergeron Stéphane P.Q.;Coulombe Mathieu O.N. - P.I.Q.;Jarrousse Céline Q.S.;Renaud Yves C.A.Q.-É.F.L.;Rocheleau Simon P.L.Q./Q.L.P.;B.V.;B.R.;
249;Verchères;2014-04-07;G;Varennes, v;1;Regr. BVO-34;35;0;0;0;0;0;0;0;0;
249;Verchères;2014-04-07;G;Varennes, v;1;;36;342;87;2;18;53;26;186;3;
249;Verchères;2014-04-07;G;Varennes, v;1;;37A;193;37;3;3;31;15;89;2;
249;Verchères;2014-04-07;G;Varennes, v;1;;37B;280;51;0;6;24;11;92;4;
249;Verchères;2014-04-07;G;Varennes, v;1;;38;326;45;5;15;23;14;102;3;
249;Verchères;2014-04-07;G;Varennes, v;2;;39;386;109;3;16;74;38;240;6;
249;Verchères;2014-04-07;G;Varennes, v;2;;40;382;96;3;20;70;42;231;0;
249;Verchères;2014-04-07;G;Varennes, v;2;;41;382;78;1;18;78;30;205;4;
249;Verchères;2014-04-07;G;Varennes, v;2;;42;377;93;4;14;53;41;205;7;
249;Verchères;2014-04-07;G;Varennes, v;2;;43;375;114;11;21;54;24;224;4;
249;Verchères;2014-04-07;G;Varennes, v;2;;44;381;100;3;16;67;33;219;5;
249;Verchères;2014-04-07;G;Varennes, v;3;;45;383;103;4;24;76;31;238;5;
249;Verchères;2014-04-07;G;Varennes, v;3;;46;393;106;4;19;72;33;234;2;
249;Verchères;2014-04-07;G;Varennes, v;3;;47;391;75;4;17;82;40;218;0;
249;Verchères;2014-04-07;G;Varennes, v;3;;48;382;102;4;20;92;32;250;4;
249;Verchères;2014-04-07;G;Varennes, v;3;;49;391;97;4;22;94;27;244;3;
249;Verchères;2014-04-07;G;Varennes, v;3;;50;389;91;2;20;95;34;242;10;
249;Verchères;2014-04-07;G;Varennes, v;3;;51;394;103;3;18;83;35;242;6;
249;Verchères;2014-04-07;G;Varennes, v;3;;52;381;101;4;20;78;28;231;6;
249;Verchères;2014-04-07;G;Varennes, v;3;;53;411;101;3;22;80;36;242;4;
249;Verchères;2014-04-07;G;Varennes, v;3;;54;398;111;5;29;68;37;250;4;
249;Verchères;2014-04-07;G;Varennes, v;3;;55;394;113;2;17;61;27;220;5;
249;Verchères;2014-04-07;G;Varennes, v;3;;56;402;113;3;17;82;16;231;4;
249;Verchères;2014-04-07;G;Varennes, v;3;;57;408;114;2;26;67;28;237;4;
249;Verchères;2014-04-07;G;Varennes, v;3;;58;369;58;4;4;64;27;157;3;
249;Verchères;2014-04-07;G;Varennes, v;4;;59;401;90;6;13;93;43;245;4;
249;Verchères;2014-04-07;G;Varennes, v;4;;60;382;98;2;9;62;36;207;5;
249;Verchères;2014-04-07;G;Varennes, v;4;;61;382;77;2;17;87;33;216;2;
