Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Collin Marie-Claude P.L.Q./Q.L.P.;Desrosiers Gyslaine P.Q.;Fournier Jean Philippe É.A.P. - P.C.Q.;Giguère Annie Q.S.;Laframboise Mario C.A.Q.-É.F.L.;B.V.;B.R.;
473;Blainville;2014-04-07;G;Blainville, v;3;;57;343;53;71;4;1;62;191;5;
473;Blainville;2014-04-07;G;Blainville, v;3;;58A;265;60;38;0;7;49;154;2;
473;Blainville;2014-04-07;G;Blainville, v;3;;58B;247;67;27;0;2;48;144;5;
473;Blainville;2014-04-07;G;Blainville, v;3;;59;343;70;32;1;7;70;180;5;
473;Blainville;2014-04-07;G;Blainville, v;3;;60;297;59;44;0;12;50;165;1;
473;Blainville;2014-04-07;G;Blainville, v;3;;61;285;43;33;0;14;37;127;6;
473;Blainville;2014-04-07;G;Blainville, v;4;;62;294;37;48;0;9;64;158;8;
473;Blainville;2014-04-07;G;Blainville, v;4;;63;301;51;47;2;8;60;168;0;
473;Blainville;2014-04-07;G;Blainville, v;4;;64;293;38;62;1;11;52;164;2;
473;Blainville;2014-04-07;G;Blainville, v;4;;65;313;38;49;2;16;76;181;7;
473;Blainville;2014-04-07;G;Blainville, v;4;;66;285;39;46;1;15;69;170;10;
473;Blainville;2014-04-07;G;Blainville, v;4;;67;294;54;45;1;11;64;175;3;
473;Blainville;2014-04-07;G;Blainville, v;4;;68;297;33;62;1;16;53;165;2;
473;Blainville;2014-04-07;G;Blainville, v;4;;69A;220;21;29;3;14;46;113;3;
473;Blainville;2014-04-07;G;Blainville, v;4;;69B;247;17;40;1;12;60;130;4;
473;Blainville;2014-04-07;G;Blainville, v;5;;70;302;39;50;3;8;72;172;6;
473;Blainville;2014-04-07;G;Blainville, v;5;;71;367;56;45;2;8;62;173;2;
473;Blainville;2014-04-07;G;Blainville, v;5;;72;390;49;50;1;19;113;232;4;
473;Blainville;2014-04-07;G;Blainville, v;5;;73;308;36;56;0;25;75;192;1;
473;Blainville;2014-04-07;G;Blainville, v;5;;74;295;32;55;2;18;66;173;4;
473;Blainville;2014-04-07;G;Blainville, v;5;;75;320;36;74;0;28;69;207;4;
473;Blainville;2014-04-07;G;Blainville, v;5;;76;314;32;61;0;13;95;201;4;
473;Blainville;2014-04-07;G;Blainville, v;5;;77;327;52;54;0;5;68;179;1;
473;Blainville;2014-04-07;G;Blainville, v;5;;78;409;76;50;2;19;84;231;10;
473;Blainville;2014-04-07;G;Blainville, v;5;;79;342;53;65;1;14;53;186;7;
473;Blainville;2014-04-07;G;Blainville, v;5;;80;313;55;57;2;14;72;200;1;
473;Blainville;2014-04-07;G;Blainville, v;6;;81;340;69;50;0;17;86;222;3;
473;Blainville;2014-04-07;G;Blainville, v;6;;82;336;62;60;0;10;85;217;2;
473;Blainville;2014-04-07;G;Blainville, v;6;;83;347;65;47;0;3;91;206;1;
473;Blainville;2014-04-07;G;Blainville, v;6;;84;363;94;35;0;14;99;242;2;
473;Blainville;2014-04-07;G;Blainville, v;6;;85;334;71;40;2;9;89;211;3;
473;Blainville;2014-04-07;G;Blainville, v;6;;86;313;57;69;1;5;78;210;7;
473;Blainville;2014-04-07;G;Blainville, v;6;;87;339;57;65;0;10;74;206;10;
