Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Davis Jonathan P.N.;Desjardins Martine P.Q.;Emard Vicki P.L.Q./Q.L.P.;Giguère Sylvie Q.S.;Marginean Alain O.N. - P.I.Q.;Surprenant Claude C.A.Q.-É.F.L.;B.V.;B.R.;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;3;;37;289;4;60;16;4;0;39;123;5;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;3;;38;332;2;43;39;8;2;49;143;3;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;3;;39;299;2;50;38;16;2;32;140;1;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;3;;40;335;2;58;27;27;2;45;161;5;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;3;;41;549;5;38;21;18;6;51;139;1;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;3;;42;337;4;46;20;18;3;29;120;8;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;3;;43;304;3;49;19;19;5;39;134;5;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;3;;44;341;2;55;39;17;3;42;158;6;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;3;;45;549;2;37;12;27;2;32;112;4;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;3;;46;301;2;58;23;15;3;32;133;0;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;3;;47;587;1;61;33;19;2;48;164;3;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;4;;48;336;2;56;38;5;0;48;149;5;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;4;;49;368;2;66;36;24;0;62;190;2;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;4;;50;413;1;51;58;11;2;34;157;6;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;4;;51;328;5;75;32;12;0;66;190;2;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;4;;52;348;8;63;57;14;1;48;191;2;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;4;;53;371;4;56;41;15;1;68;185;1;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;4;;54;296;1;46;31;17;3;60;158;3;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;4;;55;334;2;53;17;10;0;47;129;3;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;4;;56;310;5;41;20;18;3;42;129;4;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;5;;57;328;6;50;12;9;2;57;136;8;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;5;;58;308;5;50;22;8;2;49;136;6;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;5;;59;311;1;53;56;9;3;49;171;5;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;5;;60;282;3;40;31;13;1;46;134;3;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;5;;61;299;2;43;35;19;1;65;165;8;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;5;;62;314;3;52;32;17;3;67;174;3;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;5;;63;291;2;53;28;15;4;50;152;5;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;5;;64;299;1;44;16;15;4;55;135;3;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;6;;65;326;3;47;27;11;0;49;137;2;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;6;;66;298;2;58;35;17;2;42;156;3;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;6;;67;317;4;67;26;12;3;53;165;3;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;6;;68;313;2;60;38;8;0;60;168;1;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;6;;69A;228;1;20;35;4;0;35;95;1;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;6;;69B;220;0;23;37;4;1;53;118;3;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;6;;70A;208;0;27;34;7;0;28;96;0;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;6;;70B;213;1;24;48;6;0;34;113;1;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;6;;71;310;0;49;29;5;1;48;132;9;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;6;;72;298;5;61;50;21;5;50;192;2;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;6;;73;295;4;73;33;15;3;50;178;3;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;6;;74;319;4;58;28;6;1;49;146;1;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;6;;75;289;1;43;27;9;1;49;130;2;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;6;;76;379;0;55;52;18;1;64;190;2;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;6;;77;314;2;41;45;8;2;89;187;3;
481;Groulx;2014-04-07;G;Sainte-Thérèse, v;6;;78;327;0;41;84;13;0;69;207;0;
481;Groulx;2014-04-07;G;Boisbriand, v;1;;79;340;2;66;38;13;2;66;187;6;
481;Groulx;2014-04-07;G;Boisbriand, v;1;;80;363;3;85;31;6;1;72;198;2;
481;Groulx;2014-04-07;G;Boisbriand, v;1;;81A;250;3;27;34;3;1;46;114;4;
481;Groulx;2014-04-07;G;Boisbriand, v;1;;81B;251;0;30;44;4;0;39;117;0;
481;Groulx;2014-04-07;G;Boisbriand, v;1;;82;371;0;55;40;11;4;66;176;5;
481;Groulx;2014-04-07;G;Boisbriand, v;1;;83;335;2;68;39;12;3;51;175;3;
481;Groulx;2014-04-07;G;Boisbriand, v;1;;84;327;2;66;44;8;0;68;188;2;
481;Groulx;2014-04-07;G;Boisbriand, v;1;;85;331;1;57;39;11;1;64;173;4;
481;Groulx;2014-04-07;G;Boisbriand, v;1;;86;344;4;54;44;14;0;86;202;4;
481;Groulx;2014-04-07;G;Boisbriand, v;1;;87;356;8;49;50;11;1;86;205;7;
481;Groulx;2014-04-07;G;Boisbriand, v;1;;88;355;5;64;56;19;0;109;253;5;
481;Groulx;2014-04-07;G;Boisbriand, v;1;;89;339;5;48;44;19;2;69;187;0;
