Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Barrette Gaétan P.L.Q./Q.L.P.;Beaupré Johane Q.S.;Fernandez Sebastian É.A.P. - P.C.Q.;Houda-Pepin Fatima Ind;Kim Jin C.A.Q.-É.F.L.;Létourneau-Prézeau François O.N. - P.I.Q.;B.V.;B.R.;
203;La Pinière;2014-04-07;G;Brossard, v;4;;37;406;114;10;2;43;21;2;192;3;
203;La Pinière;2014-04-07;G;Brossard, v;4;;38;410;117;11;1;53;22;2;206;0;
203;La Pinière;2014-04-07;G;Brossard, v;4;;39;413;132;12;2;60;25;5;236;2;
203;La Pinière;2014-04-07;G;Brossard, v;4;;40;390;134;7;1;37;28;3;210;2;
203;La Pinière;2014-04-07;G;Brossard, v;4;;41;384;146;4;1;31;18;2;202;2;
203;La Pinière;2014-04-07;G;Brossard, v;4;;42;411;139;9;2;61;13;3;227;5;
203;La Pinière;2014-04-07;G;Brossard, v;4;;43;392;109;10;1;50;30;4;204;2;
203;La Pinière;2014-04-07;G;Brossard, v;4;;44;389;102;8;1;28;23;3;165;1;
203;La Pinière;2014-04-07;G;Brossard, v;4;;45;381;136;5;1;47;23;3;215;2;
203;La Pinière;2014-04-07;G;Brossard, v;4;;46;383;139;10;0;24;25;3;201;2;
203;La Pinière;2014-04-07;G;Brossard, v;4;;47;421;120;11;1;31;24;1;188;0;
203;La Pinière;2014-04-07;G;Brossard, v;5;;48;374;120;4;4;30;14;0;172;3;
203;La Pinière;2014-04-07;G;Brossard, v;5;;49;353;127;8;3;42;21;1;202;1;
203;La Pinière;2014-04-07;G;Brossard, v;5;;50;362;127;12;0;36;20;20;215;0;
203;La Pinière;2014-04-07;G;Brossard, v;5;;51;367;130;11;1;57;23;4;226;2;
203;La Pinière;2014-04-07;G;Brossard, v;5;;52;352;110;10;0;55;16;3;194;5;
203;La Pinière;2014-04-07;G;Brossard, v;5;;53;398;111;11;5;60;36;1;224;1;
203;La Pinière;2014-04-07;G;Brossard, v;5;;54;358;58;17;2;44;33;4;158;0;
203;La Pinière;2014-04-07;G;Brossard, v;5;;55;373;120;12;0;63;24;3;222;5;
203;La Pinière;2014-04-07;G;Brossard, v;5;;56;370;121;6;3;62;33;2;227;2;
203;La Pinière;2014-04-07;G;Brossard, v;5;;57;391;125;16;0;42;35;3;221;5;
203;La Pinière;2014-04-07;G;Brossard, v;6;;58;394;130;12;0;51;40;1;234;3;
203;La Pinière;2014-04-07;G;Brossard, v;6;;59;383;112;8;1;53;16;1;191;2;
203;La Pinière;2014-04-07;G;Brossard, v;6;;60;374;110;14;2;34;21;0;181;5;
203;La Pinière;2014-04-07;G;Brossard, v;6;;61;388;122;15;1;27;20;3;188;1;
203;La Pinière;2014-04-07;G;Brossard, v;6;;62;349;89;7;1;37;21;3;158;3;
203;La Pinière;2014-04-07;G;Brossard, v;6;;63;384;106;9;1;46;31;0;193;0;
203;La Pinière;2014-04-07;G;Brossard, v;6;;64;403;118;11;0;46;33;1;209;0;
203;La Pinière;2014-04-07;G;Brossard, v;6;;65;366;105;12;1;43;33;0;194;5;
203;La Pinière;2014-04-07;G;Brossard, v;6;;66;385;96;7;0;33;22;1;159;4;
203;La Pinière;2014-04-07;G;Brossard, v;7;;67;396;90;11;5;51;30;5;192;5;
203;La Pinière;2014-04-07;G;Brossard, v;7;;68;405;124;13;3;52;23;4;219;1;
203;La Pinière;2014-04-07;G;Brossard, v;7;;69;376;69;14;5;34;39;8;169;3;
203;La Pinière;2014-04-07;G;Brossard, v;7;;70;408;109;11;7;59;53;4;243;6;
203;La Pinière;2014-04-07;G;Brossard, v;7;;71;372;102;13;2;87;29;4;237;2;
203;La Pinière;2014-04-07;G;Brossard, v;7;;72;379;92;18;3;54;33;2;202;9;
203;La Pinière;2014-04-07;G;Brossard, v;7;;73;387;91;15;1;47;35;4;193;3;
203;La Pinière;2014-04-07;G;Brossard, v;7;;74;417;119;15;1;31;47;3;216;6;
203;La Pinière;2014-04-07;G;Brossard, v;7;;75;392;86;15;1;44;45;4;195;2;
203;La Pinière;2014-04-07;G;Brossard, v;8;;76;346;64;8;4;44;21;3;144;3;
203;La Pinière;2014-04-07;G;Brossard, v;8;;77;378;82;15;1;60;26;7;191;3;
203;La Pinière;2014-04-07;G;Brossard, v;8;;78;387;90;23;2;45;41;5;206;4;
