Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Andrews Jeremy P.V.Q./G.P.Q.;Campbell Jean-Simon O.N. - P.I.Q.;Cardin Serge P.Q.;Drogue François É.A.P. - P.C.Q.;Fortin Luc P.L.Q./Q.L.P.;Girard Philippe C.A.Q.-É.F.L.;Pigot Hélène Q.S.;Richard Hubert Ind;Roy Jossy B.P.;B.V.;B.R.;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;9;;23;333;1;1;52;0;63;30;18;0;0;165;4;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;9;;24;407;2;2;68;0;66;44;29;0;4;215;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;10;;25;325;2;3;56;0;58;35;22;0;0;176;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;10;;26;327;0;3;66;0;56;34;26;0;0;185;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;10;;27;349;2;1;61;0;57;23;26;0;0;170;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;10;;28;349;0;2;75;0;66;30;23;0;2;198;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;11;;29;316;0;4;65;0;58;30;30;0;1;188;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;11;;30;351;4;1;74;1;52;39;15;0;3;189;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;11;;31;340;0;1;51;0;79;34;12;0;0;177;3;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;11;;32;335;0;2;41;0;60;29;16;0;3;151;2;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;11;;33;324;5;0;39;1;62;28;14;0;0;149;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;11;;34;300;2;1;29;1;50;33;16;0;2;134;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;11;;35;347;1;1;41;0;57;39;21;0;1;161;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;11;;36;316;2;2;23;0;85;36;15;0;0;163;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;11;;37;307;2;0;47;0;66;34;21;0;0;170;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;12;;38;353;3;4;62;2;96;38;24;0;0;229;0;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;12;;39;347;4;3;68;0;98;34;41;0;0;248;1;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;12;;40;343;2;3;82;0;92;37;23;0;0;239;2;
113;Sherbrooke;2014-04-07;G;Sherbrooke, v;12;;41;349;1;3;69;0;59;43;32;0;0;207;3;
