Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cavaliere Domenico C.A.Q.-É.F.L.;da Silva Pereira André Q.S.;Forget Bruno O.N. - P.I.Q.;Habel Jean P.L.Q./Q.L.P.;Proulx Suzanne P.Q.;B.V.;B.R.;
447;Sainte-Rose;2014-04-07;G;Laval, v;54;;53;359;39;9;1;89;73;211;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;54;;54;357;46;13;3;69;70;201;4;
447;Sainte-Rose;2014-04-07;G;Laval, v;54;;55;352;37;12;2;71;27;149;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;54;;56;384;45;7;1;121;38;212;4;
447;Sainte-Rose;2014-04-07;G;Laval, v;54;;57;389;36;0;0;206;13;255;1;
447;Sainte-Rose;2014-04-07;G;Laval, v;54;;58;391;31;6;0;176;15;228;0;
447;Sainte-Rose;2014-04-07;G;Laval, v;54;;59A;364;27;2;1;110;11;151;1;
447;Sainte-Rose;2014-04-07;G;Laval, v;54;;59B;242;31;3;1;77;20;132;1;
447;Sainte-Rose;2014-04-07;G;Laval, v;54;;60;372;30;7;1;136;25;199;1;
447;Sainte-Rose;2014-04-07;G;Laval, v;54;;61A;239;20;2;0;123;1;146;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;54;;61B;195;19;2;0;76;6;103;0;
447;Sainte-Rose;2014-04-07;G;Laval, v;54;;62;360;29;14;0;121;25;189;4;
447;Sainte-Rose;2014-04-07;G;Laval, v;54;;63;387;34;2;0;167;18;221;1;
447;Sainte-Rose;2014-04-07;G;Laval, v;55;;64;421;66;7;0;120;23;216;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;55;;65A;278;53;4;1;57;39;154;4;
447;Sainte-Rose;2014-04-07;G;Laval, v;55;;65B;157;22;3;1;19;19;64;5;
447;Sainte-Rose;2014-04-07;G;Laval, v;55;;66;393;70;13;0;86;51;220;6;
447;Sainte-Rose;2014-04-07;G;Laval, v;55;;67A;252;37;9;0;74;41;161;0;
447;Sainte-Rose;2014-04-07;G;Laval, v;55;;67B;184;25;5;0;62;10;102;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;55;;68;399;76;16;1;89;66;248;3;
447;Sainte-Rose;2014-04-07;G;Laval, v;55;;69;402;69;5;1;102;56;233;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;55;;70;426;58;9;3;104;53;227;1;
447;Sainte-Rose;2014-04-07;G;Laval, v;55;;71;410;58;12;1;81;68;220;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;55;;72;422;65;8;0;135;37;245;1;
447;Sainte-Rose;2014-04-07;G;Laval, v;55;;73;394;50;10;3;108;57;228;2;
447;Sainte-Rose;2014-04-07;G;Laval, v;55;;74;397;79;12;0;71;74;236;0;
447;Sainte-Rose;2014-04-07;G;Laval, v;55;;75;387;49;28;1;59;87;224;6;
