Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bergevin Jean-Marc P.L.Q./Q.L.P.;Fournier Sylvain Q.S.;Gauthier Gabriel O.N. - P.I.Q.;Legault François C.A.Q.-É.F.L.;Paquette Pierre P.Q.;Raynault Charles-Étienne É.A.P. - P.C.Q.;B.V.;B.R.;
363;L'Assomption;2014-04-07;G;Repentigny, v;1;;41;390;22;9;1;105;59;0;196;4;
363;L'Assomption;2014-04-07;G;Repentigny, v;1;;42;397;29;18;3;116;54;1;221;4;
363;L'Assomption;2014-04-07;G;Repentigny, v;1;;43;404;56;9;1;120;57;0;243;5;
363;L'Assomption;2014-04-07;G;Repentigny, v;1;;44;406;43;13;1;134;68;1;260;6;
363;L'Assomption;2014-04-07;G;Repentigny, v;1;;45;398;32;11;1;123;94;2;263;6;
363;L'Assomption;2014-04-07;G;Repentigny, v;1;;46;392;40;16;0;151;59;1;267;4;
363;L'Assomption;2014-04-07;G;Repentigny, v;1;;47;395;36;12;1;128;99;0;276;3;
363;L'Assomption;2014-04-07;G;Repentigny, v;1;;48;393;27;28;2;124;63;1;245;11;
363;L'Assomption;2014-04-07;G;Repentigny, v;1;;49;396;21;15;1;128;80;3;248;3;
363;L'Assomption;2014-04-07;G;Repentigny, v;1;;50;397;38;20;2;116;88;0;264;4;
363;L'Assomption;2014-04-07;G;Repentigny, v;2;;51;403;42;15;2;114;60;2;235;3;
363;L'Assomption;2014-04-07;G;Repentigny, v;2;;52;400;34;23;0;130;75;0;262;14;
363;L'Assomption;2014-04-07;G;Repentigny, v;2;;53;398;15;14;1;94;83;1;208;0;
363;L'Assomption;2014-04-07;G;Repentigny, v;2;;54;387;38;18;0;110;63;0;229;8;
363;L'Assomption;2014-04-07;G;Repentigny, v;2;;55;402;37;24;1;115;64;1;242;6;
363;L'Assomption;2014-04-07;G;Repentigny, v;2;;56;401;30;14;1;111;68;1;225;7;
363;L'Assomption;2014-04-07;G;Repentigny, v;2;;57;397;15;15;1;142;75;1;249;3;
363;L'Assomption;2014-04-07;G;Repentigny, v;2;;58;396;19;9;4;95;58;2;187;0;
363;L'Assomption;2014-04-07;G;Repentigny, v;2;;59;402;23;14;2;109;43;0;191;3;
363;L'Assomption;2014-04-07;G;Repentigny, v;2;;60;401;15;9;1;101;48;2;176;2;
363;L'Assomption;2014-04-07;G;Repentigny, v;2;;61;470;20;14;0;97;52;0;183;5;
363;L'Assomption;2014-04-07;G;Repentigny, v;3;;62;366;34;11;6;84;52;2;189;0;
363;L'Assomption;2014-04-07;G;Repentigny, v;3;;63;380;25;8;1;133;56;1;224;2;
363;L'Assomption;2014-04-07;G;Repentigny, v;3;;64;371;12;7;5;100;70;1;195;3;
363;L'Assomption;2014-04-07;G;Repentigny, v;3;;65;366;13;16;2;87;52;1;171;5;
363;L'Assomption;2014-04-07;G;Repentigny, v;3;;66;373;24;13;0;89;65;1;192;7;
363;L'Assomption;2014-04-07;G;Repentigny, v;3;;67;370;23;11;1;90;72;0;197;2;
363;L'Assomption;2014-04-07;G;Repentigny, v;3;;68;489;13;10;1;81;67;0;172;2;
363;L'Assomption;2014-04-07;G;Repentigny, v;3;;69;369;30;17;4;85;48;1;185;6;
363;L'Assomption;2014-04-07;G;Repentigny, v;4;;70;403;14;15;3;108;79;0;219;3;
363;L'Assomption;2014-04-07;G;Repentigny, v;4;;71;392;41;10;0;100;55;0;206;5;
363;L'Assomption;2014-04-07;G;Repentigny, v;4;;72;395;27;13;0;127;95;1;263;4;
363;L'Assomption;2014-04-07;G;Repentigny, v;4;;73;391;26;19;3;120;74;0;242;0;
363;L'Assomption;2014-04-07;G;Repentigny, v;4;;74;401;54;17;2;112;76;1;262;9;
363;L'Assomption;2014-04-07;G;Repentigny, v;4;;75;384;47;10;2;112;54;2;227;5;
363;L'Assomption;2014-04-07;G;Repentigny, v;4;;76;399;36;19;4;121;87;1;268;8;
363;L'Assomption;2014-04-07;G;Repentigny, v;4;;77;387;37;11;1;128;63;1;241;0;
363;L'Assomption;2014-04-07;G;L'Assomption, v;1;;78;372;16;11;1;117;40;2;187;2;
363;L'Assomption;2014-04-07;G;L'Assomption, v;1;;79;370;19;9;4;127;47;2;208;1;
363;L'Assomption;2014-04-07;G;L'Assomption, v;1;;80;369;21;7;3;102;53;3;189;4;
363;L'Assomption;2014-04-07;G;L'Assomption, v;1;;81;367;7;14;1;111;53;1;187;2;
363;L'Assomption;2014-04-07;G;L'Assomption, v;1;;82;380;8;13;0;95;63;0;179;4;
363;L'Assomption;2014-04-07;G;L'Assomption, v;1;;83;366;13;12;0;118;49;0;192;4;
363;L'Assomption;2014-04-07;G;L'Assomption, v;1;;84;372;19;17;2;99;55;0;192;2;
363;L'Assomption;2014-04-07;G;L'Assomption, v;2;;85;446;7;13;1;50;35;0;106;3;
363;L'Assomption;2014-04-07;G;L'Assomption, v;2;;86;580;16;5;2;66;51;1;141;5;
363;L'Assomption;2014-04-07;G;L'Assomption, v;2;;87;368;7;15;3;80;50;1;156;3;
363;L'Assomption;2014-04-07;G;L'Assomption, v;2;;88;369;18;22;1;99;48;0;188;1;
363;L'Assomption;2014-04-07;G;L'Assomption, v;2;;89;378;8;10;0;66;43;0;127;3;
363;L'Assomption;2014-04-07;G;L'Assomption, v;2;;90;415;3;14;0;79;53;0;149;0;
363;L'Assomption;2014-04-07;G;L'Assomption, v;2;;91;360;10;11;0;92;51;0;164;3;
363;L'Assomption;2014-04-07;G;L'Assomption, v;3;;92;391;11;18;1;132;76;0;238;4;
363;L'Assomption;2014-04-07;G;L'Assomption, v;3;;93;388;16;2;1;132;56;1;208;1;
363;L'Assomption;2014-04-07;G;L'Assomption, v;3;;94;391;20;12;6;141;63;0;242;0;
363;L'Assomption;2014-04-07;G;L'Assomption, v;3;;95;395;27;8;1;105;62;0;203;7;
363;L'Assomption;2014-04-07;G;L'Assomption, v;3;;96;402;19;7;2;145;70;0;243;7;
363;L'Assomption;2014-04-07;G;L'Assomption, v;3;;97;395;20;11;1;108;44;0;184;6;
363;L'Assomption;2014-04-07;G;L'Assomption, v;3;;98;427;12;11;3;85;62;0;173;2;
363;L'Assomption;2014-04-07;G;L'Assomption, v;3;;99;384;17;12;0;126;50;0;205;1;
363;L'Assomption;2014-04-07;G;L'Assomption, v;3;;100;391;20;3;0;117;52;1;193;3;
363;L'Assomption;2014-04-07;G;L'Assomption, v;3;;101;395;24;23;1;124;63;1;236;5;
363;L'Assomption;2014-04-07;G;L'Assomption, v;3;;102;389;11;12;0;95;64;0;182;3;
363;L'Assomption;2014-04-07;G;L'Assomption, v;3;;103;385;15;12;1;96;53;0;177;6;
363;L'Assomption;2014-04-07;G;L'Assomption, v;3;;104;383;17;16;0;125;68;1;227;1;
363;L'Assomption;2014-04-07;G;L'Assomption, v;3;;105;385;17;8;0;114;50;1;190;0;
363;L'Assomption;2014-04-07;G;L'Assomption, v;4;;106;388;20;9;2;125;69;1;226;4;
363;L'Assomption;2014-04-07;G;L'Assomption, v;4;;107;382;22;22;1;120;72;2;239;3;
363;L'Assomption;2014-04-07;G;L'Assomption, v;4;;108;397;17;14;2;123;51;0;207;2;
363;L'Assomption;2014-04-07;G;L'Assomption, v;4;;109;405;11;10;4;144;71;4;244;5;
363;L'Assomption;2014-04-07;G;L'Assomption, v;4;;110;396;35;16;0;132;58;0;241;3;
363;L'Assomption;2014-04-07;G;L'Assomption, v;4;;111;389;17;16;1;147;62;1;244;5;
363;L'Assomption;2014-04-07;G;L'Assomption, v;4;;112;395;18;9;0;100;66;5;198;3;
363;L'Assomption;2014-04-07;G;L'Assomption, v;4;;113;398;22;23;2;143;43;1;234;6;
363;L'Assomption;2014-04-07;G;L'Assomption, v;4;;114;400;19;9;2;112;55;2;199;2;
