Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;De Bellefeuille Julie É.A.P. - P.C.Q.;de Repentigny Yves P.Éq.;Haliburton Victoria P.V.Q./G.P.Q.;Larocque Sylvain Ind;Leclair Guy P.Q.;Lemieux Lyse P.L.Q./Q.L.P.;Moreau Claude C.A.Q.-É.F.L.;Rousseau Florence O.N. - P.I.Q.;St-Onge Pierre-Paul Q.S.;B.V.;B.R.;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;4;;29;287;2;0;0;1;51;52;25;1;9;141;4;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;4;;30;277;3;0;0;0;50;36;34;2;8;133;4;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;5;;31;288;3;0;3;1;37;38;12;0;5;99;4;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;5;;32;332;1;0;0;0;10;14;10;0;6;41;0;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;5;;33;303;0;0;1;0;34;28;28;1;10;102;3;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;5;;34;304;2;0;1;0;40;29;34;1;11;118;1;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;5;;35;295;0;1;1;2;39;21;33;2;12;111;2;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;6;;36;327;2;1;2;0;67;38;38;1;7;156;5;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;6;;37;327;5;0;2;2;66;44;33;0;6;158;6;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;6;;38;313;2;1;0;0;51;31;32;1;9;127;1;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;6;;39;348;0;0;0;3;53;37;37;0;11;141;9;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;7;;40;317;3;0;2;0;51;32;38;0;16;142;4;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;7;;41;289;1;0;0;1;48;37;41;1;12;141;4;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;7;;42;293;3;0;2;0;46;34;27;1;10;123;1;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;7;;43;357;2;1;1;0;65;17;36;1;14;137;2;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;7;;44;315;0;0;1;0;71;29;27;1;12;141;1;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;7;;45;284;1;0;2;0;37;19;30;0;7;96;1;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;7;;46;299;1;1;0;1;23;23;12;0;9;70;2;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;7;;47;393;2;0;1;1;26;28;21;1;7;87;2;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;7;;48;296;1;0;0;0;42;31;18;2;13;107;0;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;8;;49;312;2;0;2;0;47;23;21;1;19;115;0;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;8;;50;279;1;1;4;0;43;22;27;0;18;116;2;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;8;;51;292;3;1;2;0;47;27;20;1;6;107;0;
153;Beauharnois;2014-04-07;G;Salaberry-de-Valleyfield, v;8;;52;270;0;0;1;2;39;22;29;1;6;100;0;
