Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bouchard Sébastien Q.S.;Breton José Ind;Châteauvert Pierre P.Q.;Drolet André P.L.Q./Q.L.P.;Dumais Sébastien P.N.;Foster Émilie C.A.Q.-É.F.L.;Garcia Andrés É.A.P. - P.C.Q.;Moreau Claude P.M.L.Q.;Zanetti Sol O.N. - P.I.Q.;B.V.;B.R.;
623;Jean-Lesage;2014-04-07;G;Québec, v;71;;100;317;25;1;29;43;1;50;3;0;2;154;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;71;;101;349;41;2;44;41;3;47;2;0;5;185;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;71;;102;329;27;0;28;29;4;39;4;0;2;133;4;
623;Jean-Lesage;2014-04-07;G;Québec, v;71;;103;323;25;2;32;56;1;39;0;0;7;162;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;71;;104;304;8;0;26;32;0;44;3;0;7;120;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;71;;105;347;15;1;20;49;6;34;2;0;5;132;4;
623;Jean-Lesage;2014-04-07;G;Québec, v;71;;106;336;2;0;22;34;0;22;1;0;1;82;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;72;;107;298;8;0;27;28;0;44;3;0;3;113;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;72;;108;284;6;0;24;47;1;36;1;0;2;117;2;
623;Jean-Lesage;2014-04-07;G;Québec, v;72;;109;283;8;1;22;46;0;32;2;0;0;111;1;
623;Jean-Lesage;2014-04-07;G;Québec, v;72;;110;289;11;0;24;42;2;51;2;0;6;138;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;72;;111;310;10;0;22;38;1;50;0;0;2;123;3;
623;Jean-Lesage;2014-04-07;G;Québec, v;72;;112;309;9;1;16;48;5;50;1;0;3;133;4;
623;Jean-Lesage;2014-04-07;G;Québec, v;73;;113;331;5;1;12;29;2;21;0;0;2;72;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;73;;114;291;16;0;28;35;1;35;1;0;6;122;0;
623;Jean-Lesage;2014-04-07;G;Québec, v;73;;115;294;8;0;38;43;1;62;2;0;0;154;1;
