Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Fortin André P.L.Q./Q.L.P.;Lang Louis P.M.L.Q.;Levy Charmain Q.S.;Mongeon Michel C.A.Q.-É.F.L.;Vallières-Murray Maryse P.Q.;B.V.;B.R.;
563;Pontiac;2014-04-07;G;Pontiac, m;1;;41;293;101;0;5;10;16;132;1;
563;Pontiac;2014-04-07;G;Pontiac, m;1;;42;290;93;1;11;9;22;136;3;
563;Pontiac;2014-04-07;G;Pontiac, m;1;;43;389;141;1;8;33;13;196;0;
563;Pontiac;2014-04-07;G;Pontiac, m;1;;44;396;154;1;5;14;14;188;3;
563;Pontiac;2014-04-07;G;Pontiac, m;1;;45;386;123;1;12;35;24;195;2;
563;Pontiac;2014-04-07;G;Pontiac, m;1;;46;371;150;0;9;21;19;199;2;
563;Pontiac;2014-04-07;G;Pontiac, m;1;;47;377;182;0;6;23;21;232;2;
563;Pontiac;2014-04-07;G;Pontiac, m;1;;48;388;138;0;9;33;22;202;7;
563;Pontiac;2014-04-07;G;Gatineau, v;1;;49;382;161;0;15;19;26;221;3;
563;Pontiac;2014-04-07;G;Gatineau, v;1;;50;368;145;0;16;30;23;214;3;
563;Pontiac;2014-04-07;G;Gatineau, v;1;;51;370;135;0;20;36;43;234;4;
563;Pontiac;2014-04-07;G;Gatineau, v;1;;52;365;132;3;22;32;22;211;0;
563;Pontiac;2014-04-07;G;Gatineau, v;1;;53;374;105;0;19;22;38;184;0;
563;Pontiac;2014-04-07;G;Gatineau, v;1;;54;376;157;0;15;19;12;203;4;
563;Pontiac;2014-04-07;G;Gatineau, v;1;;55;389;147;1;18;25;19;210;2;
563;Pontiac;2014-04-07;G;Gatineau, v;1;;56;378;150;0;10;25;20;205;6;
