Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Cousineau Claude P.Q.;Dubé Patrick P.N.;Leblond Isabelle P.L.Q./Q.L.P.;Massicotte Diane O.N. - P.I.Q.;Mayer Lucie Q.S.;Milot Robert C.A.Q.-É.F.L.;Roy Mario Ind;B.V.;B.R.;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;1;;41;317;52;0;24;0;5;21;2;104;2;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;2;;42;401;50;3;23;0;7;21;0;104;3;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;2;;43;298;38;1;17;2;13;22;1;94;3;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;2;;44;299;52;2;23;1;6;25;0;109;3;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;2;;45;328;57;0;28;2;11;33;1;132;5;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;2;;46;294;36;0;19;1;7;15;2;80;4;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;3;;47;345;49;0;28;0;12;36;0;125;2;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;3;;48;318;59;0;23;0;11;34;0;127;8;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;3;;49;319;54;4;18;0;14;27;0;117;0;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;3;;50;320;73;2;19;2;12;33;0;141;2;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;3;;51;370;59;1;30;0;9;54;1;154;3;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;3;;52;421;77;1;49;2;9;60;0;198;2;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;3;;53;344;63;2;25;1;29;36;0;156;4;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;4;;54;331;62;5;23;0;6;35;0;131;2;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;4;;55;353;111;0;25;7;25;0;0;168;1;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;4;;56;339;78;0;21;1;23;42;0;165;2;
525;Bertrand;2014-04-07;G;Sainte-Agathe-des-Monts, v;4;;57;343;53;1;43;0;21;36;0;154;0;
525;Bertrand;2014-04-07;G;Val-David, vl;1;;58;298;64;1;28;3;15;30;1;142;2;
525;Bertrand;2014-04-07;G;Val-David, vl;1;;59;296;52;6;29;0;8;26;0;121;5;
525;Bertrand;2014-04-07;G;Val-David, vl;1;;60;306;48;2;17;0;25;38;0;130;2;
525;Bertrand;2014-04-07;G;Val-David, vl;1;;61;342;58;1;29;1;20;48;0;157;3;
525;Bertrand;2014-04-07;G;Val-David, vl;1;;62;325;54;0;19;0;17;50;0;140;4;
525;Bertrand;2014-04-07;G;Val-David, vl;1;;63;301;50;2;28;1;27;11;0;119;3;
525;Bertrand;2014-04-07;G;Val-David, vl;1;;64;304;52;1;23;3;28;22;0;129;4;
525;Bertrand;2014-04-07;G;Val-David, vl;1;;65;293;44;2;24;0;36;27;0;133;2;
525;Bertrand;2014-04-07;G;Val-David, vl;1;;66;315;47;1;14;0;25;22;2;111;3;
525;Bertrand;2014-04-07;G;Val-David, vl;1;;67;360;73;4;18;0;26;40;0;161;1;
525;Bertrand;2014-04-07;G;Val-David, vl;1;;68;321;62;0;31;0;26;27;0;146;3;
525;Bertrand;2014-04-07;G;Val-David, vl;1;;69;357;72;4;27;3;45;38;0;189;3;
