Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Blouin Nadia Q.S.;Cadieux Denis M.P.Q.;de la Sablonnière Luc C.A.Q.-É.F.L.;Grégoire-Gauthier Annie O.N. - P.I.Q.;Leblanc Rodrigue Ind;Lessard Laurent P.L.Q./Q.L.P.;Mathieu Kaven P.Q.;Rancourt Sylvain É.A.P. - P.C.Q.;B.V.;B.R.;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;3;;16;387;11;1;58;2;1;99;30;0;202;3;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;3;;17;384;6;0;63;0;0;92;39;2;202;3;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;3;;18;412;9;2;65;1;1;82;52;1;213;1;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;3;;19;419;7;2;65;3;0;108;41;1;227;4;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;3;;20;384;6;0;39;0;0;117;39;0;201;0;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;3;;21;379;9;0;53;0;0;106;37;0;205;0;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;3;;22;368;5;0;43;1;1;73;34;2;159;2;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;3;;23;363;2;1;36;0;0;56;27;0;122;4;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;4;;24;340;5;1;24;0;0;44;25;1;100;2;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;4;;25;349;9;0;55;2;3;71;19;2;161;1;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;4;;26;350;4;0;37;1;0;64;23;0;129;3;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;4;;27;378;8;0;55;0;0;82;24;4;173;1;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;4;;28;350;9;0;47;0;0;78;31;1;166;2;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;4;;29;328;5;0;52;1;1;73;24;0;156;2;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;4;;30;349;10;0;45;2;0;82;40;1;180;2;
289;Lotbinière-Frontenac;2014-04-07;G;Thetford Mines, v;5;;31;353;9;0;50;0;0;79;33;1;172;3;
