Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Charette Claude C.A.Q.-É.F.L.;Lépine François Q.S.;Marceau Nicolas P.Q.;Racette Mario P.L.Q./Q.L.P.;St-Onge Chantal O.N. - P.I.Q.;B.V.;B.R.;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;56;325;72;6;53;15;5;151;5;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;57;327;63;5;59;13;0;140;0;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;58;303;47;6;57;9;3;122;4;
515;Rousseau;2014-04-07;G;Sainte-Julienne, m;1;;59;328;54;9;55;15;2;135;0;
515;Rousseau;2014-04-07;G;Saint-Hippolyte, m;1;;60;326;44;15;46;35;6;146;2;
515;Rousseau;2014-04-07;G;Saint-Hippolyte, m;1;;61;311;37;10;64;39;1;151;0;
515;Rousseau;2014-04-07;G;Saint-Hippolyte, m;1;;62;307;53;15;51;17;0;136;4;
515;Rousseau;2014-04-07;G;Saint-Hippolyte, m;1;;63;317;48;10;41;25;0;124;2;
515;Rousseau;2014-04-07;G;Saint-Hippolyte, m;1;;64;305;40;5;37;43;0;125;1;
515;Rousseau;2014-04-07;G;Saint-Hippolyte, m;1;;65;344;49;16;74;24;4;167;10;
515;Rousseau;2014-04-07;G;Saint-Hippolyte, m;1;;66;364;56;16;61;21;3;157;4;
515;Rousseau;2014-04-07;G;Saint-Hippolyte, m;1;;67;344;56;18;55;20;0;149;6;
515;Rousseau;2014-04-07;G;Saint-Hippolyte, m;1;;68;332;54;13;49;23;2;141;1;
515;Rousseau;2014-04-07;G;Saint-Hippolyte, m;1;;69;365;60;13;53;32;2;160;3;
515;Rousseau;2014-04-07;G;Saint-Hippolyte, m;1;;70;336;51;26;54;19;1;151;4;
515;Rousseau;2014-04-07;G;Saint-Hippolyte, m;1;;71;323;44;12;46;20;0;122;5;
515;Rousseau;2014-04-07;G;Saint-Hippolyte, m;1;;72;329;46;14;69;15;0;144;6;
515;Rousseau;2014-04-07;G;Saint-Hippolyte, m;1;;73;378;58;17;51;40;0;166;1;
515;Rousseau;2014-04-07;G;Saint-Hippolyte, m;1;;74;361;49;14;61;24;1;149;4;
515;Rousseau;2014-04-07;G;Saint-Hippolyte, m;1;;75;342;49;13;38;32;0;132;3;
515;Rousseau;2014-04-07;G;Saint-Hippolyte, m;1;;76;401;69;12;71;25;2;179;4;
515;Rousseau;2014-04-07;G;Saint-Hippolyte, m;1;;77;340;60;17;55;23;2;157;4;
515;Rousseau;2014-04-07;G;Saint-Hippolyte, m;1;;78;344;77;16;53;20;1;167;4;
515;Rousseau;2014-04-07;G;Saint-Hippolyte, m;1;;79;372;77;19;68;30;3;197;5;
515;Rousseau;2014-04-07;G;Saint-Calixte, m;1;;80;350;44;15;52;28;1;140;3;
515;Rousseau;2014-04-07;G;Saint-Calixte, m;1;;81;306;32;6;52;14;0;104;3;
515;Rousseau;2014-04-07;G;Saint-Calixte, m;1;;82;335;46;7;52;25;0;130;1;
515;Rousseau;2014-04-07;G;Saint-Calixte, m;1;;83;325;60;7;43;20;3;133;2;
515;Rousseau;2014-04-07;G;Saint-Calixte, m;1;;84;328;63;10;47;15;3;138;0;
515;Rousseau;2014-04-07;G;Saint-Calixte, m;1;;85;340;56;5;55;20;1;137;5;
515;Rousseau;2014-04-07;G;Saint-Calixte, m;1;;86;330;44;6;61;18;1;130;3;
515;Rousseau;2014-04-07;G;Saint-Calixte, m;1;;87;334;65;22;45;17;1;150;2;
515;Rousseau;2014-04-07;G;Saint-Calixte, m;1;;88;317;30;12;40;11;2;95;0;
515;Rousseau;2014-04-07;G;Saint-Calixte, m;1;;89;342;46;10;39;23;0;118;2;
515;Rousseau;2014-04-07;G;Saint-Calixte, m;1;;90;308;52;8;61;14;3;138;2;
515;Rousseau;2014-04-07;G;Saint-Calixte, m;1;;91;336;69;7;60;16;0;152;3;
515;Rousseau;2014-04-07;G;Saint-Calixte, m;1;;92;351;52;10;74;18;2;156;6;
515;Rousseau;2014-04-07;G;Saint-Calixte, m;1;;93;327;70;7;40;15;0;132;4;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;94;363;80;7;59;23;0;169;5;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;95;383;71;15;62;12;0;160;0;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;96;339;50;6;62;14;3;135;3;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;97;373;60;17;84;18;2;181;4;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;98;314;70;9;48;17;1;145;5;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;99A;204;35;10;32;10;1;88;0;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;99B;229;42;8;38;21;1;110;0;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;100;388;71;14;76;35;1;197;5;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;101;313;54;14;62;32;7;169;3;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;102;368;57;13;71;23;2;166;2;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;103A;202;23;10;46;8;2;89;0;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;103B;259;72;7;41;13;2;135;1;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;104;360;56;10;74;44;3;187;3;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;105;380;85;19;60;32;2;198;0;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;106A;253;59;10;32;18;1;120;5;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;106B;255;65;6;45;25;5;146;0;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;107;311;58;6;23;41;0;128;6;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;108;326;54;13;69;35;0;171;4;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;109;381;86;8;56;23;1;174;6;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;110;405;68;12;84;26;5;195;6;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;111;388;86;22;81;23;4;216;9;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;112;362;80;8;49;12;1;150;0;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;113;350;40;7;43;11;0;101;3;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;114;345;74;14;46;17;0;151;6;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;115A;221;40;6;49;12;0;107;0;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;115B;255;38;7;56;16;0;117;7;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;116;318;59;12;53;21;1;146;4;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;117;325;64;9;50;13;0;136;0;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;118;329;58;7;52;16;1;134;6;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;119;343;49;6;52;11;0;118;2;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;120;333;67;11;65;20;1;164;3;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;121;319;75;15;70;15;0;175;2;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;122;396;71;11;53;18;0;153;10;
515;Rousseau;2014-04-07;G;Sainte-Sophie, m;1;;123;308;81;9;41;16;0;147;5;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;1;;124;313;57;2;48;12;2;121;6;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;1;;125;325;37;3;48;12;3;103;0;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;1;;126;333;48;7;43;18;3;119;5;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;1;;127;316;72;5;49;13;0;139;1;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;1;;128;292;50;6;36;9;3;104;8;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;1;;129;336;55;12;52;15;1;135;2;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;1;;130;321;54;6;50;17;2;129;7;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;1;;131;346;64;5;55;20;1;145;4;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;1;;132;348;68;10;45;25;1;149;4;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;1;;133;324;80;5;38;14;0;137;4;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;1;;134;340;84;4;35;17;5;145;1;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;1;;135;319;57;6;44;18;0;125;4;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;1;;136;320;63;2;53;9;2;129;3;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;1;;137;340;60;7;41;19;1;128;4;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;1;;138;459;37;6;46;16;1;106;2;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;1;;139;313;44;2;29;18;1;94;1;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;1;;140;315;60;0;34;15;0;109;1;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;141;373;89;5;51;12;2;159;8;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;142;396;88;8;69;27;2;194;2;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;143;351;68;14;82;25;2;191;1;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;144;334;68;3;38;30;0;139;3;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;145;330;83;8;43;23;1;158;3;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;146;361;86;7;53;23;0;169;1;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;147A;289;86;6;49;15;2;158;5;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;147B;234;51;6;36;12;0;105;4;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;148;363;74;7;67;14;0;162;5;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;149A;387;63;8;53;20;1;145;4;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;149B;409;69;5;57;15;1;147;0;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;150A;220;43;3;44;8;1;99;3;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;150B;225;55;5;29;12;0;101;4;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;151;345;65;6;61;15;1;148;4;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;152A;287;44;11;54;14;1;124;2;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;152B;214;35;5;36;8;6;90;2;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;153;326;52;5;68;20;1;146;2;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;154;348;73;6;58;16;0;153;4;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;155;365;81;13;65;23;2;184;2;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;156;416;80;8;82;18;3;191;6;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;157;336;74;12;65;22;1;174;4;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;158;345;70;13;60;18;2;163;7;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;159;343;59;9;59;26;4;157;3;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;160;422;74;6;71;21;4;176;5;
515;Rousseau;2014-04-07;G;Saint-Lin--Laurentides, v;2;;161;337;83;4;56;12;1;156;11;
515;Rousseau;2014-04-07;G;Saint-Esprit, m;1;;162;347;121;8;45;36;0;210;9;
